"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"Total","","822,875 (100.0%)","317,418 (100.0%)","1,700,070 (100.0%)","579,718 (100.0%)","864,482 (100.0%)"
"Sex","F","377,773 (45.9%)","143,162 (45.1%)","877,900 (51.6%)","271,670 (46.9%)","531,514 (61.5%)"
"","M","445,102 (54.1%)","174,256 (54.9%)","822,170 (48.4%)","308,048 (53.1%)","332,968 (38.5%)"
"ageYear","mean.sd","36.1 (16.4)","45.7 (10.3)","59.1 (15.2)","31.3 (8.6)","55.8 (16.3)"
"","median.iqr","31 (19)","43 (7)","58 (19)","31 (11)","59 (24)"
"age_grp","18-64","757,921 (92.1%)","299,340 (94.3%)","1,147,449 (67.5%)","575,196 (99.2%)","518,717 (60.0%)"
"","65-79","39,135 (4.8%)","10,352 (3.3%)","374,312 (22.0%)","3,510 (0.6%)","323,028 (37.4%)"
"","80+","25,820 (3.1%)","7,726 (2.4%)","178,309 (10.5%)","1,012 (0.2%)","22,737 (2.6%)"
"simd2020_sc_quintile","1 - High","205,432 (25.0%)","66,669 (21.0%)","298,544 (17.6%)","108,919 (18.8%)","157,005 (18.2%)"
"","2","169,211 (20.6%)","63,951 (20.1%)","329,494 (19.4%)","113,974 (19.7%)","169,312 (19.6%)"
"","3","152,275 (18.5%)","60,508 (19.1%)","354,759 (20.9%)","113,319 (19.5%)","172,125 (19.9%)"
"","4","133,425 (16.2%)","61,465 (19.4%)","357,544 (21.0%)","122,379 (21.1%)","185,171 (21.4%)"
"","5-Low","146,503 (17.8%)","62,566 (19.7%)","351,497 (20.7%)","116,611 (20.1%)","176,467 (20.4%)"
"","NA","16,029 (1.9%)","2,259 (0.7%)","8,232 (0.5%)","4,516 (0.8%)","4,402 (0.5%)"
"ur6_2016_name","1 Large Urban Areas","400,059 (48.6%)","106,845 (33.7%)","504,854 (29.7%)","198,731 (34.3%)","265,389 (30.7%)"
"","2 Other Urban Areas","228,786 (27.8%)","127,283 (40.1%)","639,270 (37.6%)","219,520 (37.9%)","341,614 (39.5%)"
"","3 Accessible Small Towns","59,193 (7.2%)","29,661 (9.3%)","175,173 (10.3%)","52,415 (9.0%)","84,055 (9.7%)"
"","4 Remote Small Towns","30,652 (3.7%)","12,956 (4.1%)","97,714 (5.7%)","25,587 (4.4%)","43,383 (5.0%)"
"","5 Accessible Rural","57,018 (6.9%)","28,243 (8.9%)","176,139 (10.4%)","51,608 (8.9%)","75,019 (8.7%)"
"","6 Remote Rural","31,137 (3.8%)","10,171 (3.2%)","98,688 (5.8%)","27,341 (4.7%)","50,620 (5.9%)"
