"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"Total","","830,894 (100.0%)","317,527 (100.0%)","1,700,787 (100.0%)","581,211 (100.0%)","881,683 (100.0%)"
"Sex","F","382,960 (46.1%)","143,232 (45.1%)","878,392 (51.6%)","272,626 (46.9%)","543,596 (61.7%)"
"","M","447,933 (53.9%)","174,295 (54.9%)","822,395 (48.4%)","308,585 (53.1%)","338,087 (38.3%)"
"ageYear","mean.sd","36.5 (17.1)","45.7 (10.3)","59.1 (15.2)","31.4 (9.1)","56.3 (16.6)"
"","median.iqr","31 (20)","43 (7)","58 (19)","31 (11)","60 (24)"
"age_grp","18-64","758,102 (91.2%)","299,357 (94.3%)","1,147,536 (67.5%)","575,232 (99.0%)","519,571 (58.9%)"
"","65-79","40,439 (4.9%)","10,377 (3.3%)","374,531 (22.0%)","3,828 (0.7%)","327,577 (37.2%)"
"","80+","32,352 (3.9%)","7,793 (2.5%)","178,720 (10.5%)","2,151 (0.4%)","34,535 (3.9%)"
"simd2020_sc_quintile","1 - High","206,860 (24.9%)","66,697 (21.0%)","298,706 (17.6%)","109,207 (18.8%)","160,290 (18.2%)"
"","2","170,524 (20.5%)","63,972 (20.1%)","329,617 (19.4%)","114,228 (19.7%)","172,330 (19.5%)"
"","3","153,974 (18.5%)","60,526 (19.1%)","354,932 (20.9%)","113,636 (19.6%)","175,670 (19.9%)"
"","4","135,164 (16.3%)","61,488 (19.4%)","357,673 (21.0%)","122,678 (21.1%)","188,902 (21.4%)"
"","5-Low","147,906 (17.8%)","62,580 (19.7%)","351,615 (20.7%)","116,879 (20.1%)","179,434 (20.4%)"
"","NA","16,465 (2.0%)","2,264 (0.7%)","8,244 (0.5%)","4,583 (0.8%)","5,057 (0.6%)"
"ur6_2016_name","1 Large Urban Areas","402,406 (48.4%)","106,895 (33.7%)","505,090 (29.7%)","199,154 (34.3%)","270,451 (30.7%)"
"","2 Other Urban Areas","231,730 (27.9%)","127,313 (40.1%)","639,545 (37.6%)","220,025 (37.9%)","347,881 (39.5%)"
"","3 Accessible Small Towns","59,794 (7.2%)","29,670 (9.3%)","175,214 (10.3%)","52,535 (9.0%)","85,464 (9.7%)"
"","4 Remote Small Towns","31,183 (3.8%)","12,959 (4.1%)","97,757 (5.7%)","25,709 (4.4%)","44,577 (5.1%)"
"","5 Accessible Rural","57,813 (7.0%)","28,252 (8.9%)","176,213 (10.4%)","51,779 (8.9%)","76,765 (8.7%)"
"","6 Remote Rural","31,504 (3.8%)","10,174 (3.2%)","98,724 (5.8%)","27,426 (4.7%)","51,488 (5.8%)"
"","Unknown","16,465 (2.0%)","2,264 (0.7%)","8,244 (0.5%)","4,583 (0.8%)","5,057 (0.6%)"
"n_risk_gps","0","631,269 (76.0%)","212,427 (66.9%)","799,635 (47.0%)","432,619 (74.4%)","454,029 (51.5%)"
"","1","150,122 (18.1%)","76,142 (24.0%)","505,227 (29.7%)","126,795 (21.8%)","252,687 (28.7%)"
"","2","33,724 (4.1%)","19,082 (6.0%)","230,208 (13.5%)","17,651 (3.0%)","104,028 (11.8%)"
"","3","9,246 (1.1%)","5,669 (1.8%)","97,365 (5.7%)","2,410 (0.4%)","41,941 (4.8%)"
"","4","3,658 (0.4%)","2,437 (0.8%)","41,554 (2.4%)","918 (0.2%)","17,582 (2.0%)"
"","5+","2,875 (0.3%)","1,770 (0.6%)","26,798 (1.6%)","818 (0.1%)","11,416 (1.3%)"
"n_tests_gp","0","705,494 (84.9%)","261,098 (82.2%)","1,418,362 (83.4%)","463,624 (79.8%)","645,482 (73.2%)"
"","1","88,139 (10.6%)","42,350 (13.3%)","198,034 (11.6%)","90,736 (15.6%)","121,233 (13.8%)"
"","2","18,617 (2.2%)","8,162 (2.6%)","44,957 (2.6%)","17,144 (2.9%)","34,348 (3.9%)"
"","3","5,390 (0.6%)","2,132 (0.7%)","14,641 (0.9%)","4,040 (0.7%)","14,062 (1.6%)"
"","4-9","7,531 (0.9%)","2,529 (0.8%)","17,649 (1.0%)","3,459 (0.6%)","26,972 (3.1%)"
"","10+","5,722 (0.7%)","1,256 (0.4%)","7,144 (0.4%)","2,208 (0.4%)","39,586 (4.5%)"
"test_before_dec8","0-6d","810 (0.1%)","337 (0.1%)","1,322 (0.1%)","640 (0.1%)","1,362 (0.2%)"
"","1m+","6,273 (0.8%)","3,020 (1.0%)","15,522 (0.9%)","6,218 (1.1%)","18,360 (2.1%)"
"","2w","755 (0.1%)","320 (0.1%)","1,310 (0.1%)","617 (0.1%)","1,294 (0.1%)"
"","3w","859 (0.1%)","363 (0.1%)","1,561 (0.1%)","763 (0.1%)","1,492 (0.2%)"
"","4w","875 (0.1%)","433 (0.1%)","1,735 (0.1%)","762 (0.1%)","1,701 (0.2%)"
"","after-8dec","29,930 (3.6%)","11,541 (3.6%)","33,344 (2.0%)","19,998 (3.4%)","20,623 (2.3%)"
"","no pos test","791,391 (95.2%)","301,513 (95.0%)","1,645,993 (96.8%)","552,213 (95.0%)","836,851 (94.9%)"
"ave_hh_age","mean.sd","36.3 (16.4)","38.7 (14.5)","54.9 (17.8)","31.4 (10.8)","52.5 (18.6)"
