"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"Total","","1347855 (100.0%)","820849 (100.0%)","1161356 (100.0%)","283714 (100.0%)","768501 (100.0%)"
"Sex","F","621370 (46.1%)","387860 (47.3%)","617888 (53.2%)","138369 (48.8%)","482760 (62.8%)"
"Sex","M","726484 (53.9%)","432989 (52.7%)","543468 (46.8%)","145345 (51.2%)","285741 (37.2%)"
"ageYear","mean.sd","33.9 (14.3)","49 (10.3)","62.9 (15.7)","39.1 (10.8)","57.4 (16.1)"
"ageYear","median.iqr","30 (14)","50 (14)","63 (21)","38 (14)","63 (22)"
"age_grp","18-64","1276810 (94.7%)","797191 (97.1%)","618385 (53.2%)","276908 (97.6%)","426188 (55.5%)"
"age_grp","65-79","43673 (3.2%)","14865 (1.8%)","366773 (31.6%)","5707 (2.0%)","319849 (41.6%)"
"age_grp","80+","27371 (2.0%)","8793 (1.1%)","176198 (15.2%)","1099 (0.4%)","22464 (2.9%)"
"simd2020_sc_quintile","1 - High","308048 (22.9%)","150176 (18.3%)","207203 (17.8%)","51545 (18.2%)","139092 (18.1%)"
"simd2020_sc_quintile","2","273860 (20.3%)","156069 (19.0%)","229525 (19.8%)","51367 (18.1%)","152323 (19.8%)"
"simd2020_sc_quintile","3","251207 (18.6%)","157768 (19.2%)","250466 (21.6%)","54351 (19.2%)","153885 (20.0%)"
"simd2020_sc_quintile","4","236913 (17.6%)","173993 (21.2%)","238552 (20.5%)","65291 (23.0%)","163537 (21.3%)"
"simd2020_sc_quintile","5-Low","257197 (19.1%)","178139 (21.7%)","230218 (19.8%)","59309 (20.9%)","155907 (20.3%)"
"simd2020_sc_quintile","NA","20630 (1.5%)","4704 (0.6%)","5392 (0.5%)","1851 (0.7%)","3757 (0.5%)"
"ur6_2016_name","1 Large Urban Areas","607637 (45.1%)","265732 (32.4%)","333927 (28.8%)","109333 (38.5%)","229088 (29.8%)"
"ur6_2016_name","2 Other Urban Areas","414727 (30.8%)","321282 (39.1%)","432417 (37.2%)","89475 (31.5%)","311716 (40.6%)"
"ur6_2016_name","3 Accessible Small Towns","105761 (7.8%)","79133 (9.6%)","122128 (10.5%)","25244 (8.9%)","73691 (9.6%)"
"ur6_2016_name","4 Remote Small Towns","50488 (3.7%)","33343 (4.1%)","75014 (6.5%)","14311 (5.0%)","38074 (5.0%)"
"ur6_2016_name","5 Accessible Rural","99562 (7.4%)","81895 (10.0%)","119891 (10.3%)","27929 (9.8%)","65843 (8.6%)"
"ur6_2016_name","6 Remote Rural","49051 (3.6%)","34760 (4.2%)","72587 (6.3%)","15571 (5.5%)","46332 (6.0%)"
"ur6_2016_name","Unknown","20630 (1.5%)","4704 (0.6%)","5392 (0.5%)","1851 (0.7%)","3757 (0.5%)"
"n_risk_gps","0","1018151 (75.5%)","542972 (66.1%)","446631 (38.5%)","203850 (71.9%)","385574 (50.2%)"
"n_risk_gps","1","262809 (19.5%)","209050 (25.5%)","363612 (31.3%)","65054 (22.9%)","228132 (29.7%)"
"n_risk_gps","2","49235 (3.7%)","50363 (6.1%)","196104 (16.9%)","11286 (4.0%)","96025 (12.5%)"
"n_risk_gps","3","10884 (0.8%)","12147 (1.5%)","89734 (7.7%)","2182 (0.8%)","36891 (4.8%)"
"n_risk_gps","4","3901 (0.3%)","3911 (0.5%)","39546 (3.4%)","788 (0.3%)","13999 (1.8%)"
"n_risk_gps","5+","2875 (0.2%)","2406 (0.3%)","25729 (2.2%)","554 (0.2%)","7880 (1.0%)"
