"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"Total","","1356187 (100.0%)","820981 (100.0%)","1161971 (100.0%)","285332 (100.0%)","785465 (100.0%)"
"Sex","F","626761 (46.2%)","387947 (47.3%)","618313 (53.2%)","139412 (48.9%)","494680 (63.0%)"
"Sex","M","729426 (53.8%)","433034 (52.7%)","543658 (46.8%)","145920 (51.1%)","290785 (37.0%)"
"ageYear","mean.sd","34.2 (14.9)","49 (10.3)","62.9 (15.7)","39.3 (11.3)","57.9 (16.4)"
"ageYear","median.iqr","30 (14)","50 (14)","63 (21)","38 (14)","63 (23)"
"age_grp","18-64","1277014 (94.2%)","797212 (97.1%)","618457 (53.2%)","276955 (97.1%)","427022 (54.4%)"
"age_grp","65-79","45056 (3.3%)","14898 (1.8%)","366957 (31.6%)","6059 (2.1%)","324330 (41.3%)"
"age_grp","80+","34117 (2.5%)","8871 (1.1%)","176557 (15.2%)","2318 (0.8%)","34113 (4.3%)"
"simd2020_sc_quintile","1 - High","309550 (22.8%)","150203 (18.3%)","207351 (17.8%)","51867 (18.2%)","142306 (18.1%)"
"simd2020_sc_quintile","2","275231 (20.3%)","156089 (19.0%)","229628 (19.8%)","51638 (18.1%)","155306 (19.8%)"
"simd2020_sc_quintile","3","252972 (18.7%)","157802 (19.2%)","250606 (21.6%)","54693 (19.2%)","157383 (20.0%)"
"simd2020_sc_quintile","4","238702 (17.6%)","174021 (21.2%)","238661 (20.5%)","65611 (23.0%)","167239 (21.3%)"
"simd2020_sc_quintile","5-Low","258653 (19.1%)","178157 (21.7%)","230324 (19.8%)","59590 (20.9%)","158837 (20.2%)"
"simd2020_sc_quintile","NA","21079 (1.6%)","4709 (0.6%)","5401 (0.5%)","1933 (0.7%)","4394 (0.6%)"
"ur6_2016_name","1 Large Urban Areas","610089 (45.0%)","265789 (32.4%)","334132 (28.8%)","109793 (38.5%)","234068 (29.8%)"
"ur6_2016_name","2 Other Urban Areas","417775 (30.8%)","321322 (39.1%)","432655 (37.2%)","90034 (31.6%)","317896 (40.5%)"
"ur6_2016_name","3 Accessible Small Towns","106386 (7.8%)","79142 (9.6%)","122161 (10.5%)","25364 (8.9%)","75092 (9.6%)"
"ur6_2016_name","4 Remote Small Towns","51041 (3.8%)","33351 (4.1%)","75050 (6.5%)","14438 (5.1%)","39250 (5.0%)"
"ur6_2016_name","5 Accessible Rural","100388 (7.4%)","81905 (10.0%)","119952 (10.3%)","28101 (9.8%)","67581 (8.6%)"
"ur6_2016_name","6 Remote Rural","49429 (3.6%)","34763 (4.2%)","72620 (6.2%)","15669 (5.5%)","47184 (6.0%)"
"ur6_2016_name","Unknown","21079 (1.6%)","4709 (0.6%)","5401 (0.5%)","1933 (0.7%)","4394 (0.6%)"
"n_risk_gps","0","1024638 (75.6%)","542990 (66.1%)","446687 (38.4%)","203933 (71.5%)","386517 (49.2%)"
"n_risk_gps","1","263080 (19.4%)","209063 (25.5%)","363699 (31.3%)","65193 (22.8%)","229953 (29.3%)"
"n_risk_gps","2","49626 (3.7%)","50392 (6.1%)","196222 (16.9%)","11577 (4.1%)","99586 (12.7%)"
"n_risk_gps","3","11302 (0.8%)","12174 (1.5%)","89879 (7.7%)","2550 (0.9%)","40986 (5.2%)"
"n_risk_gps","4","4260 (0.3%)","3927 (0.5%)","39643 (3.4%)","1133 (0.4%)","17229 (2.2%)"
"n_risk_gps","5+","3280 (0.2%)","2435 (0.3%)","25841 (2.2%)","946 (0.3%)","11194 (1.4%)"
"n_tests_gp","0","1126582 (83.1%)","684127 (83.3%)","966822 (83.2%)","225291 (79.0%)","569469 (72.5%)"
"n_tests_gp","1","169672 (12.5%)","105321 (12.8%)","130699 (11.2%)","43014 (15.1%)","107257 (13.7%)"
"n_tests_gp","2","33747 (2.5%)","19657 (2.4%)","32490 (2.8%)","9063 (3.2%)","31197 (4.0%)"
"n_tests_gp","3","8722 (0.6%)","4907 (0.6%)","11567 (1.0%)","2484 (0.9%)","13239 (1.7%)"
"n_tests_gp","4-9","9906 (0.7%)","4633 (0.6%)","15007 (1.3%)","3046 (1.1%)","25913 (3.3%)"
"n_tests_gp","10+","7558 (0.6%)","2336 (0.3%)","5386 (0.5%)","2434 (0.9%)","38390 (4.9%)"
"test_before_dec8","0-6d","1370 (0.1%)","780 (0.1%)","850 (0.1%)","331 (0.1%)","1239 (0.2%)"
"test_before_dec8","1m+","11951 (0.9%)","8429 (1.0%)","9764 (0.8%)","3411 (1.2%)","16986 (2.2%)"
"test_before_dec8","2w","1307 (0.1%)","806 (0.1%)","787 (0.1%)","316 (0.1%)","1181 (0.2%)"
"test_before_dec8","3w","1589 (0.1%)","908 (0.1%)","971 (0.1%)","397 (0.1%)","1325 (0.2%)"
"test_before_dec8","4w","1542 (0.1%)","1098 (0.1%)","1031 (0.1%)","412 (0.1%)","1556 (0.2%)"
"test_before_dec8","after-8dec","47740 (3.5%)","24697 (3.0%)","18820 (1.6%)","10289 (3.6%)","17226 (2.2%)"
"test_before_dec8","no pos test","1290688 (95.2%)","784263 (95.5%)","1129748 (97.2%)","270176 (94.7%)","745952 (95.0%)"
