"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Thrombosis or pulmonary embolus: 1","uv",0.0242989092494261,0.0237085009723787,0.00415543165085871,0.147387656463175,0.0281938918806064,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"2","Thrombosis or pulmonary embolus: 1","vacc",0.0201434775985674,0.0197377415830348,0.00415543165085871,0.147387656463175,0.0281938918806064,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"3","Stroke/TIA: 1","uv",0.0402610140071231,0.0386401115556972,0.00380988359028006,0.192045045746231,0.0198384893266888,"Stroke/TIA",1,"PB","Matched"
"4","Stroke/TIA: 1","vacc",0.0364511304168431,0.0351224876356466,0.00380988359028006,0.192045045746231,0.0198384893266888,"Stroke/TIA",1,"PB","Matched"
"5","Sickle cell disease: 1","uv",0.000841063497045754,0.000840357126987636,-3.81296123832019e-05,0.0293153399222718,-0.00130067099628729,"Sickle cell disease",1,"PB","Matched"
"6","Sickle cell disease: 1","vacc",0.000879193109428956,0.000878421182529044,-3.81296123832019e-05,0.0293153399222718,-0.00130067099628729,"Sickle cell disease",1,"PB","Matched"
"7","Severe mental illness: 1","uv",0.162562253550633,0.136135932146518,0.023119587616427,0.357864838261497,0.0646042448001925,"Severe mental illness",1,"PB","Matched"
"8","Severe mental illness: 1","vacc",0.139442665934206,0.119998552781336,0.023119587616427,0.357864838261497,0.0646042448001925,"Severe mental illness",1,"PB","Matched"
"9","Rheumatoid arthritis or SLE: 1","uv",0.0157450657509256,0.015497177424144,0.00108545022099288,0.122355845696541,0.00887125755875156,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"10","Rheumatoid arthritis or SLE: 1","vacc",0.0146596155299327,0.0144447285280875,0.00108545022099288,0.122355845696541,0.00887125755875156,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"11","Respiratory cancer: 1","uv",0.00381469504593733,0.00380014774997397,0.000948021742342233,0.0577001155383004,0.0164301532760875,"Respiratory cancer",1,"PB","Matched"
"12","Respiratory cancer: 1","vacc",0.0028666733035951,0.00285845891629246,0.000948021742342233,0.0577001155383004,0.0164301532760875,"Respiratory cancer",1,"PB","Matched"
"13","Pulmonary rare: 1","uv",0.00751721232919949,0.00746071288371198,0.000949052073765705,0.0836233826047311,0.0113491232261156,"Pulmonary rare",1,"PB","Matched"
"14","Pulmonary rare: 1","vacc",0.00656816025543379,0.00652502735280251,0.000949052073765705,0.0836233826047311,0.0113491232261156,"Pulmonary rare",1,"PB","Matched"
"15","Pulmonary hypertension: 1","uv",0.00274340638935166,0.00273588342419431,0.00087587068487569,0.0479579694883908,0.0182632979298198,"Pulmonary hypertension",1,"PB","Matched"
