"","label","levels","uv","vacc","uv_az","vacc_az","uv_pb","vacc_pb"
"1","event_hosp","0","2401307 (99.9)","2402358 (100.0)","1624901 (99.9)","1625413 (99.9)","776406 (99.9)","776945 (100.0)"
"2","","1","2228 (0.1)","1177 (0.0)","1335 (0.1)","823 (0.1)","893 (0.1)","354 (0.0)"
"3","","1","2228 (0.1)","1177 (0.0)","1335 (0.1)","823 (0.1)","279 (0.0)","164 (0.0)"
"4","","1","2228 (0.1)","1177 (0.0)","1335 (0.1)","823 (0.1)","244428 (31.4)","229863 (29.6)"
"5","","1","2228 (0.1)","1177 (0.0)","1335 (0.1)","823 (0.1)","100984 (13.0)","105075 (13.5)"
"6","","1","2228 (0.1)","1177 (0.0)","520 (0.0)","232 (0.0)","893 (0.1)","354 (0.0)"
"7","","1","2228 (0.1)","1177 (0.0)","520 (0.0)","232 (0.0)","279 (0.0)","164 (0.0)"
"8","","1","2228 (0.1)","1177 (0.0)","520 (0.0)","232 (0.0)","244428 (31.4)","229863 (29.6)"
"9","","1","2228 (0.1)","1177 (0.0)","520 (0.0)","232 (0.0)","100984 (13.0)","105075 (13.5)"
"10","","1","2228 (0.1)","1177 (0.0)","492140 (30.3)","490881 (30.2)","893 (0.1)","354 (0.0)"
"11","","1","2228 (0.1)","1177 (0.0)","492140 (30.3)","490881 (30.2)","279 (0.0)","164 (0.0)"
"12","","1","2228 (0.1)","1177 (0.0)","492140 (30.3)","490881 (30.2)","244428 (31.4)","229863 (29.6)"
"13","","1","2228 (0.1)","1177 (0.0)","492140 (30.3)","490881 (30.2)","100984 (13.0)","105075 (13.5)"
"14","","1","2228 (0.1)","1177 (0.0)","194096 (11.9)","184008 (11.3)","893 (0.1)","354 (0.0)"
"15","","1","2228 (0.1)","1177 (0.0)","194096 (11.9)","184008 (11.3)","279 (0.0)","164 (0.0)"
"16","","1","2228 (0.1)","1177 (0.0)","194096 (11.9)","184008 (11.3)","244428 (31.4)","229863 (29.6)"
"17","","1","2228 (0.1)","1177 (0.0)","194096 (11.9)","184008 (11.3)","100984 (13.0)","105075 (13.5)"
"18","event_death","0","2402736 (100.0)","2403139 (100.0)","1625716 (100.0)","1626004 (100.0)","777020 (100.0)","777135 (100.0)"
"19","","1","799 (0.0)","396 (0.0)","1335 (0.1)","823 (0.1)","893 (0.1)","354 (0.0)"
"20","","1","799 (0.0)","396 (0.0)","1335 (0.1)","823 (0.1)","279 (0.0)","164 (0.0)"
"21","","1","799 (0.0)","396 (0.0)","1335 (0.1)","823 (0.1)","244428 (31.4)","229863 (29.6)"
"22","","1","799 (0.0)","396 (0.0)","1335 (0.1)","823 (0.1)","100984 (13.0)","105075 (13.5)"
"23","","1","799 (0.0)","396 (0.0)","520 (0.0)","232 (0.0)","893 (0.1)","354 (0.0)"
"24","","1","799 (0.0)","396 (0.0)","520 (0.0)","232 (0.0)","279 (0.0)","164 (0.0)"
"25","","1","799 (0.0)","396 (0.0)","520 (0.0)","232 (0.0)","244428 (31.4)","229863 (29.6)"
"26","","1","799 (0.0)","396 (0.0)","520 (0.0)","232 (0.0)","100984 (13.0)","105075 (13.5)"
"27","","1","799 (0.0)","396 (0.0)","492140 (30.3)","490881 (30.2)","893 (0.1)","354 (0.0)"
"28","","1","799 (0.0)","396 (0.0)","492140 (30.3)","490881 (30.2)","279 (0.0)","164 (0.0)"
"29","","1","799 (0.0)","396 (0.0)","492140 (30.3)","490881 (30.2)","244428 (31.4)","229863 (29.6)"
"30","","1","799 (0.0)","396 (0.0)","492140 (30.3)","490881 (30.2)","100984 (13.0)","105075 (13.5)"
"31","","1","799 (0.0)","396 (0.0)","194096 (11.9)","184008 (11.3)","893 (0.1)","354 (0.0)"
"32","","1","799 (0.0)","396 (0.0)","194096 (11.9)","184008 (11.3)","279 (0.0)","164 (0.0)"
"33","","1","799 (0.0)","396 (0.0)","194096 (11.9)","184008 (11.3)","244428 (31.4)","229863 (29.6)"
"34","","1","799 (0.0)","396 (0.0)","194096 (11.9)","184008 (11.3)","100984 (13.0)","105075 (13.5)"
"35","Sex","F","1337627 (55.7)","1326634 (55.2)","882265 (54.3)","840406 (51.7)","455362 (58.6)","486228 (62.6)"
"36","","M","1065908 (44.3)","1076901 (44.8)","743971 (45.7)","785830 (48.3)","321937 (41.4)","291071 (37.4)"
"37","ageYear","Mean (SD)","58.7 (15.6)","58.7 (15.6)","59.3 (15.3)","59.3 (15.3)","57.4 (16.1)","57.4 (16.1)"
"38","age_grp","18-64","1518222 (63.2)","1518222 (63.2)","1086556 (66.8)","1086556 (66.8)","431666 (55.5)","431666 (55.5)"
"39","","65-79","687279 (28.6)","687279 (28.6)","364866 (22.4)","364866 (22.4)","322413 (41.5)","322413 (41.5)"
"40","","80+","198034 (8.2)","198034 (8.2)","174814 (10.7)","174814 (10.7)","23220 (3.0)","23220 (3.0)"
"41","simd2020_sc_quintile","1 - High","435594 (18.1)","436775 (18.2)","286853 (17.6)","293949 (18.1)","148741 (19.1)","142826 (18.4)"
"42","","2","471452 (19.6)","472879 (19.7)","318526 (19.6)","318516 (19.6)","152926 (19.7)","154363 (19.9)"
"43","","2","471452 (19.6)","472879 (19.7)","318526 (19.6)","318516 (19.6)","115446 (14.9)","96535 (12.4)"
