"","label","levels","uv_az","vacc_az"
"1","event","0","1738822 (99.9)","1739519 (100.0)"
"2","","1","1333 (0.1)","636 (0.0)"
"3","event_hosp","0","1739017 (99.9)","1739541 (100.0)"
"4","","1","1138 (0.1)","614 (0.0)"
"5","event_death","0","1739693 (100.0)","1740028 (100.0)"
"6","","1","462 (0.0)","127 (0.0)"
"7","Sex","F","910812 (52.3)","894905 (51.4)"
"8","","M","829343 (47.7)","845250 (48.6)"
"9","ageYear","Mean (SD)","58.8 (15.2)","58.8 (15.2)"
"10","age_grp","18-64","1188931 (68.3)","1188931 (68.3)"
"11","","65-79","371590 (21.4)","371590 (21.4)"
"12","","80+","179634 (10.3)","179634 (10.3)"
"13","simd2020_sc_quintile","1 - High","318836 (18.3)","315798 (18.1)"
"14","","2","343425 (19.7)","339232 (19.5)"
"15","","3","358466 (20.6)","359946 (20.7)"
"16","","4","363466 (20.9)","361367 (20.8)"
"17","","5-Low","347923 (20.0)","355773 (20.4)"
"18","","Missing","8039 (0.5)","8039 (0.5)"
"19","ur6_2016_name","1 Large Urban Areas","525486 (30.2)","529920 (30.5)"
"20","","2 Other Urban Areas","652942 (37.5)","650966 (37.4)"
"21","","3 Accessible Small Towns","178223 (10.2)","177666 (10.2)"
"22","","4 Remote Small Towns","95662 (5.5)","97036 (5.6)"
"23","","5 Accessible Rural","182568 (10.5)","179330 (10.3)"
"24","","6 Remote Rural","97235 (5.6)","97198 (5.6)"
"25","","Unknown","8039 (0.5)","8039 (0.5)"
"26","n_risk_gps","0","828198 (47.6)","823045 (47.3)"
"27","","1","526958 (30.3)","520282 (29.9)"
"28","","2","229923 (13.2)","232072 (13.3)"
"29","","3","91043 (5.2)","96260 (5.5)"
"30","","4","38923 (2.2)","41513 (2.4)"
"31","","5+","25110 (1.4)","26983 (1.6)"
"32","n_tests_gp","0","1460310 (83.9)","1462470 (84.0)"
"33","","1","194526 (11.2)","196902 (11.3)"
"34","","2","44243 (2.5)","43794 (2.5)"
"35","","3","14430 (0.8)","13991 (0.8)"
"36","","4-9","18489 (1.1)","17028 (1.0)"
"37","","10+","8157 (0.5)","5970 (0.3)"
"38","EAVE_Smoke","Ex Smoker","291474 (16.7)","294041 (16.9)"
"39","","Non Smoker","667202 (38.3)","668492 (38.4)"
"40","","Smoker","427085 (24.5)","429195 (24.7)"
"41","","Unknown","354394 (20.4)","348427 (20.0)"
"42","bmi_cat","Underweight","17299 (1.0)","17400 (1.0)"
"43","","Normal weight","210160 (12.1)","213613 (12.3)"
"44","","Overweight","1124747 (64.6)","1116021 (64.1)"
"45","","Obese","387949 (22.3)","393121 (22.6)"
"46","ave_hh_age","Mean (SD)","54.5 (17.7)","54.5 (17.8)"
"47","n_hh_gp","1","614896 (35.3)","611479 (35.1)"
"48","","2","592185 (34.0)","598806 (34.4)"
"49","","3-5","500699 (28.8)","498342 (28.6)"
"50","","6-10","31053 (1.8)","30126 (1.7)"
"51","","11-30","976 (0.1)","1104 (0.1)"
"52","","31-100","223 (0.0)","186 (0.0)"
"53","","101+","123 (0.0)","112 (0.0)"
"54","Q_DIAG_AF","0","1674087 (96.2)","1669428 (95.9)"
"55","","1","66068 (3.8)","70727 (4.1)"
"56","Q_DIAG_ASTHMA","0","1476517 (84.8)","1499721 (86.2)"
"57","","1","263638 (15.2)","240434 (13.8)"
"58","Q_DIAG_BLOOD_CANCER","0","1730010 (99.4)","1725785 (99.2)"
"59","","1","10145 (0.6)","14370 (0.8)"
"60","Q_DIAG_CCF","0","1710160 (98.3)","1708120 (98.2)"
"61","","1","29995 (1.7)","32035 (1.8)"
"62","Q_DIAG_CEREBRALPALSY","0","1738440 (99.9)","1735939 (99.8)"
"63","","1","1715 (0.1)","4216 (0.2)"
"64","Q_DIAG_CHD","0","1621294 (93.2)","1610676 (92.6)"
"65","","1","118861 (6.8)","129479 (7.4)"
"66","Q_DIAG_CIRRHOSIS","0","1726632 (99.2)","1726126 (99.2)"
"67","","1","13523 (0.8)","14029 (0.8)"
"68","Q_DIAG_CONGEN_HD","0","1723626 (99.1)","1716394 (98.6)"
"69","","1","16529 (0.9)","23761 (1.4)"
"70","Q_DIAG_COPD","0","1666381 (95.8)","1651710 (94.9)"
"71","","1","73774 (4.2)","88445 (5.1)"
"72","Q_DIAG_DEMENTIA","0","1720070 (98.8)","1723512 (99.0)"
"73","","1","20085 (1.2)","16643 (1.0)"
"74","Q_DIAG_DIABETES_1","0","1733711 (99.6)","1725642 (99.2)"
"75","","1","6444 (0.4)","14513 (0.8)"
"76","Q_DIAG_DIABETES_2","0","1598221 (91.8)","1577716 (90.7)"
"77","","1","141934 (8.2)","162439 (9.3)"
"78","Q_DIAG_EPILEPSY","0","1708574 (98.2)","1697894 (97.6)"
"79","","1","31581 (1.8)","42261 (2.4)"
"80","Q_DIAG_FRACTURE","0","1628691 (93.6)","1645137 (94.5)"
"81","","1","111464 (6.4)","95018 (5.5)"
"82","Q_DIAG_NEURO","0","1733007 (99.6)","1727813 (99.3)"
"83","","1","7148 (0.4)","12342 (0.7)"
"84","Q_DIAG_PARKINSONS","0","1734356 (99.7)","1734311 (99.7)"
"85","","1","5799 (0.3)","5844 (0.3)"
"86","Q_DIAG_PULM_HYPER","0","1734744 (99.7)","1733843 (99.6)"
"87","","1","5411 (0.3)","6312 (0.4)"
"88","Q_DIAG_PULM_RARE","0","1728620 (99.3)","1724497 (99.1)"
