"","label","levels","uv_pb","vacc_pb"
"1","event","0","832879 (99.9)","833350 (100.0)"
"2","","1","840 (0.1)","369 (0.0)"
"3","event_hosp","0","832958 (99.9)","833428 (100.0)"
"4","","1","761 (0.1)","291 (0.0)"
"5","event_death","0","833508 (100.0)","833595 (100.0)"
"6","","1","211 (0.0)","124 (0.0)"
"7","Sex","F","507290 (60.8)","508427 (61.0)"
"8","","M","326429 (39.2)","325292 (39.0)"
"9","ageYear","Mean (SD)","56.1 (16.4)","56.1 (16.4)"
"10","age_grp","18-64","491221 (58.9)","491221 (58.9)"
"11","","65-79","319944 (38.4)","319944 (38.4)"
"12","","80+","22554 (2.7)","22554 (2.7)"
"13","simd2020_sc_quintile","1 - High","159802 (19.2)","152724 (18.3)"
"14","","2","164176 (19.7)","163837 (19.7)"
"15","","3","170884 (20.5)","165730 (19.9)"
"16","","4","174078 (20.9)","178153 (21.4)"
"17","","5-Low","160895 (19.3)","169391 (20.3)"
"18","","Missing","3884 (0.5)","3884 (0.5)"
"19","ur6_2016_name","1 Large Urban Areas","258154 (31.0)","254808 (30.6)"
"20","","2 Other Urban Areas","318175 (38.2)","332206 (39.8)"
"21","","3 Accessible Small Towns","83271 (10.0)","81497 (9.8)"
"22","","4 Remote Small Towns","44273 (5.3)","40936 (4.9)"
"23","","5 Accessible Rural","76983 (9.2)","72623 (8.7)"
"24","","6 Remote Rural","48979 (5.9)","47765 (5.7)"
"25","","Unknown","3884 (0.5)","3884 (0.5)"
"26","n_risk_gps","0","415784 (49.9)","432880 (51.9)"
"27","","1","245304 (29.4)","243424 (29.2)"
"28","","2","103715 (12.4)","98187 (11.8)"
"29","","3","41209 (4.9)","37026 (4.4)"
"30","","4","17117 (2.1)","14192 (1.7)"
"31","","5+","10590 (1.3)","8010 (1.0)"
"32","n_tests_gp","0","645635 (77.4)","637754 (76.5)"
"33","","1","110764 (13.3)","114364 (13.7)"
"34","","2","29242 (3.5)","29801 (3.6)"
"35","","3","10565 (1.3)","10728 (1.3)"
"36","","4-9","18077 (2.2)","18975 (2.3)"
"37","","10+","19436 (2.3)","22097 (2.7)"
"38","EAVE_Smoke","Ex Smoker","135623 (16.3)","136623 (16.4)"
"39","","Non Smoker","327433 (39.3)","332476 (39.9)"
"40","","Smoker","205181 (24.6)","193166 (23.2)"
"41","","Unknown","165482 (19.8)","171454 (20.6)"
"42","bmi_cat","Underweight","8309 (1.0)","6869 (0.8)"
"43","","Normal weight","107387 (12.9)","103954 (12.5)"
"44","","Overweight","528838 (63.4)","533473 (64.0)"
"45","","Obese","189185 (22.7)","189423 (22.7)"
"46","ave_hh_age","Mean (SD)","52.4 (18.0)","52.2 (18.2)"
"47","n_hh_gp","1","274915 (33.0)","265299 (31.8)"
"48","","2","293331 (35.2)","300388 (36.0)"
"49","","3-5","248351 (29.8)","251047 (30.1)"
"50","","6-10","16063 (1.9)","15969 (1.9)"
"51","","11-30","787 (0.1)","785 (0.1)"
"52","","31-100","164 (0.0)","193 (0.0)"
"53","","101+","108 (0.0)","38 (0.0)"
"54","Q_DIAG_AF","0","807370 (96.8)","807684 (96.9)"
"55","","1","26349 (3.2)","26035 (3.1)"
"56","Q_DIAG_ASTHMA","0","713979 (85.6)","724129 (86.9)"
"57","","1","119740 (14.4)","109590 (13.1)"
"58","Q_DIAG_BLOOD_CANCER","0","828399 (99.4)","828509 (99.4)"
"59","","1","5320 (0.6)","5210 (0.6)"
"60","Q_DIAG_CCF","0","820919 (98.5)","822835 (98.7)"
"61","","1","12800 (1.5)","10884 (1.3)"
"62","Q_DIAG_CEREBRALPALSY","0","832589 (99.9)","832723 (99.9)"
"63","","1","1130 (0.1)","996 (0.1)"
"64","Q_DIAG_CHD","0","778197 (93.3)","777858 (93.3)"
"65","","1","55522 (6.7)","55861 (6.7)"
"66","Q_DIAG_CIRRHOSIS","0","827132 (99.2)","827778 (99.3)"
"67","","1","6587 (0.8)","5941 (0.7)"
"68","Q_DIAG_CONGEN_HD","0","825176 (99.0)","823935 (98.8)"
"69","","1","8543 (1.0)","9784 (1.2)"
"70","Q_DIAG_COPD","0","793719 (95.2)","800946 (96.1)"
"71","","1","40000 (4.8)","32773 (3.9)"
"72","Q_DIAG_DEMENTIA","0","827902 (99.3)","826754 (99.2)"
"73","","1","5817 (0.7)","6965 (0.8)"
"74","Q_DIAG_DIABETES_1","0","829661 (99.5)","828373 (99.4)"
"75","","1","4058 (0.5)","5346 (0.6)"
"76","Q_DIAG_DIABETES_2","0","759795 (91.1)","758924 (91.0)"
"77","","1","73924 (8.9)","74795 (9.0)"
"78","Q_DIAG_EPILEPSY","0","819204 (98.3)","821962 (98.6)"
"79","","1","14515 (1.7)","11757 (1.4)"
"80","Q_DIAG_FRACTURE","0","789648 (94.7)","794771 (95.3)"
"81","","1","44071 (5.3)","38948 (4.7)"
"82","Q_DIAG_NEURO","0","828998 (99.4)","829539 (99.5)"
"83","","1","4721 (0.6)","4180 (0.5)"
"84","Q_DIAG_PARKINSONS","0","831034 (99.7)","831380 (99.7)"
"85","","1","2685 (0.3)","2339 (0.3)"
"86","Q_DIAG_PULM_HYPER","0","831503 (99.7)","832162 (99.8)"
"87","","1","2216 (0.3)","1557 (0.2)"
"88","Q_DIAG_PULM_RARE","0","827623 (99.3)","828243 (99.3)"
"89","","1","6096 (0.7)","5476 (0.7)"
"90","Q_DIAG_PVD","0","820731 (98.4)","822223 (98.6)"
"91","","1","12988 (1.6)","11496 (1.4)"
"92","Q_DIAG_RA_SLE","0","820971 (98.5)","821497 (98.5)"
"93","","1","12748 (1.5)","12222 (1.5)"
"94","Q_DIAG_RESP_CANCER","0","830631 (99.6)","831329 (99.7)"
"95","","1","3088 (0.4)","2390 (0.3)"
"96","Q_DIAG_SEV_MENT_ILL","0","700115 (84.0)","717463 (86.1)"
"97","","1","133604 (16.0)","116256 (13.9)"
"98","Q_DIAG_SICKLE_CELL","0","833033 (99.9)","832986 (99.9)"
"99","","1","686 (0.1)","733 (0.1)"
"100","Q_DIAG_STROKE","0","801088 (96.1)","803329 (96.4)"
"101","","1","32631 (3.9)","30390 (3.6)"
"102","Q_DIAG_VTE","0","813957 (97.6)","816925 (98.0)"
"103","","1","19762 (2.4)","16794 (2.0)"
"104","Q_HOME_CAT","0","831478 (99.7)","829222 (99.5)"
"105","","1","1460 (0.2)","4155 (0.5)"
"106","","2","781 (0.1)","342 (0.0)"
"107","Q_LEARN_CAT","0","821383 (98.5)","824277 (98.9)"
"108","","1","12122 (1.5)","9097 (1.1)"
"109","","2","214 (0.0)","345 (0.0)"
"110","Q_DIAG_CKD_LEVEL","0","794426 (95.3)","794882 (95.3)"
"111","","3","36761 (4.4)","36533 (4.4)"
"112","","4","1419 (0.2)","1155 (0.1)"
"113","","5","1113 (0.1)","1149 (0.1)"
