"","label","levels","uv","vacc"
"1","event","0","2571701 (99.9)","2572869 (100.0)"
"2","","1","2173 (0.1)","1005 (0.0)"
"3","event_hosp","0","2571975 (99.9)","2572969 (100.0)"
"4","","1","1899 (0.1)","905 (0.0)"
"5","event_death","0","2573201 (100.0)","2573623 (100.0)"
"6","","1","673 (0.0)","251 (0.0)"
"7","Sex","F","1418102 (55.1)","1403332 (54.5)"
"8","","M","1155772 (44.9)","1170542 (45.5)"
"9","ageYear","Mean (SD)","57.9 (15.7)","57.9 (15.7)"
"10","age_grp","18-64","1680152 (65.3)","1680152 (65.3)"
"11","","65-79","691534 (26.9)","691534 (26.9)"
"12","","80+","202188 (7.9)","202188 (7.9)"
"13","simd2020_sc_quintile","1 - High","478638 (18.6)","468522 (18.2)"
"14","","2","507601 (19.7)","503069 (19.5)"
"15","","3","529350 (20.6)","525676 (20.4)"
"16","","4","537544 (20.9)","539520 (21.0)"
"17","","5-Low","508818 (19.8)","525164 (20.4)"
"18","","Missing","11923 (0.5)","11923 (0.5)"
"19","ur6_2016_name","1 Large Urban Areas","783640 (30.4)","784728 (30.5)"
"20","","2 Other Urban Areas","971117 (37.7)","983172 (38.2)"
"21","","3 Accessible Small Towns","261494 (10.2)","259163 (10.1)"
"22","","4 Remote Small Towns","139935 (5.4)","137972 (5.4)"
"23","","5 Accessible Rural","259551 (10.1)","251953 (9.8)"
"24","","6 Remote Rural","146214 (5.7)","144963 (5.6)"
"25","","Unknown","11923 (0.5)","11923 (0.5)"
"26","n_risk_gps","0","1243982 (48.3)","1255925 (48.8)"
"27","","1","772262 (30.0)","763706 (29.7)"
"28","","2","333638 (13.0)","330259 (12.8)"
"29","","3","132252 (5.1)","133286 (5.2)"
"30","","4","56040 (2.2)","55705 (2.2)"
"31","","5+","35700 (1.4)","34993 (1.4)"
"32","n_tests_gp","0","2105945 (81.8)","2100224 (81.6)"
"33","","1","305290 (11.9)","311266 (12.1)"
"34","","2","73485 (2.9)","73595 (2.9)"
"35","","3","24995 (1.0)","24719 (1.0)"
"36","","4-9","36566 (1.4)","36003 (1.4)"
"37","","10+","27593 (1.1)","28067 (1.1)"
"38","EAVE_Smoke","Ex Smoker","427097 (16.6)","430664 (16.7)"
"39","","Non Smoker","994635 (38.6)","1000968 (38.9)"
"40","","Smoker","632266 (24.6)","622361 (24.2)"
"41","","Unknown","519876 (20.2)","519881 (20.2)"
"42","bmi_cat","Underweight","25608 (1.0)","24269 (0.9)"
"43","","Normal weight","317547 (12.3)","317567 (12.3)"
"44","","Overweight","1653585 (64.2)","1649494 (64.1)"
"45","","Obese","577134 (22.4)","582544 (22.6)"
"46","ave_hh_age","Mean (SD)","53.8 (17.8)","53.8 (18.0)"
