"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.145895782225786,0.0614246940596497,0.346531303039188,1,"0.15 (0.06, 0.35)",0,3
"2",0.162934540836078,0.0722507877063925,0.36743771853874,2,"0.16 (0.07, 0.37)",0,3
"3",0.181960926264966,0.0849234686259124,0.38987784204921,3,"0.18 (0.08, 0.39)",0,6
"4",0.203208286285203,0.0997322263398795,0.414044779008981,4,"0.2 (0.1, 0.41)",0,4
"5",0.226939676640682,0.11700053051307,0.440182763342461,5,"0.23 (0.12, 0.44)",0,6
"6",0.253436446717896,0.137074818499782,0.468576455018946,6,"0.25 (0.14, 0.47)",0,4
"7",0.283029358620714,0.160329877362309,0.499630007576392,7,"0.28 (0.16, 0.5)",2,2
"8",0.316084476787727,0.187143065727468,0.533866408983952,8,"0.32 (0.19, 0.53)",2,5
"9",0.352985210182945,0.217850588096411,0.571945018357056,9,"0.35 (0.22, 0.57)",2,3
"10",0.394200198204685,0.252738026660429,0.614841376732735,10,"0.39 (0.25, 0.61)",2,3
"11",0.440238826099406,0.291944979927307,0.66385873137343,11,"0.44 (0.29, 0.66)",1,1
"12",0.491655945903006,0.335381035105243,0.720749069982224,12,"0.49 (0.34, 0.72)",2,2
"13",0.549078678122177,0.382665344089975,0.78786176857842,13,"0.55 (0.38, 0.79)",6,3
"14",0.613205406831235,0.433104720210396,0.868198505858803,14,"0.61 (0.43, 0.87)",1,3
"15",0.684353177116405,0.485549157289255,0.964555831265327,15,"0.68 (0.49, 0.96)",4,1
"16",0.760570724728694,0.53785160963936,1.07551565700845,16,"0.76 (0.54, 1.08)",3,6
"17",0.838212748844982,0.587884359998239,1.19513404358702,17,"0.84 (0.59, 1.2)",3,5
"18",0.912266070302336,0.633800594809223,1.31307763015806,18,"0.91 (0.63, 1.31)",5,4
"19",0.976357341850093,0.673621374357967,1.41514758181946,19,"0.98 (0.67, 1.42)",4,5
"20",1.02329274414374,0.704858619559388,1.48558591916176,20,"1.02 (0.7, 1.49)",5,9
"21",1.04587691060033,0.724002915168498,1.51084821512398,21,"1.05 (0.72, 1.51)",4,2
"22",1.0397215535991,0.726651154850665,1.48767520948988,22,"1.04 (0.73, 1.49)",4,5
"23",1.00911857380198,0.710657926527736,1.43292610689315,23,"1.01 (0.71, 1.43)",6,8
"24",0.961365703122992,0.67698436629537,1.3652073240609,24,"0.96 (0.68, 1.37)",3,2
"25",0.903806252250977,0.630474098101114,1.29563727370914,25,"0.9 (0.63, 1.3)",0,6
"26",0.842968825026547,0.578854142077583,1.22759152662571,26,"0.84 (0.58, 1.23)",1,0
"27",0.784225675687743,0.529959880064235,1.16048390367466,27,"0.78 (0.53, 1.16)",2,2
"28",0.73160785047864,0.489423168221192,1.09363446938432,28,"0.73 (0.49, 1.09)",4,5
"29",0.687434497501529,0.459131542067286,1.0292609961568,29,"0.69 (0.46, 1.03)",4,3
"30",0.651028599832687,0.435640723253631,0.972907754432656,30,"0.65 (0.44, 0.97)",6,4
"31",0.621202128511338,0.415299631745154,0.929189565724961,31,"0.62 (0.42, 0.93)",0,6
"32",0.59703558735903,0.396247089203844,0.899568734471561,32,"0.6 (0.4, 0.9)",6,2
"33",0.577826149977324,0.378603792887935,0.881879859287213,33,"0.58 (0.38, 0.88)",2,5
"34",0.562973299801012,0.363784446280717,0.871227287282842,34,"0.56 (0.36, 0.87)",1,8
"35",0.552000432426699,0.353483283774829,0.862005337693312,35,"0.55 (0.35, 0.86)",1,2
"36",0.544526210092023,0.34834916406082,0.851182732924295,36,"0.54 (0.35, 0.85)",1,0
"37",0.540103472794567,0.346449349455501,0.842004067212775,37,"0.54 (0.35, 0.84)",2,4
"38",0.538321625820748,0.345408062564871,0.838979179218978,38,"0.54 (0.35, 0.84)",1,6
"39",0.538843973857485,0.34374218983387,0.844681964418895,39,"0.54 (0.34, 0.84)",3,8
"40",0.541329405544186,0.341358105830401,0.858446072619157,40,"0.54 (0.34, 0.86)",2,2
"41",0.545496881150235,0.339439429073358,0.876641962770697,41,"0.55 (0.34, 0.88)",2,6
"42",0.551044364705663,0.339641434698909,0.894030765542645,42,"0.55 (0.34, 0.89)",2,0
"43",0.557576648454454,0.342732867264906,0.907096309095464,43,"0.56 (0.34, 0.91)",0,7
"44",0.564110158522606,0.346688783326398,0.91788453002474,44,"0.56 (0.35, 0.92)",2,2
"45",0.569566163691561,0.34883471235142,0.929969419142877,45,"0.57 (0.35, 0.93)",0,4
"46",0.572796203043603,0.347267449976362,0.944791947081424,46,"0.57 (0.35, 0.94)",5,4
"47",0.572640879679649,0.341534798654919,0.960129329051487,47,"0.57 (0.34, 0.96)",2,2
"48",0.56801475189449,0.332495874920676,0.970360184007492,48,"0.57 (0.33, 0.97)",2,2
"49",0.557943976933965,0.321445125085819,0.96844362257408,49,"0.56 (0.32, 0.97)",2,2
"50",0.54211967099704,0.309063304094839,0.950917607454794,50,"0.54 (0.31, 0.95)",2,2
"51",0.522195345454828,0.294993487616394,0.92438643652123,51,"0.52 (0.29, 0.92)",1,2
"52",0.500215766702648,0.278964796582139,0.896944045713108,52,"0.5 (0.28, 0.9)",0,1
"53",0.477974945490405,0.261517354599942,0.873594216590497,53,"0.48 (0.26, 0.87)",0,1
"54",0.457014491082101,0.244051721896355,0.855811397010884,54,"0.46 (0.24, 0.86)",0,3
"55",0.438578077538762,0.228308870453327,0.84250221953999,55,"0.44 (0.23, 0.84)",1,1
"56",0.423771747393898,0.215842741598337,0.832006175234115,56,"0.42 (0.22, 0.83)",1,0
"57",0.413262632455632,0.207218486684636,0.824183238265206,57,"0.41 (0.21, 0.82)",1,1
"58",0.406761473759522,0.20116716105369,0.822474680600877,58,"0.41 (0.2, 0.82)",0,0
"59",0.403826459614265,0.1962634351767,0.83090265559538,59,"0.4 (0.2, 0.83)",1,1
"60",0.404129974389834,0.191666636139487,0.852109889806118,60,"0.4 (0.19, 0.85)",0,2
"61",0.407414469762766,0.187252632047538,0.886431065652186,61,"0.41 (0.19, 0.89)",0,0
"62",0.413547842458424,0.183542916496231,0.931781085681556,62,"0.41 (0.18, 0.93)",0,1
"63",0.422324020808908,0.181349809463803,0.983500225776653,63,"0.42 (0.18, 0.98)",0,1
"64",0.43365484856891,0.181432281180181,1.03651084836752,64,"0.43 (0.18, 1.04)",0,0
"65",0.447401660554176,0.183694757588811,1.08967859776759,65,"0.45 (0.18, 1.09)",0,4
"66",0.463385025402448,0.187600231183193,1.14459177588937,66,"0.46 (0.19, 1.14)",0,0
"67",0.481489197568751,0.192472678110403,1.20449224093209,67,"0.48 (0.19, 1.2)",1,2
"68",0.501503370824534,0.197521282807522,1.2733090195321,68,"0.5 (0.2, 1.27)",3,0
"69",0.523153591273994,0.201959238130206,1.35517286852917,69,"0.52 (0.2, 1.36)",0,0
"70",0.546190282102693,0.205161274127815,1.45409422675726,70,"0.55 (0.21, 1.45)",0,0
"71",0.57033177976914,0.206770898047266,1.5731340439421,71,"0.57 (0.21, 1.57)",0,0
"72",0.595590171644709,0.206861272319195,1.71480939173774,72,"0.6 (0.21, 1.71)",0,0
"73",0.621987234704375,0.205598033054979,1.88167228249573,73,"0.62 (0.21, 1.88)",0,0
"74",0.649583234017853,0.203179477608932,2.07677656662378,74,"0.65 (0.2, 2.08)",0,0
"75",0.678443407076014,0.199805083513784,2.30367240167419,75,"0.68 (0.2, 2.3)",0,0
"76",0.708722734648837,0.195686357337406,2.56680088199542,76,"0.71 (0.2, 2.57)",0,0
"77",0.74089057412865,0.191089996709502,2.87256712692897,77,"0.74 (0.19, 2.87)",0,1
"78",0.775804837512096,0.186325627971397,3.23022201755071,78,"0.78 (0.19, 3.23)",0,0
"79",0.812229254769724,0.181161469682833,3.64159312385119,79,"0.81 (0.18, 3.64)",0,0
"80",0.850125096334886,0.175684149899954,4.11370450794769,80,"0.85 (0.18, 4.11)",0,0
"81",0.889843843830634,0.170043662715039,4.65658086729301,81,"0.89 (0.17, 4.66)",0,0
"82",0.930035290658208,0.164056912739993,5.27235108489786,82,"0.93 (0.16, 5.27)",0,0
"83",0.97186192182885,0.158015096082814,5.97737569710336,83,"0.97 (0.16, 5.98)",0,0
"84",1.01629789303367,0.152106587202683,6.79037920960247,84,"1.02 (0.15, 6.79)",1,0
"85",1.08114214329831,0.148781093424664,7.85629616714387,85,"1.08 (0.15, 7.86)",0,0
"86",1.13496180583062,0.143466135419312,8.97869240660465,86,"1.13 (0.14, 8.98)",0,1
"87",1.1871324222742,0.1377168918239,10.2331919443599,87,"1.19 (0.14, 10.23)",0,0
"88",1.24190246732278,0.132116229481815,11.6739763493984,88,"1.24 (0.13, 11.67)",0,0
"89",1.29769006738487,0.126508267004213,13.3113791759812,89,"1.3 (0.13, 13.31)",0,0
"90",1.35723402753776,0.121175047391521,15.2018443166318,90,"1.36 (0.12, 15.2)",0,0
"91",1.41885860824062,0.115949185656061,17.3624311269431,91,"1.42 (0.12, 17.36)",0,0
"92",1.48641599470294,0.111127943505339,19.8818806469012,92,"1.49 (0.11, 19.88)",0,0
"93",1.55577750829051,0.106362954554997,22.7564537430284,93,"1.56 (0.11, 22.76)",0,0
"94",1.62753487474516,0.101708600807717,26.0437145676551,94,"1.63 (0.1, 26.04)",0,0
"95",1.70273885213559,0.0972301361433469,29.8191457255345,95,"1.7 (0.1, 29.82)",0,0
"96",1.7847096769935,0.0930896647254755,34.2163508757654,96,"1.78 (0.09, 34.22)",0,0
"97",1.86705461665592,0.0889283845643357,39.1988784981727,97,"1.87 (0.09, 39.2)",0,0
"98",1.95381110051765,0.0849562498266329,44.9334548581886,98,"1.95 (0.08, 44.93)",0,0
"99",2.04700529297141,0.081236493289824,51.5806443602099,99,"2.05 (0.08, 51.58)",0,0
"100",2.14436523776906,0.0776514456481882,59.2172139818964,100,"2.14 (0.08, 59.22)",0,0
"101",2.24537096559455,0.0741762279685493,67.9690907883949,101,"2.25 (0.07, 67.97)",0,0
"102",2.35405890099324,0.0709307227892872,78.1268411123879,102,"2.35 (0.07, 78.13)",0,0
"103",2.46567434400221,0.0677507830230254,89.7340178135592,103,"2.47 (0.07, 89.73)",0,0
"104",2.57979841783493,0.0646327982046359,102.971866630188,104,"2.58 (0.06, 102.97)",0,0
"105",2.7041138446054,0.0617608312506285,118.395940218376,105,"2.7 (0.06, 118.4)",0,0
"106",2.83388905458732,0.0589969032369506,136.124554562721,106,"2.83 (0.06, 136.12)",0,0
"107",2.96937332971179,0.0563392452056296,156.501528180265,107,"2.97 (0.06, 156.5)",0,0
"108",3.11393409138809,0.0538395135345495,180.101655622995,108,"3.11 (0.05, 180.1)",0,0
"109",3.27034258047759,0.0515204612342497,207.590156172262,109,"3.27 (0.05, 207.59)",0,0
"110",3.42739085673818,0.0491923462326678,238.797475308292,110,"3.43 (0.05, 238.8)",0,0
"111",3.58511783388859,0.0468749077801464,274.199363615812,111,"3.59 (0.05, 274.2)",0,0
"112",3.75678704221641,0.0447419734784674,315.440911147056,112,"3.76 (0.04, 315.44)",0,0
"113",3.94556255930029,0.0427986536722496,363.737234086083,113,"3.95 (0.04, 363.74)",0,0
"114",4.13947948351487,0.0408933731914268,419.023647529104,114,"4.14 (0.04, 419.02)",0,0
"115",4.3386134695703,0.0390310092245438,482.272101396243,115,"4.34 (0.04, 482.27)",0,0
"116",4.55100628966287,0.0372808218939742,555.55798387317,116,"4.55 (0.04, 555.56)",0,0
"117",4.75922919382965,0.0354979558848126,638.072304582785,117,"4.76 (0.04, 638.07)",0,0
"118",4.96170987610861,0.0336944177517341,730.642240980902,118,"4.96 (0.03, 730.64)",0,0
"119",5.18492046457696,0.0320554094659598,838.654089024721,119,"5.18 (0.03, 838.65)",0,0
"120",5.41705252835361,0.0304880166730874,962.491539203514,120,"5.42 (0.03, 962.49)",0,0
"121",5.62978344733598,0.0288429942987434,1098.86169707696,121,"5.63 (0.03, 1098.86)",0,0
"122",5.85409951198052,0.0273003487117101,1255.31294336437,122,"5.85 (0.03, 1255.31)",0,0
"123",6.03913711588524,0.0256342448066062,1422.75215749924,123,"6.04 (0.03, 1422.75)",0,0
"124",6.28132889806838,0.0242668793800704,1625.88242632104,124,"6.28 (0.02, 1625.88)",0,0
"125",6.5506302085619,0.0230325751077081,1863.04639966042,125,"6.55 (0.02, 1863.05)",0,0
"126",6.84163157690745,0.0218925997665046,2138.07054134122,126,"6.84 (0.02, 2138.07)",0,0
"127",7.14403211487302,0.0208037405410977,2453.27011060888,127,"7.14 (0.02, 2453.27)",0,0
"128",7.38561501160157,0.0195716778868947,2787.05328254557,128,"7.39 (0.02, 2787.05)",0,0
"129",7.6678674563396,0.0184902651880724,3179.84575829231,129,"7.67 (0.02, 3179.85)",0,0
"130",7.90760191895695,0.0173510205595298,3603.8322872223,130,"7.91 (0.02, 3603.83)",0,0
"131",8.08742324057448,0.0161468317861537,4050.72744538479,131,"8.09 (0.02, 4050.73)",0,0
"132",8.40341436268714,0.0152656658748116,4625.89536087878,132,"8.4 (0.02, 4625.9)",0,0
"133",8.76431585130379,0.0144859620984315,5302.59790958118,133,"8.76 (0.01, 5302.6)",0,0
"134",9.0025953198167,0.0135379690139992,5986.62342989391,134,"9 (0.01, 5986.62)",0,0
"135",9.26352056631519,0.0126737748520695,6770.89614453207,135,"9.26 (0.01, 6770.9)",0,0
"136",9.57859173710564,0.0119224058314663,7695.54576174534,136,"9.58 (0.01, 7695.55)",0,0
"137",9.91267185652968,0.0112246800805432,8754.01905712758,137,"9.91 (0.01, 8754.02)",0,0
"138",10.2841947947805,0.010594090804657,9983.36379470133,138,"10.28 (0.01, 9983.36)",0,0
"139",10.737601767579,0.0100623735830985,11458.1406431556,139,"10.74 (0.01, 11458.14)",0,0
"140",11.2109984320452,0.00955712340635032,13151.0790955996,140,"11.21 (0.01, 13151.08)",0,0
"141",11.7052660886408,0.00907704225368197,15094.4823629424,141,"11.71 (0.01, 15094.48)",0,0
"142",12.2213248923678,0.00862089394502013,17325.4401547402,142,"12.22 (0.01, 17325.44)",0,0
