"","vacc_z.yr","est_adj","lwr_adj","upr_adj"
"1","Period0:14",6.85081890017017e+207,1.31492453966325e+201,3.5693089745628e+214
"2","Period15:21",4.58084469378645e+207,8.72461568102483e+200,2.40516475175289e+214
"3","Period22:28",4.08186983102677e+207,7.74627092330592e+200,2.15092674687083e+214
"4","Period29:35",3.61914463714087e+207,6.83743946885341e+200,1.91565979694765e+214
"5","Period26:42",2.7681778182753e+207,5.20685747743939e+200,1.47167623980362e+214
"6","Period43+",1.78441134724639e+207,3.35903558955622e+200,9.47927990427261e+213
"7","calendar_week",0.974,0.973,0.975
"8","Period0:14:vaccvacc",0.535,0.506,0.566
"9","Period15:21:vaccvacc",0.612,0.538,0.698
"10","Period22:28:vaccvacc",0.422,0.352,0.506
"11","Period29:35:vaccvacc",0.383,0.304,0.482
"12","Period26:42:vaccvacc",0.537,0.409,0.705
"13","Period43+:vaccvacc",0.279,0.211,0.368
