"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.33666484927202,0.281188214438449,0.403086669054413,1,"0.34 (0.28, 0.4)",42,112
"2",0.350739579997293,0.296819319936681,0.414455005836279,2,"0.35 (0.3, 0.41)",26,95
"3",0.365388741281404,0.313079494349383,0.426437804662539,3,"0.37 (0.31, 0.43)",22,84
"4",0.380653470670982,0.32993090881835,0.439173962975504,4,"0.38 (0.33, 0.44)",30,58
"5",0.396556915780268,0.347288569847539,0.452814751496701,5,"0.4 (0.35, 0.45)",23,66
"6",0.41312430161003,0.365030762505723,0.46755426147981,6,"0.41 (0.37, 0.47)",31,64
"7",0.430385253322784,0.382999301543894,0.483633953197925,7,"0.43 (0.38, 0.48)",21,81
"8",0.448365510961118,0.401000489784133,0.501325151816258,8,"0.45 (0.4, 0.5)",20,44
"9",0.467110180841297,0.418849164125015,0.52093197201765,9,"0.47 (0.42, 0.52)",22,36
"10",0.486648582915175,0.436373360088893,0.542716088821519,10,"0.49 (0.44, 0.54)",25,44
"11",0.507001430133563,0.453455757082939,0.566869967229155,11,"0.51 (0.45, 0.57)",23,38
"12",0.528209195009211,0.470075206639975,0.593532587448215,12,"0.53 (0.47, 0.59)",22,33
"13",0.550305164044148,0.486272537037827,0.622769641523267,13,"0.55 (0.49, 0.62)",26,37
"14",0.573322941054413,0.502131176356613,0.654608218362923,14,"0.57 (0.5, 0.65)",22,40
"15",0.597067579561701,0.51762767056211,0.68869906853423,15,"0.6 (0.52, 0.69)",16,34
"16",0.620313288706136,0.532204590349141,0.723008751001171,16,"0.62 (0.53, 0.72)",17,25
"17",0.641416177945929,0.54513382643707,0.754704062339556,17,"0.64 (0.55, 0.75)",15,26
"18",0.658506141249709,0.555524298794847,0.780578525555584,18,"0.66 (0.56, 0.78)",14,20
"19",0.66965071375235,0.562318142378625,0.797470408000974,19,"0.67 (0.56, 0.8)",13,20
"20",0.672905215617651,0.564119911214593,0.802668759254608,20,"0.67 (0.56, 0.8)",20,20
"21",0.666594927565245,0.559127232033692,0.794718575662112,21,"0.67 (0.56, 0.79)",15,17
"22",0.650105169110508,0.545390368581177,0.774925182495768,22,"0.65 (0.55, 0.77)",8,17
"23",0.625911334224969,0.522998524363887,0.749074768017323,23,"0.63 (0.52, 0.75)",11,12
"24",0.59722851904586,0.4940155986351,0.722005347497479,24,"0.6 (0.49, 0.72)",12,21
"25",0.566924911432416,0.461905445666099,0.695821749274174,25,"0.57 (0.46, 0.7)",4,19
"26",0.537456559947546,0.430527361217781,0.670943544711277,26,"0.54 (0.43, 0.67)",7,13
"27",0.510825860842883,0.403073580125101,0.647383189999415,27,"0.51 (0.4, 0.65)",8,13
"28",0.488617572821778,0.381655814073825,0.625556125876453,28,"0.49 (0.38, 0.63)",8,10
"29",0.471746468898049,0.36680133285232,0.60671734529214,29,"0.47 (0.37, 0.61)",5,9
"30",0.459462530150365,0.356358705177754,0.5923969684054,30,"0.46 (0.36, 0.59)",3,14
"31",0.450789089544371,0.348154572797555,0.583679833986859,31,"0.45 (0.35, 0.58)",3,20
"32",0.444864434257713,0.340885676869472,0.580559343780274,32,"0.44 (0.34, 0.58)",8,17
"33",0.440962038002752,0.334232665736943,0.581772935122325,33,"0.44 (0.33, 0.58)",9,5
"34",0.438405567455138,0.32853933967439,0.58501195554282,34,"0.44 (0.33, 0.59)",4,17
"35",0.436503137221932,0.324293574072269,0.587538588606532,35,"0.44 (0.32, 0.59)",2,8
"36",0.434771952489787,0.321603078726224,0.5877638094152,36,"0.43 (0.32, 0.59)",5,11
"37",0.43327394315962,0.319681125155737,0.587229883308352,37,"0.43 (0.32, 0.59)",2,8
"38",0.432193909387406,0.317634123505073,0.588071499530138,38,"0.43 (0.32, 0.59)",4,7
"39",0.431720174469793,0.315046161129524,0.591603174518929,39,"0.43 (0.32, 0.59)",2,7
"40",0.432050328100179,0.312189184126708,0.597930663529039,40,"0.43 (0.31, 0.6)",7,7
"41",0.433386331963809,0.309895379860691,0.606087489324553,41,"0.43 (0.31, 0.61)",4,2
"42",0.435921881641529,0.309192019352409,0.614595057440026,42,"0.44 (0.31, 0.61)",3,7
"43",0.439817624082248,0.310675061972692,0.622642645422105,43,"0.44 (0.31, 0.62)",1,8
"44",0.44499098654743,0.31361542391307,0.631400635969175,44,"0.44 (0.31, 0.63)",1,11
"45",0.451315172316134,0.317010263497534,0.642519843097529,45,"0.45 (0.32, 0.64)",1,3
"46",0.458694462715689,0.320232873455983,0.657023771030661,46,"0.46 (0.32, 0.66)",4,7
"47",0.466954656417261,0.323190497904107,0.674669127229286,47,"0.47 (0.32, 0.67)",1,1
