"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.236086767634719,0.176338664994356,0.316079073491872,1,"0.24 (0.18, 0.32)",4,33
"2",0.251658130112635,0.191541594848894,0.330642618391843,2,"0.25 (0.19, 0.33)",7,42
"3",0.26824963222999,0.207919750868726,0.346084799019198,3,"0.27 (0.21, 0.35)",5,37
"4",0.285935115246493,0.225524790165572,0.362527286117864,4,"0.29 (0.23, 0.36)",6,31
"5",0.304792374942866,0.244392343256924,0.380119894859598,5,"0.3 (0.24, 0.38)",3,30
"6",0.324885471123832,0.264519391543942,0.399027718653362,6,"0.32 (0.26, 0.4)",4,24
"7",0.34630867368093,0.285889669698408,0.419496435786439,7,"0.35 (0.29, 0.42)",16,23
"8",0.369158023483902,0.308441228287485,0.441826947257268,8,"0.37 (0.31, 0.44)",18,15
"9",0.393506055449432,0.332037513930274,0.466353978628718,9,"0.39 (0.33, 0.47)",13,21
"10",0.419457849362571,0.356514838408331,0.493513504732042,10,"0.42 (0.36, 0.49)",14,20
"11",0.447135127043344,0.381684862119422,0.5238086224481,11,"0.45 (0.38, 0.52)",12,21
"12",0.476637010890776,0.407332120001829,0.557733674795579,12,"0.48 (0.41, 0.56)",15,28
"13",0.508081215562578,0.433288337963797,0.595784605744721,13,"0.51 (0.43, 0.6)",14,27
"14",0.541594840600841,0.459455988331203,0.638417996097605,14,"0.54 (0.46, 0.64)",10,16
"15",0.57699772952446,0.485635565554032,0.685547771808199,15,"0.58 (0.49, 0.69)",11,11
"16",0.6125521006072,0.510836708320027,0.734520581326797,16,"0.61 (0.51, 0.73)",10,18
"17",0.645708268738309,0.533800287624832,0.781077076919935,17,"0.65 (0.53, 0.78)",12,17
"18",0.67349836042659,0.553110702956628,0.820089069100645,18,"0.67 (0.55, 0.82)",9,23
"19",0.692605425581588,0.567002267056427,0.846032376617135,19,"0.69 (0.57, 0.85)",9,13
"20",0.699795167255929,0.573343875517119,0.85413535755146,20,"0.7 (0.57, 0.85)",9,17
"21",0.692231257100401,0.569361587573042,0.841616511836298,21,"0.69 (0.57, 0.84)",9,12
"22",0.669068092736313,0.552230347372412,0.810625701480909,22,"0.67 (0.55, 0.81)",9,11
"23",0.634648754489971,0.522420888846336,0.770985713195984,23,"0.63 (0.52, 0.77)",7,19
"24",0.594314436514818,0.483475680234686,0.730563426227505,24,"0.59 (0.48, 0.73)",5,18
"25",0.552709244820949,0.441140739336253,0.692494440142131,25,"0.55 (0.44, 0.69)",4,17
"26",0.513515956643051,0.40125608041691,0.657182907865325,26,"0.51 (0.4, 0.66)",3,13
"27",0.479489326919524,0.368079263449403,0.62462093755342,27,"0.48 (0.37, 0.62)",5,10
"28",0.452638729086219,0.344045271073918,0.595508313278834,28,"0.45 (0.34, 0.6)",9,9
"29",0.433909865236235,0.329405239597247,0.571568841404978,29,"0.43 (0.33, 0.57)",6,5
"30",0.421780145645696,0.320794409738295,0.554556082838335,30,"0.42 (0.32, 0.55)",7,10
"31",0.414461883642004,0.314841528747562,0.5456035411701,31,"0.41 (0.31, 0.55)",3,15
"32",0.410485561451365,0.309492837281928,0.544433912073226,32,"0.41 (0.31, 0.54)",5,9
"33",0.408559120620106,0.304183635217599,0.548749293900926,33,"0.41 (0.3, 0.55)",3,4
"34",0.407433243880814,0.299368448904886,0.55450682537352,34,"0.41 (0.3, 0.55)",3,7
"35",0.405876012458659,0.295728955488932,0.557048386475997,35,"0.41 (0.3, 0.56)",6,5
"36",0.402980118788623,0.293337821938927,0.553603947371993,36,"0.4 (0.29, 0.55)",3,10
"37",0.398949668765324,0.291061857111731,0.546828223345199,37,"0.4 (0.29, 0.55)",4,17
"38",0.394276056149583,0.28759931961489,0.540521475019583,38,"0.39 (0.29, 0.54)",3,10
"39",0.389458006315321,0.282398691106273,0.537104255295662,39,"0.39 (0.28, 0.54)",5,5
"40",0.384936451477932,0.276032458533607,0.536806694631466,40,"0.38 (0.28, 0.54)",2,5
"41",0.381153419234929,0.269980540005603,0.538105187105199,41,"0.38 (0.27, 0.54)",2,13
"42",0.378522719774464,0.265922754819527,0.538801011905492,42,"0.38 (0.27, 0.54)",1,5
"43",0.377343658953959,0.264751273416447,0.537818893617893,43,"0.38 (0.26, 0.54)",3,9
"44",0.377296020374982,0.265197518397315,0.536778352418549,44,"0.38 (0.27, 0.54)",4,9
"45",0.377973489334636,0.265564411395791,0.537963494012303,45,"0.38 (0.27, 0.54)",2,9
"46",0.37896387705569,0.264713495349794,0.542524739523794,46,"0.38 (0.26, 0.54)",5,8
"47",0.379838910379347,0.26247448438203,0.549682374566261,47,"0.38 (0.26, 0.55)",1,9
"48",0.380182432660664,0.259554711890452,0.556871732557044,48,"0.38 (0.26, 0.56)",3,11
"49",0.379581836077797,0.256977496951533,0.560680884472021,49,"0.38 (0.26, 0.56)",2,4
"50",0.377810795525835,0.255289583888303,0.559133651447048,50,"0.38 (0.26, 0.56)",4,6
"51",0.375397048349071,0.253920850909885,0.554987679838893,51,"0.38 (0.25, 0.55)",3,7
"52",0.373067090987747,0.252109374667423,0.5520582269567,52,"0.37 (0.25, 0.55)",2,8
"53",0.37151771928457,0.249631229490175,0.552917261290981,53,"0.37 (0.25, 0.55)",2,1
"54",0.371464249636952,0.247153246979028,0.558300125306678,54,"0.37 (0.25, 0.56)",0,5
"55",0.373585763137065,0.246069251861333,0.567183105418443,55,"0.37 (0.25, 0.57)",0,5
"56",0.378667545534386,0.248182640166845,0.577756405301517,56,"0.38 (0.25, 0.58)",1,4
"57",0.387312399206213,0.254801513915687,0.588736276616125,57,"0.39 (0.25, 0.59)",2,7
"58",0.399337789082713,0.265122191051765,0.601498762351178,58,"0.4 (0.27, 0.6)",1,4
"59",0.414330337112366,0.277431339481155,0.618782393412003,59,"0.41 (0.28, 0.62)",3,2
