"vacc","z.yr","vacc_type","pyears","event","Rate","RR_est"
"uv","-1+ thru  13","AZ",44675,792,18,NA
"vacc","-1+ thru  13","AZ",44707.5,333,7,"0.42 (0.37, 0.48)"
"uv","13+ thru  20","AZ",18776.5,185,10,NA
"vacc","13+ thru  20","AZ",18811.5,117,6,"0.63 (0.50, 0.80)"
"uv","20+ thru  27","AZ",17136.4,112,7,NA
"vacc","20+ thru  27","AZ",17177.3,65,4,"0.58 (0.43, 0.79)"
"uv","27+ thru  34","AZ",15345,92,6,NA
"vacc","27+ thru  34","AZ",15389.8,40,3,"0.43 (0.30, 0.63)"
"uv","34+ thru  41","AZ",13190.5,50,4,NA
"vacc","34+ thru  41","AZ",13237.1,26,2,"0.52 (0.32, 0.83)"
"uv","41+ thru  48","AZ",10866.9,47,4,NA
"vacc","41+ thru  48","AZ",10913.1,14,1,"0.30 (0.16, 0.54)"
"uv","48+ thru  55","AZ",9282.5,16,2,NA
"vacc","48+ thru  55","AZ",9328.7,15,2,"0.93 (0.46, 1.89)"
"uv","55+ thru  62","AZ",7037.8,25,4,NA
"vacc","55+ thru  62","AZ",7079.3,10,1,"0.40 (0.19, 0.83)"
"uv","62+ thru  69","AZ",4496.7,12,3,NA
"vacc","62+ thru  69","AZ",4525.5,12,3,"0.99 (0.45, 2.21)"
"uv","69+ thru 142","AZ",3332.9,2,1,NA
"vacc","69+ thru 142","AZ",3313.3,4,1,"2.01 (0.37, 10.98)"
"uv","-1+ thru  13","PB",22995.9,352,15,NA
"vacc","-1+ thru  13","PB",23009.2,131,6,"0.37 (0.30, 0.46)"
"uv","13+ thru  20","PB",10469.7,115,11,NA
"vacc","13+ thru  20","PB",10484.5,70,7,"0.61 (0.45, 0.82)"
"uv","20+ thru  27","PB",9955,100,10,NA
"vacc","20+ thru  27","PB",9973.7,42,4,"0.42 (0.29, 0.60)"
"uv","27+ thru  34","PB",9748.5,59,6,NA
"vacc","27+ thru  34","PB",9770.4,36,4,"0.61 (0.40, 0.92)"
"uv","34+ thru  41","PB",9591.8,65,7,NA
"vacc","34+ thru  41","PB",9615.5,25,3,"0.38 (0.24, 0.61)"
"uv","41+ thru  48","PB",9381.6,60,6,NA
"vacc","41+ thru  48","PB",9406.1,19,2,"0.32 (0.19, 0.53)"
"uv","48+ thru  55","PB",9038.6,36,4,NA
"vacc","48+ thru  55","PB",9063.4,13,1,"0.36 (0.19, 0.68)"
"uv","55+ thru  62","PB",8047.1,26,3,NA
"vacc","55+ thru  62","PB",8068.9,13,2,"0.50 (0.26, 0.97)"
"uv","62+ thru  69","PB",6100.9,15,2,NA
"vacc","62+ thru  69","PB",6116.8,9,1,"0.60 (0.26, 1.37)"
"uv","69+ thru 142","PB",5632.9,12,2,NA
"vacc","69+ thru 142","PB",5582.8,11,2,"0.92 (0.41, 2.10)"
