"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"1","vacc","-1+ thru  13","PB","65+",7807.7,131,17,"0.41 (0.34, 0.5)"
"2","vacc","13+ thru  20","PB","65+",3272.2,49,15,"0.72 (0.5, 1.04)"
"3","vacc","20+ thru  27","PB","65+",3165.1,28,9,"0.75 (0.46, 1.23)"
"4","vacc","27+ thru  34","PB","65+",3130.4,40,13,"0.9 (0.59, 1.39)"
"5","vacc","34+ thru  41","PB","65+",3098.3,17,5,"0.51 (0.28, 0.92)"
"6","vacc","41+ thru  48","PB","65+",3058.1,14,5,"0.63 (0.32, 1.24)"
"7","vacc","48+ thru  55","PB","65+",2975.5,9,3,"0.74 (0.31, 1.77)"
"8","vacc","55+ thru  62","PB","65+",2634.7,8,3,"0.8 (0.31, 2.02)"
"9","vacc","62+ thru  69","PB","65+",1909.4,3,2,"0.75 (0.17, 3.34)"
"10","vacc","69+ thru  76","PB","65+",619.6,2,3,"26483187737.61 (0, Inf)"
"11","vacc","76+ thru  83","PB","65+",50,0,0,"0 (0, Inf)"
"12","vacc","83+ thru 131","PB","65+",32.8,1,30,"26049662806.47 (0, Inf)"
"13","uv","-1+ thru  13","PB","65+",7796.7,319,41,NA
"14","uv","13+ thru  20","PB","65+",3260,68,21,NA
"15","uv","20+ thru  27","PB","65+",3150.3,37,12,NA
"16","uv","27+ thru  34","PB","65+",3113.6,44,14,NA
"17","uv","34+ thru  41","PB","65+",3080.3,33,11,NA
"18","uv","41+ thru  48","PB","65+",3039.8,22,7,NA
"19","uv","48+ thru  55","PB","65+",2957.4,12,4,NA
"20","uv","55+ thru  62","PB","65+",2619.3,10,4,NA
"21","uv","62+ thru  69","PB","65+",1903.1,4,2,NA
"22","uv","69+ thru  76","PB","65+",622.1,0,0,NA
"23","uv","76+ thru  83","PB","65+",56.5,1,18,NA
"24","uv","83+ thru 131","PB","65+",64.8,0,0,NA
"25","vacc","-1+ thru  13","PB","18-64",14246,86,6,"0.57 (0.44, 0.74)"
"26","vacc","13+ thru  20","PB","18-64",7021.6,24,3,"0.41 (0.26, 0.67)"
"27","vacc","20+ thru  27","PB","18-64",6862.5,21,3,"0.38 (0.23, 0.63)"
"28","vacc","27+ thru  34","PB","18-64",6711,4,1,"0.11 (0.04, 0.31)"
"29","vacc","34+ thru  41","PB","18-64",6574.7,9,1,"0.27 (0.13, 0.57)"
"30","vacc","41+ thru  48","PB","18-64",6272.1,5,1,"0.25 (0.09, 0.66)"
"31","vacc","48+ thru  55","PB","18-64",5577.9,6,1,"0.28 (0.12, 0.71)"
"32","vacc","55+ thru  62","PB","18-64",4661.4,5,1,"0.18 (0.07, 0.48)"
"33","vacc","62+ thru  69","PB","18-64",3427.7,3,1,"0.25 (0.07, 0.88)"
"34","vacc","69+ thru  76","PB","18-64",1656.8,2,1,"0.12 (0.03, 0.54)"
"35","vacc","76+ thru  83","PB","18-64",691.1,2,3,"0.67 (0.11, 3.99)"
"36","vacc","83+ thru 131","PB","18-64",554.6,0,0,"0 (0, Inf)"
"37","uv","-1+ thru  13","PB","18-64",14242.4,151,11,NA
"38","uv","13+ thru  20","PB","18-64",7017.9,58,8,NA
"39","uv","20+ thru  27","PB","18-64",6858,55,8,NA
"40","uv","27+ thru  34","PB","18-64",6705.5,36,5,NA
"41","uv","34+ thru  41","PB","18-64",6568.4,33,5,NA
"42","uv","41+ thru  48","PB","18-64",6265.7,20,3,NA
"43","uv","48+ thru  55","PB","18-64",5571.9,21,4,NA
"44","uv","55+ thru  62","PB","18-64",4656.1,27,6,NA
"45","uv","62+ thru  69","PB","18-64",3423.9,12,4,NA
"46","uv","69+ thru  76","PB","18-64",1655.2,16,10,NA
"47","uv","76+ thru  83","PB","18-64",690.9,3,4,NA
"48","uv","83+ thru 131","PB","18-64",556.2,2,4,NA
"49","vacc","-1+ thru  13","AZ","65+",12168.1,539,44,"0.53 (0.48, 0.59)"
"50","vacc","13+ thru  20","AZ","65+",4545.3,93,20,"0.55 (0.43, 0.71)"
"51","vacc","20+ thru  27","AZ","65+",4341.3,47,11,"0.52 (0.36, 0.74)"
"52","vacc","27+ thru  34","AZ","65+",4282.8,23,5,"0.42 (0.26, 0.69)"
"53","vacc","34+ thru  41","AZ","65+",4234,20,5,"0.73 (0.41, 1.31)"
"54","vacc","41+ thru  48","AZ","65+",4148.8,9,2,"0.32 (0.15, 0.67)"
"55","vacc","48+ thru  55","AZ","65+",3988.7,11,3,"0.99 (0.43, 2.28)"
"56","vacc","55+ thru  62","AZ","65+",3488.8,8,2,"0.56 (0.24, 1.35)"
"57","vacc","62+ thru  69","AZ","65+",2475.6,5,2,"0.99 (0.29, 3.42)"
"58","vacc","69+ thru  76","AZ","65+",1035,1,1,"0.25 (0.03, 2.21)"
"59","vacc","76+ thru  83","AZ","65+",272.3,0,0,"0 (0, Inf)"
"60","vacc","83+ thru 131","AZ","65+",44.6,0,0,"1.02 (0, Inf)"
"61","uv","-1+ thru  13","AZ","65+",12142.6,1011,83,NA
"62","uv","13+ thru  20","AZ","65+",4517.8,168,37,NA
"63","uv","20+ thru  27","AZ","65+",4308.7,90,21,NA
"64","uv","27+ thru  34","AZ","65+",4246.3,54,13,NA
"65","uv","34+ thru  41","AZ","65+",4195.3,27,6,NA
"66","uv","41+ thru  48","AZ","65+",4108.2,28,7,NA
"67","uv","48+ thru  55","AZ","65+",3947.4,11,3,NA
"68","uv","55+ thru  62","AZ","65+",3451.7,14,4,NA
"69","uv","62+ thru  69","AZ","65+",2450.4,5,2,NA
"70","uv","69+ thru  76","AZ","65+",1025,4,4,NA
"71","uv","76+ thru  83","AZ","65+",269.8,2,7,NA
"72","uv","83+ thru 131","AZ","65+",45.5,0,0,NA
"73","vacc","-1+ thru  13","AZ","18-64",30756.8,121,4,"0.72 (0.57, 0.91)"
"74","vacc","13+ thru  20","AZ","18-64",12090.8,47,4,"1.3 (0.85, 2.02)"
"75","vacc","20+ thru  27","AZ","18-64",9734,22,2,"0.81 (0.46, 1.43)"
"76","vacc","27+ thru  34","AZ","18-64",7434.2,13,2,"0.62 (0.31, 1.24)"
"77","vacc","34+ thru  41","AZ","18-64",5763.1,8,1,"0.57 (0.24, 1.36)"
"78","vacc","41+ thru  48","AZ","18-64",4190.8,1,0,"0.25 (0.03, 2.24)"
"79","vacc","48+ thru  55","AZ","18-64",2235.3,3,1,"0.5 (0.12, 2)"
"80","vacc","55+ thru  62","AZ","18-64",1167.9,0,0,"0 (0, Inf)"
"81","vacc","62+ thru  69","AZ","18-64",563.8,1,2,"0.5 (0.04, 5.53)"
"82","vacc","69+ thru  76","AZ","18-64",142.4,0,0,"1 (0, Inf)"
"83","vacc","76+ thru  83","AZ","18-64",29.3,0,0,"1 (0, Inf)"
"84","vacc","83+ thru 131","AZ","18-64",16.2,0,0,"1 (0, Inf)"
"85","uv","-1+ thru  13","AZ","18-64",30752.9,168,5,NA
"86","uv","13+ thru  20","AZ","18-64",12086.6,36,3,NA
"87","uv","20+ thru  27","AZ","18-64",9730,27,3,NA
"88","uv","27+ thru  34","AZ","18-64",7431.5,21,3,NA
"89","uv","34+ thru  41","AZ","18-64",5761.9,14,2,NA
"90","uv","41+ thru  48","AZ","18-64",4190.4,4,1,NA
"91","uv","48+ thru  55","AZ","18-64",2235.9,6,3,NA
"92","uv","55+ thru  62","AZ","18-64",1169.5,7,6,NA
"93","uv","62+ thru  69","AZ","18-64",565.1,2,4,NA
"94","uv","69+ thru  76","AZ","18-64",143.1,0,0,NA
"95","uv","76+ thru  83","AZ","18-64",29.5,0,0,NA
"96","uv","83+ thru 131","AZ","18-64",16.3,0,0,NA
