"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"1","uv","-1+ thru  13","AZ","F",23469.9,411,18,NA
"2","vacc","-1+ thru  13","AZ","F",22931.1,180,8,"0.45 (0.38, 0.53)"
"3","uv","13+ thru  20","AZ","F",9847.5,88,9,NA
"4","vacc","13+ thru  20","AZ","F",9595,58,6,"0.68 (0.49, 0.94)"
"5","uv","20+ thru  27","AZ","F",9032.7,67,7,NA
"6","vacc","20+ thru  27","AZ","F",8781,33,4,"0.51 (0.33, 0.77)"
"7","uv","27+ thru  34","AZ","F",8183.4,54,7,NA
"8","vacc","27+ thru  34","AZ","F",7916.3,24,3,"0.46 (0.28, 0.74)"
"9","uv","34+ thru  41","AZ","F",7154.1,25,3,NA
"10","vacc","34+ thru  41","AZ","F",6888.1,13,2,"0.54 (0.28, 1.06)"
"11","uv","41+ thru  48","AZ","F",5965,26,4,NA
"12","vacc","41+ thru  48","AZ","F",5750.4,8,1,"0.32 (0.14, 0.7)"
"13","uv","48+ thru  55","AZ","F",5107.3,10,2,NA
"14","vacc","48+ thru  55","AZ","F",4904.8,8,2,"0.83 (0.33, 2.11)"
"15","uv","55+ thru  62","AZ","F",3891.2,18,5,NA
"16","vacc","55+ thru  62","AZ","F",3746.5,6,2,"0.35 (0.14, 0.87)"
"17","uv","62+ thru  69","AZ","F",2518.4,6,2,NA
"18","vacc","62+ thru  69","AZ","F",2435.7,5,2,"0.86 (0.26, 2.82)"
"19","uv","69+ thru 142","AZ","F",1926.4,1,1,NA
"20","vacc","69+ thru 142","AZ","F",1841.1,2,1,"2.09 (0.19, 23.08)"
"21","uv","-1+ thru  13","PB","F",14482,202,14,NA
"22","vacc","-1+ thru  13","PB","F",14562,66,5,"0.32 (0.25, 0.43)"
"23","uv","13+ thru  20","PB","F",6729.8,69,10,NA
"24","vacc","13+ thru  20","PB","F",6767.6,39,6,"0.56 (0.38, 0.83)"
"25","uv","20+ thru  27","PB","F",6440.9,65,10,NA
