"","vacc_z.yr","est_adj","lwr_adj","upr_adj"
"1","Period0:14",1.1980404611263e+131,6.52673413619886e+121,2.19911048396347e+140
"2","Period15:21",9.44817463954061e+130,5.08162989509865e+121,1.75668055057216e+140
"3","Period22:28",9.21825695686278e+130,4.92213650270579e+121,1.72641009195978e+140
"4","Period29:35",8.68881390425799e+130,4.6046610827568e+121,1.63954492428416e+140
"5","Period26:42",7.21206444263389e+130,3.794938142252e+121,1.37061189339539e+140
"6","Period43+",4.30796952401549e+130,2.26549009321936e+121,8.19187048109032e+139
"7","calendar_week",0.983,0.982,0.985
"8","Period0:14:vaccvacc",0.478,0.443,0.515
"9","Period15:21:vaccvacc",0.55,0.478,0.632
"10","Period22:28:vaccvacc",0.454,0.385,0.536
"11","Period29:35:vaccvacc",0.321,0.259,0.397
"12","Period26:42:vaccvacc",0.439,0.349,0.553
"13","Period43+:vaccvacc",0.217,0.17,0.276
"14","Period0:14",Inf,Inf,Inf
"15","Period15:21",Inf,Inf,Inf
"16","Period22:28",Inf,Inf,Inf
"17","Period29:35",Inf,Inf,Inf
"18","Period26:42",Inf,Inf,Inf
"19","Period43+",Inf,Inf,Inf
"20","calendar_week",0.931,0.93,0.932
"21","Period0:14:vaccvacc",0.56,0.534,0.587
"22","Period15:21:vaccvacc",0.663,0.586,0.749
"23","Period22:28:vaccvacc",0.376,0.307,0.461
"24","Period29:35:vaccvacc",0.504,0.39,0.651
"25","Period26:42:vaccvacc",0.917,0.637,1.319
"26","Period43+:vaccvacc",0.533,0.375,0.757
