"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.378791308320319,0.313851958210375,0.45716730931735,1,"0.38 (0.31, 0.46)",42,98
"2",0.3963460004452,0.333210027876095,0.471444851375603,2,"0.4 (0.33, 0.47)",25,79
"3",0.414698377026025,0.353423956393689,0.486596170963724,3,"0.41 (0.35, 0.49)",21,77
"4",0.433904785752984,0.374428405612521,0.50282873915869,4,"0.43 (0.37, 0.5)",30,52
"5",0.454001874939644,0.396089793433973,0.52038125158878,5,"0.45 (0.4, 0.52)",23,57
"6",0.475029228778092,0.418216435109648,0.53955978113186,6,"0.48 (0.42, 0.54)",30,48
"7",0.497032107462087,0.440563145245388,0.560738950850293,7,"0.5 (0.44, 0.56)",20,72
"8",0.520051954024541,0.462846029084881,0.584328303344145,8,"0.52 (0.46, 0.58)",20,35
"9",0.544153389737573,0.484814803067259,0.610754683416324,9,"0.54 (0.48, 0.61)",22,29
"10",0.569383582857159,0.506275901331376,0.640357685551887,10,"0.57 (0.51, 0.64)",23,39
"11",0.595780293591544,0.527138885387232,0.673359845140775,11,"0.6 (0.53, 0.67)",22,32
"12",0.623405140018443,0.547443608425154,0.709906851811475,12,"0.62 (0.55, 0.71)",22,27
"13",0.652312171055492,0.567296385220758,0.750068534883305,13,"0.65 (0.57, 0.75)",26,25
"14",0.682556623765223,0.586834871126398,0.793892059876301,14,"0.68 (0.59, 0.79)",21,34
"15",0.713860798156598,0.60604092045799,0.840862756857521,15,"0.71 (0.61, 0.84)",16,28
"16",0.744442299304406,0.624203563517321,0.887842315206924,16,"0.74 (0.62, 0.89)",17,22
"17",0.771877268419185,0.640365962184525,0.930396917833964,17,"0.77 (0.64, 0.93)",15,21
"18",0.793403775814917,0.653322081741394,0.963521009116204,18,"0.79 (0.65, 0.96)",14,13
"19",0.806168461267531,0.661566134541729,0.982377352783714,19,"0.81 (0.66, 0.98)",11,18
"20",0.807366220137315,0.662998210921184,0.983170395758887,20,"0.81 (0.66, 0.98)",18,18
"21",0.794681881384562,0.654668394750939,0.964639957670724,21,"0.79 (0.65, 0.96)",15,13
"22",0.767466047556284,0.633006517654426,0.930486681770972,22,"0.77 (0.63, 0.93)",7,15
"23",0.729484917512068,0.597535839440177,0.890571259083223,23,"0.73 (0.6, 0.89)",11,11
"24",0.685464147958955,0.552016102790845,0.851172811375618,24,"0.69 (0.55, 0.85)",12,20
"25",0.639517249854516,0.503002093599122,0.813082724835396,25,"0.64 (0.5, 0.81)",4,18
"26",0.595008911560734,0.456893111912379,0.774876214164911,26,"0.6 (0.46, 0.77)",7,12
"27",0.554506032438596,0.418045844559194,0.73551009778607,27,"0.55 (0.42, 0.74)",8,12
"28",0.519858022280536,0.388637056539308,0.695384958233121,28,"0.52 (0.39, 0.7)",7,9
"29",0.492055956383917,0.368355439959393,0.657297376250456,29,"0.49 (0.37, 0.66)",5,8
"30",0.470470527834061,0.353352826638489,0.626406528755218,30,"0.47 (0.35, 0.63)",3,13
"31",0.454304274385978,0.340234268194859,0.606618418598461,31,"0.45 (0.34, 0.61)",3,18
"32",0.442930033193068,0.327681369941631,0.598712750558137,32,"0.44 (0.33, 0.6)",7,16
"33",0.435927100743032,0.316557106631978,0.600310127875767,33,"0.44 (0.32, 0.6)",8,5
"34",0.433005540843857,0.308800867294161,0.607167330987046,34,"0.43 (0.31, 0.61)",4,14
"35",0.433947597684579,0.306210307560081,0.614971190998425,35,"0.43 (0.31, 0.61)",2,8
"36",0.4386327847137,0.309267981489915,0.622110051285633,36,"0.44 (0.31, 0.62)",5,9
