"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.249826037678482,0.183547815442814,0.340037003173028,1,"0.25 (0.18, 0.34)",4,30
"2",0.264082583219669,0.19808737439094,0.352064895475555,2,"0.26 (0.2, 0.35)",7,39
"3",0.279145524810573,0.213607394546133,0.364791790973985,3,"0.28 (0.21, 0.36)",5,32
"4",0.295067765948411,0.230121835414725,0.378343004021663,4,"0.3 (0.23, 0.38)",6,27
"5",0.31190412119803,0.247620267736192,0.392876486685489,5,"0.31 (0.25, 0.39)",3,26
"6",0.329693242380354,0.266043606973175,0.408570742623522,6,"0.33 (0.27, 0.41)",4,21
"7",0.348502473534089,0.28530917550833,0.42569249251443,7,"0.35 (0.29, 0.43)",14,22
"8",0.368398241270679,0.305279022037625,0.444567934165495,8,"0.37 (0.31, 0.44)",16,13
"9",0.389421025713537,0.325737068736124,0.465555657684856,9,"0.39 (0.33, 0.47)",11,20
"10",0.411641396251054,0.346447953026659,0.489102728496936,10,"0.41 (0.35, 0.49)",14,19
"11",0.435143245537154,0.367175093082207,0.5156930513645,11,"0.44 (0.37, 0.52)",12,20
"12",0.459985307259169,0.387692608319363,0.545758362047535,12,"0.46 (0.39, 0.55)",14,27
"13",0.486241560530858,0.407859388173836,0.579687171713977,13,"0.49 (0.41, 0.58)",11,26
"14",0.513991807197926,0.427627738787554,0.617798037647503,14,"0.51 (0.43, 0.62)",9,15
"15",0.542880874473856,0.446774806134572,0.65966039226645,15,"0.54 (0.45, 0.66)",7,10
"16",0.570477271025216,0.463976610662205,0.701423971117619,16,"0.57 (0.46, 0.7)",8,15
"17",0.593374345246094,0.477533195709491,0.737316519060233,17,"0.59 (0.48, 0.74)",10,15
"18",0.607819195439703,0.485571913340637,0.760843377046391,18,"0.61 (0.49, 0.76)",7,21
"19",0.610005386100535,0.485913166326316,0.765788204268937,19,"0.61 (0.49, 0.77)",7,12
"20",0.596773056758913,0.476112250495073,0.748012849707304,20,"0.6 (0.48, 0.75)",4,12
"21",0.56620885007655,0.453316251238358,0.707215902869625,21,"0.57 (0.45, 0.71)",8,12
"22",0.519709410007147,0.415587319977939,0.649918459649622,22,"0.52 (0.42, 0.65)",6,7
"23",0.465271438148431,0.366870416005724,0.590065324736709,23,"0.47 (0.37, 0.59)",4,15
"24",0.410671824075367,0.314833602803597,0.535684074341325,24,"0.41 (0.31, 0.54)",3,18
"25",0.361251009060687,0.267122552333102,0.488548385029761,25,"0.36 (0.27, 0.49)",4,14
"26",0.32013497375698,0.228513210842726,0.448492238345548,26,"0.32 (0.23, 0.45)",2,13
"27",0.288910395335925,0.200846389578002,0.415587338704656,27,"0.29 (0.2, 0.42)",3,10
"28",0.268401084207238,0.184391574687757,0.390685648873111,28,"0.27 (0.18, 0.39)",5,7
"29",0.25864968490304,0.178231039209445,0.375353584859177,29,"0.26 (0.18, 0.38)",3,4
"30",0.257294762369415,0.178740350463116,0.370372971582566,30,"0.26 (0.18, 0.37)",2,9
"31",0.26207068627937,0.182505459586127,0.37632323308404,31,"0.26 (0.18, 0.38)",3,14
"32",0.271132493295084,0.187178739808101,0.392741339084637,32,"0.27 (0.19, 0.39)",1,8
"33",0.282652847004254,0.191740957818334,0.416669619410709,33,"0.28 (0.19, 0.42)",2,4
"34",0.294536261992034,0.196215051715954,0.442125152324318,34,"0.29 (0.2, 0.44)",3,7
"35",0.304321597741659,0.200870174072177,0.461052195926105,35,"0.3 (0.2, 0.46)",6,5
"36",0.309861891086002,0.205364749073327,0.467531024582561,36,"0.31 (0.21, 0.47)",2,10
"37",0.311310346811778,0.208321059960975,0.465215240601332,37,"0.31 (0.21, 0.47)",2,16
"38",0.309585682955044,0.208092423406982,0.460580416728066,38,"0.31 (0.21, 0.46)",2,10
"39",0.305723350769369,0.204020474777621,0.458124447105262,39,"0.31 (0.2, 0.46)",4,5
"40",0.300742904352966,0.197209762927895,0.458629903387321,40,"0.3 (0.2, 0.46)",2,4
"41",0.29564040469345,0.190059678679965,0.459872654180806,41,"0.3 (0.19, 0.46)",0,10
"42",0.291340694804327,0.18504643746817,0.458692432074887,42,"0.29 (0.19, 0.46)",1,5
"43",0.288546937195704,0.183441635378138,0.453873706442894,43,"0.29 (0.18, 0.45)",3,8
"44",0.287124443662042,0.183788515331819,0.448561467507348,44,"0.29 (0.18, 0.45)",3,9
"45",0.286799544489706,0.184057086860342,0.446893842136679,45,"0.29 (0.18, 0.45)",2,8
"46",0.287307577593271,0.18294371346384,0.451207874704203,46,"0.29 (0.18, 0.45)",2,6
"47",0.288380683476939,0.180497042275412,0.46074671116068,47,"0.29 (0.18, 0.46)",0,9
"48",0.289763607606581,0.177933387879537,0.471878545638799,48,"0.29 (0.18, 0.47)",2,11
"49",0.291200592452061,0.17680800402479,0.479603768574539,49,"0.29 (0.18, 0.48)",1,4
"50",0.292545710584291,0.177955994955108,0.480922223512939,50,"0.29 (0.18, 0.48)",3,6
"51",0.294136334404634,0.180396756246644,0.479588353011777,51,"0.29 (0.18, 0.48)",2,7
"52",0.29645771075319,0.18264541286705,0.481190153562721,52,"0.3 (0.18, 0.48)",2,8
"53",0.300003617671213,0.183812721522391,0.489640596528853,53,"0.3 (0.18, 0.49)",2,0
"54",0.305324686779859,0.184316388822853,0.505777944938015,54,"0.31 (0.18, 0.51)",0,5
"55",0.31299223659603,0.185824934940675,0.527185117544427,55,"0.31 (0.19, 0.53)",0,5
"56",0.323723123283435,0.190734576039765,0.549437143093207,56,"0.32 (0.19, 0.55)",1,4
"57",0.338119566819438,0.201093204544812,0.56851668222676,57,"0.34 (0.2, 0.57)",1,7
"58",0.356043570178637,0.216521093787571,0.585471935542322,58,"0.36 (0.22, 0.59)",1,4
"59",0.37708284829315,0.235225125461129,0.604491013441385,59,"0.38 (0.24, 0.6)",2,2
"60",0.400745723372509,0.254571722774561,0.630852213478457,60,"0.4 (0.25, 0.63)",2,4
"61",0.426336407252611,0.271817479259767,0.668694053980832,61,"0.43 (0.27, 0.67)",3,5
"62",0.453029790213861,0.285623395167086,0.71855455223181,62,"0.45 (0.29, 0.72)",1,0
"63",0.479626938133936,0.296674852441412,0.775401075927606,63,"0.48 (0.3, 0.78)",2,2
"64",0.505034833903063,0.307025517417964,0.830745879367,64,"0.51 (0.31, 0.83)",2,1
"65",0.529077654494488,0.318229031512344,0.879627993571449,65,"0.53 (0.32, 0.88)",1,1
"66",0.551897321992711,0.330845588490147,0.920642936219165,66,"0.55 (0.33, 0.92)",2,1
"67",0.573790521167243,0.344864520005199,0.954680876352295,67,"0.57 (0.34, 0.95)",0,1
"68",0.595062686220468,0.359853832203196,0.984009530658473,68,"0.6 (0.36, 0.98)",0,2
"69",0.616043312028209,0.375125995596446,1.01168505182178,69,"0.62 (0.38, 1.01)",0,2
