"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"Total","","933218 (100.0%)","315609 (100.0%)","1693779 (100.0%)","580729 (100.0%)","858974 (100.0%)"
"Sex","F","431268 (46.2%)","142225 (45.1%)","874370 (51.6%)","272648 (46.9%)","527785 (61.4%)"
"Sex","M","501950 (53.8%)","173384 (54.9%)","819409 (48.4%)","308081 (53.1%)","331189 (38.6%)"
"ageYear","mean.sd","35.9 (16.1)","45.7 (10.3)","59.1 (15.2)","31.3 (8.7)","55.8 (16.3)"
"ageYear","median.iqr","31 (18)","43 (7)","58 (19)","31 (11)","59 (24)"
"age_grp","18-64","863352 (92.5%)","297607 (94.3%)","1144309 (67.6%)","576015 (99.2%)","514453 (59.9%)"
"age_grp","65-79","42720 (4.6%)","9986 (3.2%)","372371 (22.0%)","3667 (0.6%)","321999 (37.5%)"
"age_grp","80+","27146 (2.9%)","8016 (2.5%)","177099 (10.5%)","1047 (0.2%)","22522 (2.6%)"
"simd2020_sc_quintile","1 - High","227411 (24.4%)","66215 (21.0%)","297452 (17.6%)","108990 (18.8%)","156070 (18.2%)"
"simd2020_sc_quintile","2","188912 (20.2%)","63528 (20.1%)","328285 (19.4%)","114190 (19.7%)","168273 (19.6%)"
"simd2020_sc_quintile","3","169629 (18.2%)","60154 (19.1%)","353320 (20.9%)","113448 (19.5%)","171120 (19.9%)"
"simd2020_sc_quintile","4","154270 (16.5%)","61126 (19.4%)","356331 (21.0%)","122630 (21.1%)","183972 (21.4%)"
"simd2020_sc_quintile","5-Low","175945 (18.9%)","62358 (19.8%)","350190 (20.7%)","116983 (20.1%)","175197 (20.4%)"
"simd2020_sc_quintile","NA","17050 (1.8%)","2228 (0.7%)","8201 (0.5%)","4488 (0.8%)","4342 (0.5%)"
"ur6_2016_name","1 Large Urban Areas","474044 (50.8%)","106231 (33.7%)","502752 (29.7%)","198952 (34.3%)","263508 (30.7%)"
"ur6_2016_name","2 Other Urban Areas","246175 (26.4%)","126675 (40.1%)","637109 (37.6%)","220083 (37.9%)","339709 (39.5%)"
"ur6_2016_name","3 Accessible Small Towns","65933 (7.1%)","29872 (9.5%)","174202 (10.3%)","52525 (9.0%)","83460 (9.7%)"
"ur6_2016_name","4 Remote Small Towns","32647 (3.5%)","12399 (3.9%)","97488 (5.8%)","25597 (4.4%)","43135 (5.0%)"
"ur6_2016_name","5 Accessible Rural","65210 (7.0%)","28147 (8.9%)","175567 (10.4%)","51700 (8.9%)","74533 (8.7%)"
"ur6_2016_name","6 Remote Rural","32158 (3.4%)","10057 (3.2%)","98460 (5.8%)","27384 (4.7%)","50287 (5.9%)"
"ur6_2016_name","Unknown","17050 (1.8%)","2228 (0.7%)","8201 (0.5%)","4488 (0.8%)","4342 (0.5%)"
"n_risk_gps","0","705754 (75.6%)","211279 (66.9%)","796880 (47.0%)","433054 (74.6%)","450041 (52.4%)"
"n_risk_gps","1","173373 (18.6%)","75693 (24.0%)","503489 (29.7%)","126972 (21.9%)","249314 (29.0%)"
"n_risk_gps","2","37655 (4.0%)","18933 (6.0%)","229110 (13.5%)","17506 (3.0%)","99833 (11.6%)"
"n_risk_gps","3","9887 (1.1%)","5602 (1.8%)","96629 (5.7%)","2128 (0.4%)","37592 (4.4%)"
"n_risk_gps","4","3751 (0.4%)","2390 (0.8%)","41182 (2.4%)","615 (0.1%)","14204 (1.7%)"
"n_risk_gps","5+","2797 (0.3%)","1712 (0.5%)","26489 (1.6%)","454 (0.1%)","7990 (0.9%)"
"n_tests_gp","0","785841 (84.2%)","259650 (82.3%)","1413863 (83.5%)","463771 (79.9%)","639555 (74.5%)"
"n_tests_gp","1","104915 (11.2%)","42099 (13.3%)","197201 (11.6%)","90753 (15.6%)","117561 (13.7%)"
"n_tests_gp","2","21826 (2.3%)","8067 (2.6%)","44631 (2.6%)","17019 (2.9%)","31095 (3.6%)"
