"","characteristic","levels","0","1","AZ","PB","NA"
"1","EAVE_BP","High","78910 (4.3%)","327549 (12.7%)","231457 (13.4%)","96092 (11.4%)","78910 (4.3%)"
"2","EAVE_BP","Low","27012 (1.5%)","26693 (1.0%)","17921 (1.0%)","8772 (1.0%)","27012 (1.5%)"
"3","EAVE_BP","No Investigation","476127 (25.9%)","194847 (7.6%)","126753 (7.3%)","68094 (8.1%)","476127 (25.9%)"
"4","EAVE_BP","Normal","784398 (42.7%)","1596370 (62.1%)","1065697 (61.6%)","530674 (63.1%)","784398 (42.7%)"
"5","EAVE_BP","Unknown","455054 (24.8%)","357009 (13.9%)","239535 (13.8%)","117474 (14.0%)","455054 (24.8%)"
"6","EAVE_BP","Very High","15673 (0.9%)","70108 (2.7%)","49901 (2.9%)","20207 (2.4%)","15673 (0.9%)"
"7","Q_DIAG_AF","0","1828487 (99.5%)","2472114 (96.1%)","1660267 (95.9%)","811847 (96.5%)","1828487 (99.5%)"
"8","Q_DIAG_AF","1","8687 (0.5%)","100462 (3.9%)","70997 (4.1%)","29466 (3.5%)","8687 (0.5%)"
"9","Q_DIAG_ASTHMA","0","1622755 (88.3%)","2219815 (86.3%)","1489329 (86.0%)","730486 (86.8%)","1622755 (88.3%)"
"10","Q_DIAG_ASTHMA","1","214419 (11.7%)","352761 (13.7%)","241934 (14.0%)","110827 (13.2%)","214419 (11.7%)"
"11","Q_DIAG_BLOOD_CANCER","0","1834875 (99.9%)","2552721 (99.2%)","1716934 (99.2%)","835787 (99.3%)","1834875 (99.9%)"
"12","Q_DIAG_BLOOD_CANCER","1","2299 (0.1%)","19855 (0.8%)","14329 (0.8%)","5526 (0.7%)","2299 (0.1%)"
"13","Q_DIAG_CCF","0","1832735 (99.8%)","2527869 (98.3%)","1698852 (98.1%)","829017 (98.5%)","1832735 (99.8%)"
"14","Q_DIAG_CCF","1","4438 (0.2%)","44707 (1.7%)","32411 (1.9%)","12296 (1.5%)","4438 (0.2%)"
"15","Q_DIAG_CEREBRALPALSY","0","1836445 (100.0%)","2567203 (99.8%)","1726981 (99.8%)","840223 (99.9%)","1836445 (100.0%)"
"16","Q_DIAG_CEREBRALPALSY","1","729 (0.0%)","5373 (0.2%)","4283 (0.2%)","1090 (0.1%)","729 (0.0%)"
