"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Urban/Rural index: 2 Other Urban Areas","uv",0.382593792686109,0.236215956360718,-0.00509788052817073,0.486622525626665,-0.0104760471612073,"Urban/Rural index","2 Other Urban Areas","PB","Matched"
"2","Urban/Rural index: 2 Other Urban Areas","vacc",0.387691673214279,0.237387008533831,-0.00509788052817073,0.486622525626665,-0.0104760471612073,"Urban/Rural index","2 Other Urban Areas","PB","Matched"
"3","Urban/Rural index: 5 Accessible Rural","uv",0.0926969364521312,0.0841042763330087,0.00518978148169327,0.286316246405383,0.0181260461005949,"Urban/Rural index","5 Accessible Rural","PB","Matched"
"4","Urban/Rural index: 5 Accessible Rural","vacc",0.087507154970438,0.0798497095783274,0.00518978148169327,0.286316246405383,0.0181260461005949,"Urban/Rural index","5 Accessible Rural","PB","Matched"
"5","Urban/Rural index: 3 Accessible Small Towns","uv",0.0982223252715867,0.0885747652910187,0.00377884864923045,0.295041295795473,0.0128078635197224,"Urban/Rural index","3 Accessible Small Towns","PB","Matched"
"6","Urban/Rural index: 3 Accessible Small Towns","vacc",0.0944434766223562,0.0855239671583242,0.00377884864923045,0.295041295795473,0.0128078635197224,"Urban/Rural index","3 Accessible Small Towns","PB","Matched"
"7","Urban/Rural index: 4 Remote Small Towns","uv",0.0494914474513836,0.047042078708925,0.00250506767088567,0.214267088517909,0.0116913320109648,"Urban/Rural index","4 Remote Small Towns","PB","Matched"
"8","Urban/Rural index: 4 Remote Small Towns","vacc",0.046986379780498,0.0447786917349582,0.00250506767088567,0.214267088517909,0.0116913320109648,"Urban/Rural index","4 Remote Small Towns","PB","Matched"
"9","Urban/Rural index: 1 Large Urban Areas","uv",0.317170947998059,0.216573697167937,-0.00719079308622583,0.466757461109652,-0.015405844973813,"Urban/Rural index","1 Large Urban Areas","PB","Matched"
"10","Urban/Rural index: 1 Large Urban Areas","vacc",0.324361741084285,0.219151357835119,-0.00719079308622583,0.466757461109652,-0.015405844973813,"Urban/Rural index","1 Large Urban Areas","PB","Matched"
"11","Urban/Rural index: 6 Remote Rural","uv",0.0544501975867631,0.0514854114670162,0.00127054650045194,0.225651305187206,0.00563057456901418,"Urban/Rural index","6 Remote Rural","PB","Matched"
"12","Urban/Rural index: 6 Remote Rural","vacc",0.0531796510863112,0.0503516115983633,0.00127054650045194,0.225651305187206,0.00563057456901418,"Urban/Rural index","6 Remote Rural","PB","Matched"
"13","Urban/Rural index: Unknown","uv",0.00537435255396793,0.00534547282352072,-0.000455570687864741,0.0746371629331472,-0.0061038049942064,"Urban/Rural index","Unknown","PB","Matched"
"14","Urban/Rural index: Unknown","vacc",0.00582992324183267,0.0057959393578976,-0.000455570687864741,0.0746371629331472,-0.0061038049942064,"Urban/Rural index","Unknown","PB","Matched"
"15","Smoker status: Unknown","uv",0.246826318797513,0.185903223986551,-0.0202558398170712,0.436836721407486,-0.0463693614213727,"Smoker status","Unknown","PB","Matched"
"16","Smoker status: Unknown","vacc",0.267082158614584,0.195749418353532,-0.0202558398170712,0.436836721407486,-0.0463693614213727,"Smoker status","Unknown","PB","Matched"
"17","Smoker status: Smoker","uv",0.210876698427074,0.166407838978779,0.0165615668644992,0.401848672702176,0.0412134417494358,"Smoker status","Smoker","PB","Matched"
"18","Smoker status: Smoker","vacc",0.194315131562574,0.156556872526223,0.0165615668644992,0.401848672702176,0.0412134417494358,"Smoker status","Smoker","PB","Matched"
"19","Smoker status: Non Smoker","uv",0.410409917228091,0.241973795190511,-0.001488843051068,0.4920427516956,-0.00302584083585702,"Smoker status","Non Smoker","PB","Matched"
"20","Smoker status: Non Smoker","vacc",0.411898760279159,0.242238343801844,-0.001488843051068,0.4920427516956,-0.00302584083585702,"Smoker status","Non Smoker","PB","Matched"
"21","Smoker status: Ex Smoker","uv",0.131887065547322,0.114492951768193,0.0051831160036401,0.335516832039251,0.0154481549320117,"Smoker status","Ex Smoker","PB","Matched"
"22","Smoker status: Ex Smoker","vacc",0.126703949543682,0.110650137395116,0.0051831160036401,0.335516832039251,0.0154481549320117,"Smoker status","Ex Smoker","PB","Matched"
"23","Sex: M","uv",0.442893032162659,0.246738975844477,-0.00654292507461629,0.497082704071181,-0.0131626488329382,"Sex","M","PB","Matched"
"24","Sex: M","vacc",0.449435957237275,0.247443453528958,-0.00654292507461629,0.497082704071181,-0.0131626488329382,"Sex","M","PB","Matched"
"25","No. risk groups: 0","uv",0.585676869610662,0.242659652635598,-0.0296697864850176,0.489568672334939,-0.0606039319131903,"No. risk groups","0","PB","Matched"
"26","No. risk groups: 0","vacc",0.615346656095679,0.236695317227992,-0.0296697864850176,0.489568672334939,-0.0606039319131903,"No. risk groups","0","PB","Matched"
"27","No. risk groups: 1","uv",0.270962233480682,0.197541846918506,0.0103108378614792,0.441731948995902,0.023341843135677,"No. risk groups","1","PB","Matched"
"28","No. risk groups: 1","vacc",0.260651395619203,0.19271238260893,0.0103108378614792,0.441731948995902,0.023341843135677,"No. risk groups","1","PB","Matched"
"29","No. risk groups: 2","uv",0.089675137313476,0.0816335671512523,0.00870042591209723,0.279330832151431,0.0311473883677135,"No. risk groups","2","PB","Matched"
"30","No. risk groups: 2","vacc",0.0809747114013787,0.0744178604295699,0.00870042591209723,0.279330832151431,0.0311473883677135,"No. risk groups","2","PB","Matched"
