"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Thrombosis or pulmonary embolus: 1","uv",0.0161232928788899,0.0158633439820405,0.00379044173649565,0.118414746907091,0.0320098791366727,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"2","Thrombosis or pulmonary embolus: 1","vacc",0.0123328511423943,0.0121807605881001,0.00379044173649565,0.118414746907091,0.0320098791366727,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"3","Stroke/TIA: 1","uv",0.0250232535789644,0.0243971083173043,0.00329976945783915,0.15107729443898,0.0218415975086972,"Stroke/TIA",1,"PB","Matched"
"4","Stroke/TIA: 1","vacc",0.0217234841211252,0.0212515894727005,0.00329976945783915,0.15107729443898,0.0218415975086972,"Stroke/TIA",1,"PB","Matched"
"5","Sickle cell disease: 1","uv",0.000600501377067026,0.000600141216900098,4.29236540039329e-05,0.0240562719823973,0.00178430199140338,"Sickle cell disease",1,"PB","Matched"
"6","Sickle cell disease: 1","vacc",0.000557577723063093,0.000557267226482047,4.29236540039329e-05,0.0240562719823973,0.00178430199140338,"Sickle cell disease",1,"PB","Matched"
"7","Severe mental illness: 1","uv",0.132711140656411,0.115098978521872,0.0188721184656715,0.32861736829025,0.0574288527835898,"Severe mental illness",1,"PB","Matched"
"8","Severe mental illness: 1","vacc",0.11383902219074,0.100879770962148,0.0188721184656715,0.32861736829025,0.0574288527835898,"Severe mental illness",1,"PB","Matched"
"9","Rheumatoid arthritis or SLE: 1","uv",0.0103028465035331,0.0101967053627848,0.00143209785587242,0.0974391350579611,0.0146973580483914,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"10","Rheumatoid arthritis or SLE: 1","vacc",0.00887074864766066,0.00879206471890239,0.00143209785587242,0.0974391350579611,0.0146973580483914,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"11","Respiratory cancer: 1","uv",0.00245134686217869,0.00244533956063417,0.000711761261907865,0.0457269080407574,0.0155654797668247,"Respiratory cancer",1,"PB","Matched"
"12","Respiratory cancer: 1","vacc",0.00173958560027082,0.0017365606773016,0.000711761261907865,0.0457269080407574,0.0155654797668247,"Respiratory cancer",1,"PB","Matched"
"13","Pulmonary rare: 1","uv",0.00482954214164481,0.00480622120213108,0.000876714354929664,0.0661189342831272,0.0132596564726149,"Pulmonary rare",1,"PB","Matched"
"14","Pulmonary rare: 1","vacc",0.00395282778671514,0.00393720573934191,0.000876714354929664,0.0661189342831272,0.0132596564726149,"Pulmonary rare",1,"PB","Matched"
"15","Pulmonary hypertension: 1","uv",0.00181530566536659,0.00181201166448827,0.000701572611391075,0.0382394110071575,0.0183468466933175,"Pulmonary hypertension",1,"PB","Matched"
"16","Pulmonary hypertension: 1","vacc",0.00111373305397552,0.00111249344386037,0.000701572611391075,0.0382394110071575,0.0183468466933175,"Pulmonary hypertension",1,"PB","Matched"
"17","Peripheral vascular disease: 1","uv",0.0102210462903286,0.0101165839492241,0.00192565526761444,0.095768385468364,0.0201074212350646,"Peripheral vascular disease",1,"PB","Matched"
"18","Peripheral vascular disease: 1","vacc",0.00829539102271418,0.00822658336121022,0.00192565526761444,0.095768385468364,0.0201074212350646,"Peripheral vascular disease",1,"PB","Matched"
"19","Parkinson's: 1","uv",0.00205169021774466,0.00204748229206815,0.000380379440706052,0.0431045297852212,0.00882458160665214,"Parkinson's",1,"PB","Matched"
"20","Parkinson's: 1","vacc",0.00167131077703861,0.00166851868394189,0.000380379440706052,0.0431045297852212,0.00882458160665214,"Parkinson's",1,"PB","Matched"
"21","Neurological disorder: 1","uv",0.00376837070996446,0.00375417285551953,0.000730852272206205,0.0582342980069433,0.0125502031829948,"Neurological disorder",1,"PB","Matched"
"22","Neurological disorder: 1","vacc",0.00303751843775825,0.00302829407320343,0.000730852272206205,0.0582342980069433,0.0125502031829948,"Neurological disorder",1,"PB","Matched"
"23","Learning disability or Down's: 0","uv",0.985210755145452,0.0145705338161701,-0.00228143947762161,0.116021340239279,-0.0196639641717328,"Learning disability or Down's",0,"PB","Matched"
"24","Learning disability or Down's: 0","vacc",0.987492194623073,0.012351368965667,-0.00228143947762161,0.116021340239279,-0.0196639641717328,"Learning disability or Down's",0,"PB","Matched"
"25","Learning disability or Down's: 1","uv",0.0146192054915957,0.0144054949257679,0.00235534036850904,0.115149829083856,0.020454571120499,"Learning disability or Down's",1,"PB","Matched"
