"","label","levels","uv","vacc"
"1","event","0","3383233 (99.9)","3384654 (100.0)"
"2","","1","2708 (0.1)","1287 (0.0)"
"3","event_hosp","0","3383515 (99.9)","3384746 (100.0)"
"4","","1","2426 (0.1)","1195 (0.0)"
"5","event_death","0","3385264 (100.0)","3385703 (100.0)"
"6","","1","677 (0.0)","238 (0.0)"
"7","Sex","F","1786439 (52.8)","1772798 (52.4)"
"8","","M","1599502 (47.2)","1613143 (47.6)"
"9","ageYear","Mean (SD)","52.3 (17.5)","52.3 (17.5)"
"10","age_grp","18-64","2488156 (73.5)","2488156 (73.5)"
"11","","65-79","694888 (20.5)","694888 (20.5)"
"12","","80+","202897 (6.0)","202897 (6.0)"
"13","simd2020_sc_quintile","1 - High","630012 (18.6)","617354 (18.2)"
"14","","2","666625 (19.7)","661520 (19.5)"
"15","","3","688932 (20.3)","684527 (20.2)"
"16","","4","709058 (20.9)","710255 (21.0)"
"17","","5-Low","673449 (19.9)","694420 (20.5)"
"18","","Missing","17865 (0.5)","17865 (0.5)"
"19","ur6_2016_name","1 Large Urban Areas","1057158 (31.2)","1059406 (31.3)"
"20","","2 Other Urban Areas","1282848 (37.9)","1297182 (38.3)"
"21","","3 Accessible Small Towns","336749 (9.9)","334079 (9.9)"
"22","","4 Remote Small Towns","175201 (5.2)","173518 (5.1)"
"23","","5 Accessible Rural","333877 (9.9)","323820 (9.6)"
"24","","6 Remote Rural","182243 (5.4)","180071 (5.3)"
"25","","Unknown","17865 (0.5)","17865 (0.5)"
"26","n_risk_gps","0","1850260 (54.6)","1865257 (55.1)"
"27","","1","950600 (28.1)","939229 (27.7)"
"28","","2","357821 (10.6)","354479 (10.5)"
"29","","3","135165 (4.0)","135575 (4.0)"
"30","","4","56124 (1.7)","56177 (1.7)"
"31","","5+","35971 (1.1)","35224 (1.0)"
"32","n_tests_gp","0","2762108 (81.6)","2754109 (81.3)"
"33","","1","428449 (12.7)","436129 (12.9)"
"34","","2","96271 (2.8)","96863 (2.9)"
"35","","3","29548 (0.9)","29352 (0.9)"
"36","","4-9","38724 (1.1)","38079 (1.1)"
"37","","10+","30841 (0.9)","31409 (0.9)"
"38","EAVE_Smoke","Ex Smoker","499606 (14.8)","500605 (14.8)"
"39","","Non Smoker","1327678 (39.2)","1337149 (39.5)"
"40","","Smoker","766040 (22.6)","753805 (22.3)"
"41","","Unknown","792617 (23.4)","794382 (23.5)"
"42","bmi_cat","Underweight","33863 (1.0)","32365 (1.0)"
"43","","Normal weight","424411 (12.5)","423061 (12.5)"
"44","","Overweight","2275764 (67.2)","2272265 (67.1)"
"45","","Obese","651903 (19.3)","658250 (19.4)"
"46","ave_hh_age","Mean (SD)","48.7 (18.8)","48.6 (18.8)"
"47","n_hh_gp","1","1078653 (31.9)","1070886 (31.6)"
"48","","2","1065289 (31.5)","1078662 (31.9)"
"49","","3-5","1159494 (34.2)","1155155 (34.1)"
"50","","6-10","78854 (2.3)","77614 (2.3)"
"51","","11-30","2774 (0.1)","2843 (0.1)"
"52","","31-100","463 (0.0)","487 (0.0)"
"53","","101+","414 (0.0)","294 (0.0)"
"54","Q_DIAG_AF","0","3292617 (97.2)","3288594 (97.1)"
"55","","1","93324 (2.8)","97347 (2.9)"
"56","Q_DIAG_ASTHMA","0","2899842 (85.6)","2925320 (86.4)"
"57","","1","486099 (14.4)","460621 (13.6)"
"58","Q_DIAG_BLOOD_CANCER","0","3370142 (99.5)","3366081 (99.4)"
"59","","1","15799 (0.5)","19860 (0.6)"
"60","Q_DIAG_CCF","0","3343047 (98.7)","3342737 (98.7)"
"61","","1","42894 (1.3)","43204 (1.3)"
"62","Q_DIAG_CEREBRALPALSY","0","3382723 (99.9)","3380607 (99.8)"
"63","","1","3218 (0.1)","5334 (0.2)"
"64","Q_DIAG_CHD","0","3210136 (94.8)","3199276 (94.5)"
"65","","1","175805 (5.2)","186665 (5.5)"
"66","Q_DIAG_CIRRHOSIS","0","3364737 (99.4)","3364792 (99.4)"
"67","","1","21204 (0.6)","21149 (0.6)"
"68","Q_DIAG_CONGEN_HD","0","3359182 (99.2)","3351758 (99.0)"
"69","","1","26759 (0.8)","34183 (1.0)"
"70","Q_DIAG_COPD","0","3271028 (96.6)","3263647 (96.4)"
"71","","1","114913 (3.4)","122294 (3.6)"
"72","Q_DIAG_DEMENTIA","0","3359925 (99.2)","3362176 (99.3)"
"73","","1","26016 (0.8)","23765 (0.7)"
"74","Q_DIAG_DIABETES_1","0","3374303 (99.7)","3365851 (99.4)"
"75","","1","11638 (0.3)","20090 (0.6)"
"76","Q_DIAG_DIABETES_2","0","3167196 (93.5)","3146418 (92.9)"
"77","","1","218745 (6.5)","239523 (7.1)"
"78","Q_DIAG_EPILEPSY","0","3335241 (98.5)","3330204 (98.4)"
"79","","1","50700 (1.5)","55737 (1.6)"
"80","Q_DIAG_FRACTURE","0","3207632 (94.7)","3226708 (95.3)"
"81","","1","178309 (5.3)","159233 (4.7)"
"82","Q_DIAG_NEURO","0","3373558 (99.6)","3369212 (99.5)"
"83","","1","12383 (0.4)","16729 (0.5)"
"84","Q_DIAG_PARKINSONS","0","3377301 (99.7)","3377714 (99.8)"
"85","","1","8640 (0.3)","8227 (0.2)"
"86","Q_DIAG_PULM_HYPER","0","3378222 (99.8)","3378030 (99.8)"
"87","","1","7719 (0.2)","7911 (0.2)"
"88","Q_DIAG_PULM_RARE","0","3367874 (99.5)","3364600 (99.4)"
"89","","1","18067 (0.5)","21341 (0.6)"
"90","Q_DIAG_PVD","0","3344160 (98.8)","3345880 (98.8)"
"91","","1","41781 (1.2)","40061 (1.2)"
"92","Q_DIAG_RA_SLE","0","3348183 (98.9)","3342681 (98.7)"
"93","","1","37758 (1.1)","43260 (1.3)"
"94","Q_DIAG_RESP_CANCER","0","3375953 (99.7)","3376316 (99.7)"
"95","","1","9988 (0.3)","9625 (0.3)"
"96","Q_DIAG_SEV_MENT_ILL","0","2868994 (84.7)","2936698 (86.7)"
"97","","1","516947 (15.3)","449243 (13.3)"
