"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.116930591840769,0.049960987731417,0.273668794975296,1,"0.12 (0.05, 0.27)",0,4
"2",0.133242829596705,0.0599161030931985,0.296308516782557,2,"0.13 (0.06, 0.3)",0,6
"3",0.15183068313818,0.0718043029076404,0.32104700427018,3,"0.15 (0.07, 0.32)",0,2
"4",0.173011609044798,0.0859776652836747,0.348148751952139,4,"0.17 (0.09, 0.35)",0,4
"5",0.197147350229773,0.10284049687484,0.377935530104673,5,"0.2 (0.1, 0.38)",0,8
"6",0.224650114042687,0.122850215337344,0.410806554964589,6,"0.22 (0.12, 0.41)",0,3
"7",0.25598961223964,0.146513307512449,0.447267778519253,7,"0.26 (0.15, 0.45)",2,9
"8",0.291701083054634,0.174372816959422,0.487974693183098,8,"0.29 (0.17, 0.49)",2,3
"9",0.332394432378736,0.20698229051382,0.53379474351215,9,"0.33 (0.21, 0.53)",2,2
"10",0.378764650166518,0.244859940875647,0.585896818004309,10,"0.38 (0.24, 0.59)",2,5
"11",0.431603679968681,0.288417873850567,0.645874453186708,11,"0.43 (0.29, 0.65)",1,3
"12",0.491813944307143,0.337868715222073,0.715902197858026,12,"0.49 (0.34, 0.72)",2,5
"13",0.560423756888498,0.393131255119621,0.798905666224509,13,"0.56 (0.39, 0.8)",6,3
"14",0.638604884876687,0.453786210597456,0.898696763948458,14,"0.64 (0.45, 0.9)",3,1
"15",0.727159154415164,0.518856938419755,1.01908714463795,15,"0.73 (0.52, 1.02)",3,3
"16",0.824358193956192,0.586095598181437,1.15948052510769,16,"0.82 (0.59, 1.16)",3,5
"17",0.926362421225785,0.653012686377149,1.31413577922998,17,"0.93 (0.65, 1.31)",2,7
"18",1.02733865570844,0.717129185276363,1.47173582554179,18,"1.03 (0.72, 1.47)",5,1
"19",1.1194463997712,0.775627352747014,1.61567309033446,19,"1.12 (0.78, 1.62)",6,5
"20",1.19327130077624,0.824869110558901,1.72620889669568,20,"1.19 (0.82, 1.73)",5,4
"21",1.23882667436802,0.859834574404241,1.78486836283488,21,"1.24 (0.86, 1.78)",4,2
"22",1.24902001605051,0.874311425459284,1.78431958575323,22,"1.25 (0.87, 1.78)",4,5
"23",1.22692765954292,0.864650636640615,1.74099389737355,23,"1.23 (0.86, 1.74)",6,3
"24",1.17984574236012,0.831044783367795,1.67504327519402,24,"1.18 (0.83, 1.68)",4,3
"25",1.11597436915714,0.778694610896202,1.59934173832583,25,"1.12 (0.78, 1.6)",0,4
"26",1.04321046088161,0.716732752931284,1.51840147006251,26,"1.04 (0.72, 1.52)",1,3
"27",0.968376794450825,0.654782427524617,1.43216063322897,27,"0.97 (0.65, 1.43)",3,2
"28",0.896886621791285,0.600010796548695,1.34065189655783,28,"0.9 (0.6, 1.34)",6,5
"29",0.832194588144746,0.555082319141149,1.24764887775375,29,"0.83 (0.56, 1.25)",4,0
"30",0.774657204581984,0.516698981713798,1.16139920117584,30,"0.77 (0.52, 1.16)",4,2
"31",0.723939338889954,0.481468816577999,1.08851943957106,31,"0.72 (0.48, 1.09)",0,5
"32",0.679693824790757,0.448022243339533,1.03116240839983,32,"0.68 (0.45, 1.03)",6,5
"33",0.641584119895809,0.417017225041506,0.987081967325236,33,"0.64 (0.42, 0.99)",2,8
"34",0.609303428127098,0.390237474686972,0.951345505259924,34,"0.61 (0.39, 0.95)",1,0
"35",0.582591267273876,0.369442061701533,0.918716680879687,35,"0.58 (0.37, 0.92)",0,3
"36",0.561133481963069,0.355074721197623,0.886773306525392,36,"0.56 (0.36, 0.89)",1,0
"37",0.544258867809819,0.344919155937944,0.85880331692253,37,"0.54 (0.34, 0.86)",2,2
"38",0.53132242730294,0.336550235001039,0.838815405237251,38,"0.53 (0.34, 0.84)",1,5
"39",0.521795429641925,0.328553664171142,0.828694061538078,39,"0.52 (0.33, 0.83)",3,7
"40",0.515238215791318,0.320849552108299,0.82739844038247,40,"0.52 (0.32, 0.83)",2,5
"41",0.51127872764349,0.314432110181456,0.831358913025427,41,"0.51 (0.31, 0.83)",1,3
"42",0.509595312485107,0.31067511737959,0.835880854241384,42,"0.51 (0.31, 0.84)",2,5
"43",0.509774160909299,0.310141627241488,0.837906531419708,43,"0.51 (0.31, 0.84)",0,2
"44",0.510908828981164,0.311023912628898,0.839253256524854,44,"0.51 (0.31, 0.84)",2,1
"45",0.511966044370355,0.310983203436334,0.842840473993282,45,"0.51 (0.31, 0.84)",0,8
"46",0.511905780827936,0.308367002519282,0.849791081095564,46,"0.51 (0.31, 0.85)",4,2
"47",0.509693390286658,0.302715248273093,0.858190506041312,47,"0.51 (0.3, 0.86)",2,6
"48",0.504332582079731,0.294635960099193,0.863273285655893,48,"0.5 (0.29, 0.86)",2,1
"49",0.494917799670216,0.285126390800896,0.859070350318616,49,"0.49 (0.29, 0.86)",2,1
"50",0.481059312605325,0.274688798996,0.842473603183496,50,"0.48 (0.27, 0.84)",2,1
"51",0.463922291447878,0.262919074736457,0.81859367837037,51,"0.46 (0.26, 0.82)",1,6
"52",0.444966167004398,0.249448533793956,0.793730421130193,52,"0.44 (0.25, 0.79)",0,1
"53",0.425498417851546,0.234610410210879,0.771700213266041,53,"0.43 (0.23, 0.77)",1,3
"54",0.406641961270459,0.219494076139442,0.753358302758186,54,"0.41 (0.22, 0.75)",0,0
"55",0.389335307095391,0.205553139710931,0.737434522110593,55,"0.39 (0.21, 0.74)",1,3
"56",0.374357741538969,0.194098093239318,0.722025220914269,56,"0.37 (0.19, 0.72)",1,1
"57",0.362252081755059,0.185662789196523,0.706800599645046,57,"0.36 (0.19, 0.71)",0,0
"58",0.353043133745835,0.179262857449794,0.695288784627274,58,"0.35 (0.18, 0.7)",0,2
"59",0.346676785561149,0.173747052187684,0.691722778221213,59,"0.35 (0.17, 0.69)",1,1
"60",0.343154081538115,0.168429990665106,0.699131569213243,60,"0.34 (0.17, 0.7)",1,0
"61",0.342537636444133,0.163259075718658,0.7186861242736,61,"0.34 (0.16, 0.72)",0,0
"62",0.344960563557259,0.158751533616929,0.749585139107294,62,"0.34 (0.16, 0.75)",0,1
"63",0.350638765568168,0.155765612982283,0.789311206531523,63,"0.35 (0.16, 0.79)",0,0
"64",0.359778682811683,0.155113888261835,0.834488143235835,64,"0.36 (0.16, 0.83)",0,1
"65",0.372241836574356,0.156884888757247,0.883220723129389,65,"0.37 (0.16, 0.88)",0,5
"66",0.387816977314834,0.160842995230961,0.935085843667895,66,"0.39 (0.16, 0.94)",0,1
"67",0.406291705253058,0.166651096843124,0.990530232830259,67,"0.41 (0.17, 0.99)",0,1
"68",0.427421361002031,0.173894802176333,1.05057205594666,68,"0.43 (0.17, 1.05)",2,0
"69",0.450898968482584,0.182086619407105,1.11655584820378,69,"0.45 (0.18, 1.12)",0,0
"70",0.476326382560558,0.190673702075243,1.18992194651832,70,"0.48 (0.19, 1.19)",0,1
"71",0.503304052907563,0.199153503804307,1.2719583880487,71,"0.5 (0.2, 1.27)",0,0
"72",0.531809656041809,0.207393146842308,1.36369747296593,72,"0.53 (0.21, 1.36)",0,0
"73",0.561929729406041,0.215361908728378,1.46620645523996,73,"0.56 (0.22, 1.47)",0,1
"74",0.593755711659217,0.223037069043416,1.5806603209053,74,"0.59 (0.22, 1.58)",0,1
"75",0.627384220266446,0.230403452925542,1.70835529954725,75,"0.63 (0.23, 1.71)",0,0
"76",0.662917344810731,0.237452677652485,1.85072415436841,76,"0.66 (0.24, 1.85)",0,0
"77",0.700462956917002,0.244182222254476,2.00935329969099,77,"0.7 (0.24, 2.01)",0,0
