"vacc","z.yr","vacc_type","pyears","event","Rate","RR_est"
"uv","-1+ thru  13","AZ",44687.8,174,4,NA
"vacc","-1+ thru  13","AZ",44711.8,20,0,"0.12 (0.07, 0.18)"
"uv","13+ thru  20","AZ",18788.8,99,5,NA
"vacc","13+ thru  20","AZ",18816.5,29,2,"0.29 (0.19, 0.44)"
"uv","20+ thru  27","AZ",17149.3,62,4,NA
"vacc","20+ thru  27","AZ",17183.3,19,1,"0.31 (0.18, 0.51)"
"uv","27+ thru  34","AZ",15358.6,39,3,NA
"vacc","27+ thru  34","AZ",15396,19,1,"0.49 (0.28, 0.84)"
"uv","34+ thru  41","AZ",13204.3,32,2,NA
"vacc","34+ thru  41","AZ",13243.4,10,1,"0.31 (0.15, 0.63)"
"uv","41+ thru  48","AZ",10880.1,30,3,NA
"vacc","41+ thru  48","AZ",10919.2,6,1,"0.20 (0.08, 0.48)"
"uv","48+ thru  55","AZ",9295,15,2,NA
"vacc","48+ thru  55","AZ",9334.5,7,1,"0.46 (0.19, 1.14)"
"uv","55+ thru  62","AZ",7049,5,1,NA
"vacc","55+ thru  62","AZ",7084.5,5,1,"1.00 (0.29, 3.44)"
"uv","62+ thru  69","AZ",4505.8,4,1,NA
"vacc","62+ thru  69","AZ",4529.7,6,1,"1.49 (0.42, 5.29)"
"uv","69+ thru 142","AZ",3341.2,2,1,NA
"vacc","69+ thru 142","AZ",3318.7,6,2,"3.02 (0.61, 14.96)"
"uv","-1+ thru  13","PB",23001.4,45,2,NA
"vacc","-1+ thru  13","PB",23010.7,17,1,"0.38 (0.22, 0.66)"
"uv","13+ thru  20","PB",10476.1,33,3,NA
"vacc","13+ thru  20","PB",10486.9,25,2,"0.76 (0.45, 1.27)"
"uv","20+ thru  27","PB",9962.8,25,3,NA
"vacc","20+ thru  27","PB",9976.6,20,2,"0.80 (0.44, 1.44)"
"uv","27+ thru  34","PB",9757.3,33,3,NA
"vacc","27+ thru  34","PB",9773.6,23,2,"0.70 (0.41, 1.19)"
"uv","34+ thru  41","PB",9601.1,28,3,NA
"vacc","34+ thru  41","PB",9619,12,1,"0.43 (0.22, 0.84)"
"uv","41+ thru  48","PB",9391.3,21,2,NA
"vacc","41+ thru  48","PB",9409.7,13,1,"0.62 (0.31, 1.23)"
"uv","48+ thru  55","PB",9048.6,12,1,NA
"vacc","48+ thru  55","PB",9067,6,1,"0.50 (0.19, 1.33)"
"uv","55+ thru  62","PB",8056.5,5,1,NA
"vacc","55+ thru  62","PB",8072.2,3,0,"0.60 (0.14, 2.51)"
"uv","62+ thru  69","PB",6108.7,7,1,NA
"vacc","62+ thru  69","PB",6119.8,4,1,"0.57 (0.17, 1.95)"
"uv","69+ thru 142","PB",5640.6,2,0,NA
"vacc","69+ thru 142","PB",5588.1,1,0,"0.50 (0.05, 5.57)"
