"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.356651748070163,0.301245292499576,0.422248820375117,1,"0.36 (0.3, 0.42)",47,135
"2",0.368585160322247,0.315388833694627,0.430754059420243,2,"0.37 (0.32, 0.43)",30,118
"3",0.380917859354081,0.32993822586383,0.439774491709789,3,"0.38 (0.33, 0.44)",24,106
"4",0.393663205127525,0.344814410979751,0.449432257285721,4,"0.39 (0.34, 0.45)",36,67
"5",0.40683500462293,0.359903253303605,0.459886704183015,5,"0.41 (0.36, 0.46)",31,67
"6",0.420447526796211,0.3750504422649,0.471339592939855,6,"0.42 (0.38, 0.47)",36,66
"7",0.43451551803635,0.390064038114138,0.484032663783148,7,"0.43 (0.39, 0.48)",22,65
"8",0.449054218140062,0.404731727788681,0.498230499326378,8,"0.45 (0.4, 0.5)",22,55
"9",0.46407937682105,0.418855969228431,0.51418550483438,9,"0.46 (0.42, 0.51)",30,40
"10",0.479607270771563,0.432297488749687,0.53209454175233,10,"0.48 (0.43, 0.53)",31,52
"11",0.495654721294903,0.445004843950191,0.552069502347768,11,"0.5 (0.45, 0.55)",27,48
"12",0.512239112527832,0.45701280683581,0.57413907111266,12,"0.51 (0.46, 0.57)",25,47
"13",0.529378410272811,0.468414507881336,0.598276732568587,13,"0.53 (0.47, 0.6)",29,31
"14",0.547091181460182,0.479327204912187,0.624435161960671,14,"0.55 (0.48, 0.62)",26,47
"15",0.565250567011926,0.489827637938469,0.652287006204904,15,"0.57 (0.49, 0.65)",27,36
"16",0.583108158549916,0.499834700951024,0.680255140190418,16,"0.58 (0.5, 0.68)",23,32
"17",0.599667990178878,0.50921014995629,0.706195071869724,17,"0.6 (0.51, 0.71)",11,39
"18",0.613837015242225,0.517718796748674,0.727800272363683,18,"0.61 (0.52, 0.73)",22,23
"19",0.624457025222634,0.524918218429417,0.742871103839074,19,"0.62 (0.52, 0.74)",14,34
"20",0.630356351709386,0.529977469470688,0.749747211965855,20,"0.63 (0.53, 0.75)",17,30
"21",0.630420932272939,0.531355178021215,0.747956486145343,21,"0.63 (0.53, 0.75)",9,23
"22",0.624019444328298,0.526581933047104,0.739486568873538,22,"0.62 (0.53, 0.74)",8,21
"23",0.612056915388838,0.513789613786822,0.729118801982499,23,"0.61 (0.51, 0.73)",13,14
"24",0.595868107462958,0.493417957034308,0.719590352214926,24,"0.6 (0.49, 0.72)",8,25
"25",0.576781835878244,0.46832713265447,0.710352364838375,25,"0.58 (0.47, 0.71)",11,21
"26",0.55605092343701,0.442242921072,0.699146588272496,26,"0.56 (0.44, 0.7)",9,21
"27",0.534807601320021,0.418297850900755,0.683769160691995,27,"0.53 (0.42, 0.68)",10,16
"28",0.514042522674054,0.398499469352926,0.663086742740641,28,"0.51 (0.4, 0.66)",7,9
"29",0.494378513492659,0.38307382467611,0.638023531912838,29,"0.49 (0.38, 0.64)",8,21
"30",0.4754757278378,0.369378865532277,0.612046840950434,30,"0.48 (0.37, 0.61)",5,18
"31",0.456832126024672,0.354804128916002,0.588199444030791,31,"0.46 (0.35, 0.59)",8,14
"32",0.438021815927747,0.338106741754341,0.567463133781708,32,"0.44 (0.34, 0.57)",11,9
"33",0.418694215716038,0.31965171627539,0.548424542551298,33,"0.42 (0.32, 0.55)",6,14
"34",0.398576412900828,0.300791133952907,0.528151062277533,34,"0.4 (0.3, 0.53)",3,11
"35",0.37747738543047,0.282886755152581,0.503696881936268,35,"0.38 (0.28, 0.5)",2,9
"36",0.355598505167474,0.266556908369466,0.474383866660373,36,"0.36 (0.27, 0.47)",7,15
"37",0.334301278348979,0.251498677370959,0.444365536526938,37,"0.33 (0.25, 0.44)",4,19
"38",0.31493315519482,0.237303619303548,0.417957772966346,38,"0.31 (0.24, 0.42)",6,20
"39",0.298534193409114,0.224101436865012,0.39768894783175,39,"0.3 (0.22, 0.4)",7,13
"40",0.285929024613468,0.212766078066895,0.384250195610151,40,"0.29 (0.21, 0.38)",8,20
"41",0.277845893463199,0.204673352594458,0.377178267399199,41,"0.28 (0.2, 0.38)",3,21
"42",0.275058084396505,0.201304348530092,0.375833658558872,42,"0.28 (0.2, 0.38)",4,6
"43",0.278165033790494,0.203530540271764,0.380167939024534,43,"0.28 (0.2, 0.38)",2,15
"44",0.286537118726852,0.210173471274831,0.390646449860098,44,"0.29 (0.21, 0.39)",2,19
"45",0.29935870781534,0.219608891956424,0.408069250504904,45,"0.3 (0.22, 0.41)",2,6
"46",0.31584061636759,0.230520492510208,0.432739379745347,46,"0.32 (0.23, 0.43)",5,14
"47",0.335074641912948,0.242202112382222,0.463559192563556,47,"0.34 (0.24, 0.46)",1,6
"48",0.355913998799164,0.254593048278083,0.497557868912623,48,"0.36 (0.25, 0.5)",4,14
"49",0.376886798807958,0.267937925974591,0.530136443353603,49,"0.38 (0.27, 0.53)",4,5
"50",0.396497803669981,0.282149858083902,0.557187975860579,50,"0.4 (0.28, 0.56)",4,15
"51",0.414393791124194,0.296233571097132,0.579685190595686,51,"0.41 (0.3, 0.58)",4,5
"52",0.430602065877029,0.308765905031643,0.600513645179065,52,"0.43 (0.31, 0.6)",6,8
"53",0.445222614921173,0.318733189431828,0.621909432119695,53,"0.45 (0.32, 0.62)",3,7
"54",0.458420871752442,0.326242821073547,0.644151172328458,54,"0.46 (0.33, 0.64)",2,2
"55",0.470419624659053,0.332674183693193,0.665199267366211,55,"0.47 (0.33, 0.67)",1,7
"56",0.481491010495853,0.340227106168462,0.681408356315755,56,"0.48 (0.34, 0.68)",6,6
"57",0.4919337706829,0.35084520436847,0.689759562693467,57,"0.49 (0.35, 0.69)",4,5
"58",0.502018240092862,0.364228116163913,0.69193536193817,58,"0.5 (0.36, 0.69)",4,16
"59",0.51202555987329,0.37880110244258,0.692105097564485,59,"0.51 (0.38, 0.69)",3,7
"60",0.52226142523076,0.392457629695984,0.694997308360025,60,"0.52 (0.39, 0.69)",4,6
"61",0.533056571551311,0.403344841184608,0.704482317511494,61,"0.53 (0.4, 0.7)",4,8
"62",0.544769239430449,0.411008800199067,0.722061240746893,62,"0.54 (0.41, 0.72)",1,6
"63",0.557789911269565,0.416935264797241,0.746229957941828,63,"0.56 (0.42, 0.75)",0,7
"64",0.572456467603992,0.423653832194067,0.773524000962004,64,"0.57 (0.42, 0.77)",4,9
"65",0.588766577167229,0.432661701017846,0.80119428545148,65,"0.59 (0.43, 0.8)",4,5
"66",0.606621625766764,0.444431766464705,0.828000662002939,66,"0.61 (0.44, 0.83)",4,6
"67",0.625909979482573,0.458919677208849,0.853664207206326,67,"0.63 (0.46, 0.85)",5,7
"68",0.646502633801638,0.475774671781545,0.87849496894691,68,"0.65 (0.48, 0.88)",5,1
"69",0.668249041459028,0.494444034311623,0.903149295819934,69,"0.67 (0.49, 0.9)",0,3
"70",0.690973198348992,0.514234249810237,0.928456167617818,70,"0.69 (0.51, 0.93)",3,3
