"","vacc","z.yr","pyears","event","Rate","RR_est"
"1","uv","-1+ thru  13","91081.40",1242,14,NA
"2","vacc","-1+ thru  13","91127.60",552,6,NA
"3","uv","13+ thru  20","39380.60",351,9,NA
"4","vacc","13+ thru  20","39432.40",212,5,NA
"5","uv","20+ thru  27","36733.60",245,7,NA
"6","vacc","20+ thru  27","36797.60",114,3,NA
"7","uv","27+ thru  34","34564.20",199,6,NA
"8","vacc","27+ thru  34","34636.40",96,3,NA
"9","uv","34+ thru  41","32802.20",166,5,NA
"10","vacc","34+ thru  41","32878.60",69,2,NA
"11","uv","41+ thru  48","31498.20",144,5,NA
"12","vacc","41+ thru  48","31578.50",50,2,NA
"13","uv","48+ thru  55","29734.70",94,3,NA
"14","vacc","48+ thru  55","29815.70",50,2,NA
"15","uv","55+ thru  62","26455.60",78,3,NA
"16","vacc","55+ thru  62","26529.20",41,2,NA
"17","uv","62+ thru  69","22024.70",72,3,NA
"18","vacc","62+ thru  69","22078.60",31,1,NA
"19","uv","69+ thru  76","14039.30",38,3,NA
"20","vacc","69+ thru  76","14054.30",32,2,NA
"21","uv","76+ thru  83","5665.90",14,2,NA
"22","vacc","76+ thru  83","5634.60",14,2,NA
"23","uv","83+ thru 203","7129.90",23,3,NA
"24","vacc","83+ thru 203","6546.10",39,6,NA
