"vacc","z.yr","vacc_type","pyears","event","Rate","RR_est"
"uv","-1+ thru  13","AZ",51590.6,840,16,NA
"vacc","-1+ thru  13","AZ",51623.3,398,8,"0.47 (0.42, 0.53)"
"uv","13+ thru  20","AZ",22261.4,203,9,NA
"vacc","13+ thru  20","AZ",22297.3,140,6,"0.69 (0.56, 0.85)"
"uv","20+ thru  27","AZ",21433.8,147,7,NA
"vacc","20+ thru  27","AZ",21477.7,66,3,"0.45 (0.34, 0.60)"
"uv","27+ thru  34","AZ",20998.3,116,6,NA
"vacc","27+ thru  34","AZ",21047.5,55,3,"0.47 (0.34, 0.65)"
"uv","34+ thru  41","AZ",20228.4,96,5,NA
"vacc","34+ thru  41","AZ",20280.3,37,2,"0.38 (0.26, 0.56)"
"uv","41+ thru  48","AZ",19544.1,87,4,NA
"vacc","41+ thru  48","AZ",19599,27,1,"0.31 (0.20, 0.48)"
"uv","48+ thru  55","AZ",18578.8,45,2,NA
"vacc","48+ thru  55","AZ",18634.5,32,2,"0.71 (0.45, 1.12)"
"uv","55+ thru  62","AZ",17204.5,36,2,NA
"vacc","55+ thru  62","AZ",17254.8,23,1,"0.64 (0.38, 1.07)"
"uv","62+ thru  69","AZ",14821.8,43,3,NA
"vacc","62+ thru  69","AZ",14857.5,23,2,"0.53 (0.32, 0.88)"
"uv","69+ thru 203","AZ",17882.9,53,3,NA
"vacc","69+ thru 203","AZ",17469.9,68,4,"1.31 (0.92, 1.88)"
"uv","-1+ thru  13","PB",39490.8,402,10,NA
"vacc","-1+ thru  13","PB",39504.3,154,4,"0.38 (0.32, 0.46)"
"uv","13+ thru  20","PB",17119.3,148,9,NA
"vacc","13+ thru  20","PB",17135.2,72,4,"0.49 (0.37, 0.64)"
"uv","20+ thru  27","PB",15299.8,98,6,NA
"vacc","20+ thru  27","PB",15319.9,48,3,"0.49 (0.35, 0.69)"
"uv","27+ thru  34","PB",13565.9,83,6,NA
"vacc","27+ thru  34","PB",13588.9,41,3,"0.49 (0.34, 0.72)"
"uv","34+ thru  41","PB",12573.8,70,6,NA
"vacc","34+ thru  41","PB",12598.3,32,3,"0.46 (0.30, 0.69)"
"uv","41+ thru  48","PB",11954,57,5,NA
"vacc","41+ thru  48","PB",11979.5,23,2,"0.40 (0.25, 0.65)"
"uv","48+ thru  55","PB",11155.9,49,4,NA
"vacc","48+ thru  55","PB",11181.2,18,2,"0.37 (0.21, 0.63)"
"uv","55+ thru  62","PB",9251.1,42,5,NA
"vacc","55+ thru  62","PB",9274.4,18,2,"0.43 (0.25, 0.74)"
"uv","62+ thru  69","PB",7203,29,4,NA
"vacc","62+ thru  69","PB",7221.1,8,1,"0.28 (0.13, 0.60)"
"uv","69+ thru 203","PB",8952.3,22,2,NA
"vacc","69+ thru 203","PB",8765.2,17,2,"0.79 (0.42, 1.49)"
