"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"1","uv","-1+ thru  13","AZ","F",26473.7,432,16,NA
"2","vacc","-1+ thru  13","AZ","F",25844.8,210,8,"0.5 (0.42, 0.59)"
"3","uv","13+ thru  20","AZ","F",11378,117,10,NA
"4","vacc","13+ thru  20","AZ","F",11059,74,7,"0.65 (0.49, 0.87)"
"5","uv","20+ thru  27","AZ","F",10949.2,92,8,NA
"6","vacc","20+ thru  27","AZ","F",10638.4,39,4,"0.44 (0.3, 0.63)"
"7","uv","27+ thru  34","AZ","F",10741,74,7,NA
"8","vacc","27+ thru  34","AZ","F",10439.5,27,3,"0.38 (0.24, 0.58)"
"9","uv","34+ thru  41","AZ","F",10400.1,44,4,NA
"10","vacc","34+ thru  41","AZ","F",10116.2,24,2,"0.56 (0.34, 0.92)"
"11","uv","41+ thru  48","AZ","F",10095,46,5,NA
"12","vacc","41+ thru  48","AZ","F",9825.4,13,1,"0.29 (0.16, 0.54)"
"13","uv","48+ thru  55","AZ","F",9645.5,25,3,NA
"14","vacc","48+ thru  55","AZ","F",9401.1,10,1,"0.41 (0.2, 0.85)"
"15","uv","55+ thru  62","AZ","F",8958.6,36,4,NA
"16","vacc","55+ thru  62","AZ","F",8719.2,10,1,"0.28 (0.14, 0.57)"
"17","uv","62+ thru  69","AZ","F",7726.9,17,2,NA
"18","vacc","62+ thru  69","AZ","F",7503.9,11,1,"0.67 (0.31, 1.42)"
"19","uv","69+ thru 203","AZ","F",9535.6,29,3,NA
"20","vacc","69+ thru 203","AZ","F",8980.5,37,4,"1.36 (0.83, 2.2)"
"21","uv","-1+ thru  13","PB","F",22028.6,234,11,NA
"22","vacc","-1+ thru  13","PB","F",22235.3,81,4,"0.34 (0.27, 0.44)"
"23","uv","13+ thru  20","PB","F",9786.9,74,8,NA
"24","vacc","13+ thru  20","PB","F",9879.6,39,4,"0.52 (0.35, 0.77)"
"25","uv","20+ thru  27","PB","F",8911.5,70,8,NA
"26","vacc","20+ thru  27","PB","F",8988.2,29,3,"0.41 (0.27, 0.63)"
"27","uv","27+ thru  34","PB","F",8080.5,49,6,NA
"28","vacc","27+ thru  34","PB","F",8149.3,24,3,"0.49 (0.3, 0.79)"
"29","uv","34+ thru  41","PB","F",7591.4,55,7,NA
"30","vacc","34+ thru  41","PB","F",7653.7,11,1,"0.2 (0.1, 0.38)"
"31","uv","41+ thru  48","PB","F",7259.9,39,5,NA
"32","vacc","41+ thru  48","PB","F",7318.7,14,2,"0.36 (0.19, 0.66)"
"33","uv","48+ thru  55","PB","F",6829.3,22,3,NA
"34","vacc","48+ thru  55","PB","F",6877.1,15,2,"0.68 (0.35, 1.3)"
"35","uv","55+ thru  62","PB","F",5795.6,27,5,NA
"36","vacc","55+ thru  62","PB","F",5829.3,9,2,"0.33 (0.16, 0.7)"
"37","uv","62+ thru  69","PB","F",4524,12,3,NA
"38","vacc","62+ thru  69","PB","F",4547.6,5,1,"0.42 (0.15, 1.18)"
"39","uv","69+ thru 203","PB","F",5696.5,26,5,NA
"40","vacc","69+ thru 203","PB","F",5567,9,2,"0.35 (0.17, 0.76)"
"41","uv","-1+ thru  13","AZ","M",25116.9,394,16,NA
"42","vacc","-1+ thru  13","AZ","M",25778.3,182,7,"0.45 (0.38, 0.54)"
"43","uv","13+ thru  20","AZ","M",10900.3,104,10,NA
"44","vacc","13+ thru  20","AZ","M",11256.1,61,5,"0.57 (0.41, 0.78)"
"45","uv","20+ thru  27","AZ","M",10496.6,78,7,NA
"46","vacc","20+ thru  27","AZ","M",10851.9,29,3,"0.36 (0.24, 0.55)"
"47","uv","27+ thru  34","AZ","M",10270.3,58,6,NA
"48","vacc","27+ thru  34","AZ","M",10621.4,26,2,"0.43 (0.27, 0.69)"
"49","uv","34+ thru  41","AZ","M",9837.7,49,5,NA
"50","vacc","34+ thru  41","AZ","M",10174.5,15,1,"0.3 (0.17, 0.53)"
"51","uv","41+ thru  48","AZ","M",9455.2,36,4,NA
"52","vacc","41+ thru  48","AZ","M",9780.3,12,1,"0.32 (0.17, 0.62)"
"53","uv","48+ thru  55","AZ","M",8935.2,13,1,NA
"54","vacc","48+ thru  55","AZ","M",9236.6,18,2,"1.34 (0.66, 2.73)"
"55","uv","55+ thru  62","AZ","M",8247.8,18,2,NA
"56","vacc","55+ thru  62","AZ","M",8538.7,13,2,"0.7 (0.34, 1.42)"
"57","uv","62+ thru  69","AZ","M",7101.7,20,3,NA
"58","vacc","62+ thru  69","AZ","M",7361.8,10,1,"0.48 (0.23, 1.03)"
"59","uv","69+ thru 203","AZ","M",8335.8,22,3,NA
"60","vacc","69+ thru 203","AZ","M",8478.3,27,3,"1.21 (0.69, 2.12)"
"61","uv","-1+ thru  13","PB","M",17456,172,10,NA
"62","vacc","-1+ thru  13","PB","M",17262.4,81,5,"0.48 (0.37, 0.62)"
"63","uv","13+ thru  20","PB","M",7332.5,67,9,NA
"64","vacc","13+ thru  20","PB","M",7255.4,36,5,"0.54 (0.36, 0.81)"
"65","uv","20+ thru  27","PB","M",6386.5,47,7,NA
"66","vacc","20+ thru  27","PB","M",6329.4,15,2,"0.32 (0.18, 0.58)"
"67","uv","27+ thru  34","PB","M",5485.4,28,5,NA
"68","vacc","27+ thru  34","PB","M",5438.9,22,4,"0.79 (0.45, 1.38)"
"69","uv","34+ thru  41","PB","M",4979.5,36,7,NA
"70","vacc","34+ thru  41","PB","M",4941.4,15,3,"0.42 (0.23, 0.77)"
"71","uv","41+ thru  48","PB","M",4687.9,21,4,NA
"72","vacc","41+ thru  48","PB","M",4655.1,12,3,"0.57 (0.28, 1.17)"
"73","uv","48+ thru  55","PB","M",4320.9,5,1,NA
"74","vacc","48+ thru  55","PB","M",4298.6,5,1,"1 (0.29, 3.47)"
"75","uv","55+ thru  62","PB","M",3450.8,5,1,NA
"76","vacc","55+ thru  62","PB","M",3439.7,6,2,"1.2 (0.37, 3.94)"
"77","uv","62+ thru  69","PB","M",2676.4,11,4,NA
"78","vacc","62+ thru  69","PB","M",2669.9,5,2,"0.46 (0.16, 1.31)"
"79","uv","69+ thru 203","PB","M",3237.2,4,1,NA
"80","vacc","69+ thru 203","PB","M",3178.4,6,2,"1.53 (0.43, 5.41)"
"81","uv","-1+ thru  13","AZ","18-64",39399,185,5,NA
"82","vacc","-1+ thru  13","AZ","18-64",39402.1,170,4,"0.92 (0.75, 1.13)"
"83","uv","13+ thru  20","AZ","18-64",17890.8,79,4,NA
"84","vacc","13+ thru  20","AZ","18-64",17895.2,72,4,"0.91 (0.66, 1.25)"
"85","uv","20+ thru  27","AZ","18-64",17268.6,71,4,NA
"86","vacc","20+ thru  27","AZ","18-64",17274.5,28,2,"0.39 (0.26, 0.61)"
"87","uv","27+ thru  34","AZ","18-64",16876.9,67,4,NA
"88","vacc","27+ thru  34","AZ","18-64",16883.8,26,2,"0.39 (0.25, 0.61)"
"89","uv","34+ thru  41","AZ","18-64",16129.2,49,3,NA
"90","vacc","34+ thru  41","AZ","18-64",16136.6,21,1,"0.43 (0.26, 0.71)"
"91","uv","41+ thru  48","AZ","18-64",15484,42,3,NA
"92","vacc","41+ thru  48","AZ","18-64",15492,16,1,"0.38 (0.21, 0.68)"
"93","uv","48+ thru  55","AZ","18-64",14602,29,2,NA
"94","vacc","48+ thru  55","AZ","18-64",14610.4,14,1,"0.48 (0.26, 0.91)"
"95","uv","55+ thru  62","AZ","18-64",13493.6,27,2,NA
"96","vacc","55+ thru  62","AZ","18-64",13501.1,14,1,"0.52 (0.27, 0.99)"
"97","uv","62+ thru  69","AZ","18-64",11753.2,27,2,NA
"98","vacc","62+ thru  69","AZ","18-64",11759.2,10,1,"0.37 (0.18, 0.76)"
"99","uv","69+ thru 203","AZ","18-64",13757.9,36,3,NA
"100","vacc","69+ thru 203","AZ","18-64",13667.5,53,4,"1.48 (0.97, 2.26)"
"101","uv","-1+ thru  13","PB","18-64",31761,169,5,NA
"102","vacc","-1+ thru  13","PB","18-64",31764,97,3,"0.57 (0.45, 0.74)"
"103","uv","13+ thru  20","PB","18-64",13934.6,67,5,NA
"104","vacc","13+ thru  20","PB","18-64",13938.1,33,2,"0.49 (0.32, 0.75)"
"105","uv","20+ thru  27","PB","18-64",12227.4,69,6,NA
"106","vacc","20+ thru  27","PB","18-64",12231.9,20,2,"0.29 (0.18, 0.48)"
"107","uv","27+ thru  34","PB","18-64",10532,40,4,NA
"108","vacc","27+ thru  34","PB","18-64",10537.3,10,1,"0.25 (0.12, 0.5)"
"109","uv","34+ thru  41","PB","18-64",9568.1,47,5,NA
"110","vacc","34+ thru  41","PB","18-64",9574.1,10,1,"0.21 (0.11, 0.42)"
"111","uv","41+ thru  48","PB","18-64",8978.9,38,4,NA
"112","vacc","41+ thru  48","PB","18-64",8985.7,8,1,"0.21 (0.1, 0.45)"
"113","uv","48+ thru  55","PB","18-64",8228.1,13,2,NA
"114","vacc","48+ thru  55","PB","18-64",8234.8,12,1,"0.92 (0.42, 2.02)"
"115","uv","55+ thru  62","PB","18-64",6528,22,3,NA
"116","vacc","55+ thru  62","PB","18-64",6534,8,1,"0.36 (0.16, 0.82)"
"117","uv","62+ thru  69","PB","18-64",4830.1,11,2,NA
"118","vacc","62+ thru  69","PB","18-64",4834.6,5,1,"0.45 (0.16, 1.31)"
"119","uv","69+ thru 203","PB","18-64",5874.3,21,4,NA
"120","vacc","69+ thru 203","PB","18-64",5847.4,7,1,"0.34 (0.14, 0.79)"
"121","uv","-1+ thru  13","AZ","65+",12191.6,641,53,NA
"122","vacc","-1+ thru  13","AZ","65+",12221,222,18,"0.34 (0.3, 0.4)"
"123","uv","13+ thru  20","AZ","65+",4387.4,142,32,NA
"124","vacc","13+ thru  20","AZ","65+",4419.9,63,14,"0.44 (0.33, 0.59)"
"125","uv","20+ thru  27","AZ","65+",4177.2,99,24,NA
"126","vacc","20+ thru  27","AZ","65+",4215.8,40,9,"0.4 (0.28, 0.58)"
"127","uv","27+ thru  34","AZ","65+",4134.3,65,16,NA
"128","vacc","27+ thru  34","AZ","65+",4177.1,27,6,"0.41 (0.26, 0.64)"
"129","uv","34+ thru  41","AZ","65+",4108.6,44,11,NA
"130","vacc","34+ thru  41","AZ","65+",4154.1,18,4,"0.4 (0.23, 0.7)"
"131","uv","41+ thru  48","AZ","65+",4066.2,40,10,NA
"132","vacc","41+ thru  48","AZ","65+",4113.7,9,2,"0.22 (0.11, 0.46)"
"133","uv","48+ thru  55","AZ","65+",3978.7,9,2,NA
"134","vacc","48+ thru  55","AZ","65+",4027.3,14,3,"1.54 (0.66, 3.55)"
"135","uv","55+ thru  62","AZ","65+",3712.8,27,7,NA
"136","vacc","55+ thru  62","AZ","65+",3756.8,9,2,"0.33 (0.16, 0.7)"
