"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.404340930931616,0.34006195842486,0.480770001984128,1,"0.4 (0.34, 0.48)",47,118
"2",0.418484867706149,0.356651484403694,0.491038428710992,2,"0.42 (0.36, 0.49)",29,103
"3",0.43312356257262,0.373751945008591,0.5019265396767,3,"0.43 (0.37, 0.5)",24,94
"4",0.44827432228046,0.391274068145168,0.51357829300727,4,"0.45 (0.39, 0.51)",36,59
"5",0.463955058973067,0.409087589463712,0.52618143960047,5,"0.46 (0.41, 0.53)",31,62
"6",0.480184311364654,0.427015076408232,0.53997384546749,6,"0.48 (0.43, 0.54)",35,53
"7",0.496981266657842,0.444834444350752,0.555241129695615,7,"0.5 (0.44, 0.56)",21,61
"8",0.514365783227903,0.462298348683871,0.572297434565516,8,"0.51 (0.46, 0.57)",22,43
"9",0.532358414100562,0.479174359306437,0.591445421816538,9,"0.53 (0.48, 0.59)",30,34
"10",0.550980431250991,0.495295407106313,0.612926005906544,10,"0.55 (0.5, 0.61)",29,42
"11",0.570253850752863,0.510595093882779,0.636883233298603,11,"0.57 (0.51, 0.64)",27,44
"12",0.590201458807024,0.525107474213176,0.66336469976911,12,"0.59 (0.53, 0.66)",25,33
"13",0.610846838680818,0.538936021752011,0.692352793775668,13,"0.61 (0.54, 0.69)",28,25
"14",0.632214398589532,0.55221424475787,0.723804301642344,14,"0.63 (0.55, 0.72)",26,39
"15",0.654083773668539,0.564962021660945,0.757264323217164,15,"0.65 (0.56, 0.76)",27,28
"16",0.675186908565625,0.576732391786685,0.790448686410905,16,"0.68 (0.58, 0.79)",23,30
"17",0.693837774271153,0.586918101639138,0.820235149778254,17,"0.69 (0.59, 0.82)",11,33
"18",0.708201434115787,0.594787878250613,0.843240573023801,18,"0.71 (0.59, 0.84)",22,17
"19",0.716378004233515,0.599391314235402,0.856197667135436,19,"0.72 (0.6, 0.86)",12,31
"20",0.716532523157951,0.599412379977537,0.856536958349676,20,"0.72 (0.6, 0.86)",16,29
"21",0.707065165055118,0.592919734751361,0.843185204223419,21,"0.71 (0.59, 0.84)",9,23
"22",0.687437787604152,0.577504779717452,0.818297490208305,22,"0.69 (0.58, 0.82)",8,18
"23",0.660045679922603,0.552490281516491,0.788539299530623,23,"0.66 (0.55, 0.79)",13,14
"24",0.627908461182582,0.519639212703706,0.758736111490274,24,"0.63 (0.52, 0.76)",8,24
"25",0.593766302425319,0.482863280381799,0.730141297174365,25,"0.59 (0.48, 0.73)",11,19
"26",0.559946772557703,0.446642654369213,0.701993831154788,26,"0.56 (0.45, 0.7)",9,21
"27",0.52832973117492,0.414548388541142,0.673340706559425,27,"0.53 (0.41, 0.67)",10,16
"28",0.500386495455545,0.388784928556682,0.644023537033219,28,"0.5 (0.39, 0.64)",6,6
"29",0.476902108616707,0.369679677438489,0.615223489640988,29,"0.48 (0.37, 0.62)",7,21
"30",0.457109350794743,0.354618435841104,0.589221928319646,30,"0.46 (0.35, 0.59)",5,17
"31",0.440035815631653,0.34102365740086,0.567794975030156,31,"0.44 (0.34, 0.57)",8,14
"32",0.424857082570897,0.327439736170272,0.551257286979948,32,"0.42 (0.33, 0.55)",10,8
"33",0.410860577121957,0.313653416299895,0.538194086403909,33,"0.41 (0.31, 0.54)",5,14
"34",0.397422738585269,0.300298384951932,0.5259596490001,34,"0.4 (0.3, 0.53)",3,10
"35",0.38399665352482,0.288174018669298,0.511681901786831,35,"0.38 (0.29, 0.51)",2,9
"36",0.370322038940404,0.277578528496419,0.494052667790359,36,"0.37 (0.28, 0.49)",7,13
"37",0.357004883594085,0.267972777924691,0.475617291790155,37,"0.36 (0.27, 0.48)",4,17
"38",0.344768331359032,0.258737334908142,0.459404910970004,38,"0.34 (0.26, 0.46)",6,19
"39",0.33423761358026,0.249751441711768,0.447303853648038,39,"0.33 (0.25, 0.45)",7,13
"40",0.325967389800329,0.241592727647476,0.439809344626809,40,"0.33 (0.24, 0.44)",8,18
"41",0.320479311661259,0.235364878415382,0.43637347209303,41,"0.32 (0.24, 0.44)",3,20
"42",0.318309051046737,0.232326026561948,0.436114082772633,42,"0.32 (0.23, 0.44)",4,5
"43",0.319854002820363,0.233214349488081,0.438680481474565,43,"0.32 (0.23, 0.44)",2,10
"44",0.324785938757336,0.237137212689456,0.444830673423761,44,"0.32 (0.24, 0.44)",2,17
"45",0.33265083852661,0.242848760727755,0.455660469671937,45,"0.33 (0.24, 0.46)",2,6
"46",0.343027825632189,0.249431285090144,0.471745511455879,46,"0.34 (0.25, 0.47)",5,13
"47",0.35548620428162,0.256559301328723,0.492558409615555,47,"0.36 (0.26, 0.49)",1,6
"48",0.369549121218476,0.264514113812489,0.516292121524214,48,"0.37 (0.26, 0.52)",4,12
"49",0.384663489536381,0.2739113703358,0.540196633680841,49,"0.38 (0.27, 0.54)",3,4
