"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.295701331005999,0.223506568097202,0.391215694031384,1,"0.3 (0.22, 0.39)",5,36
"2",0.306854494565307,0.236577992210249,0.398006931901129,2,"0.31 (0.24, 0.4)",12,47
"3",0.318428329404472,0.250221351599314,0.40522761274862,3,"0.32 (0.25, 0.41)",6,35
"4",0.330438702261683,0.264395911906447,0.412978155240994,4,"0.33 (0.26, 0.41)",8,39
"5",0.342902078331384,0.279032611317135,0.421391015082264,5,"0.34 (0.28, 0.42)",5,25
"6",0.355835543836734,0.294025107102589,0.430639871218227,6,"0.36 (0.29, 0.43)",6,24
"7",0.36925682945326,0.309221181856754,0.440948466981275,7,"0.37 (0.31, 0.44)",20,29
"8",0.383184334616192,0.324418542791383,0.452595073733727,8,"0.38 (0.32, 0.45)",16,16
"9",0.397637152744489,0.339371941901671,0.465905650174687,9,"0.4 (0.34, 0.47)",15,30
"10",0.412635097416301,0.353819018126231,0.481228297227974,10,"0.41 (0.35, 0.48)",16,22
"11",0.428198729531595,0.367525149317898,0.498888721799759,11,"0.43 (0.37, 0.5)",18,24
"12",0.444349385499565,0.380332373827142,0.519141650780374,12,"0.44 (0.38, 0.52)",18,25
"13",0.461109206488808,0.392187245344156,0.542143332892318,13,"0.46 (0.39, 0.54)",13,22
"14",0.478501168781175,0.403133305414804,0.567959445299017,14,"0.48 (0.4, 0.57)",14,19
"15",0.496088020518179,0.412999849784487,0.595892042648605,15,"0.5 (0.41, 0.6)",9,25
"16",0.511462316718995,0.420530871492945,0.622055880213659,16,"0.51 (0.42, 0.62)",9,24
"17",0.521467050746383,0.424154432116766,0.641105843588761,17,"0.52 (0.42, 0.64)",10,26
"18",0.522850583939848,0.422193346355152,0.647506019425225,18,"0.52 (0.42, 0.65)",6,23
"19",0.512678353667182,0.41283978668017,0.636661249228179,19,"0.51 (0.41, 0.64)",7,17
"20",0.488886661058271,0.394140394076179,0.606408708554012,20,"0.49 (0.39, 0.61)",5,20
"21",0.450864854673889,0.364010391531362,0.558443170605456,21,"0.45 (0.36, 0.56)",9,25
"22",0.401188911244273,0.321780213464704,0.500194032356251,22,"0.4 (0.32, 0.5)",6,21
"23",0.348133580202916,0.272996357055349,0.443950941222002,23,"0.35 (0.27, 0.44)",4,19
"24",0.298729199583011,0.225699451869147,0.395389239736589,24,"0.3 (0.23, 0.4)",5,16
"25",0.257030406127767,0.185980218867176,0.355223959174858,25,"0.26 (0.19, 0.36)",4,13
"26",0.224857150773855,0.156449362235304,0.323176378169515,26,"0.22 (0.16, 0.32)",2,15
"27",0.202807766868206,0.137414488987341,0.299320621902233,27,"0.2 (0.14, 0.3)",3,20
"28",0.191231066390433,0.128561204789148,0.284450669335274,28,"0.19 (0.13, 0.28)",6,13
"29",0.190259234790253,0.129272090010521,0.280018497573811,29,"0.19 (0.13, 0.28)",3,16
"30",0.197866609974002,0.136658767661809,0.286488719402854,30,"0.2 (0.14, 0.29)",2,11
"31",0.212100615245964,0.147648670208422,0.304687275030741,31,"0.21 (0.15, 0.3)",3,14
"32",0.231077239344799,0.159579545422152,0.334608614167672,32,"0.23 (0.16, 0.33)",1,17
"33",0.25230242151467,0.170774061805211,0.37275281286437,33,"0.25 (0.17, 0.37)",3,8
"34",0.27223117173894,0.180531174143789,0.410509770502735,34,"0.27 (0.18, 0.41)",4,11
"35",0.286226375269053,0.18824568019397,0.435205407185144,35,"0.29 (0.19, 0.44)",5,17
"36",0.290284596275864,0.192638470320226,0.437426370210303,36,"0.29 (0.19, 0.44)",4,14
"37",0.285498639271317,0.192253385435211,0.423968986768467,37,"0.29 (0.19, 0.42)",3,13
"38",0.27482546640432,0.185907893932439,0.406271274375259,38,"0.27 (0.19, 0.41)",2,10
"39",0.261330411130734,0.174288505247768,0.391842156685391,39,"0.26 (0.17, 0.39)",4,8
"40",0.247747992722346,0.160568124052734,0.382261848421382,40,"0.25 (0.16, 0.38)",2,10
"41",0.23633319145635,0.148727147196378,0.375542585444708,41,"0.24 (0.15, 0.38)",1,6
"42",0.228950104055055,0.141881924827265,0.36944910502615,42,"0.23 (0.14, 0.37)",1,8
"43",0.226807973379516,0.141394928733747,0.363816844417316,43,"0.23 (0.14, 0.36)",2,12
"44",0.229217331481856,0.145298761822192,0.361603804414789,44,"0.23 (0.15, 0.36)",4,16
"45",0.235218345777761,0.150844143465778,0.366786995631545,45,"0.24 (0.15, 0.37)",2,3
"46",0.243945313379204,0.155790963304024,0.381981821394522,46,"0.24 (0.16, 0.38)",1,9
"47",0.254492072481976,0.159440999365509,0.406208034407128,47,"0.25 (0.16, 0.41)",1,3
"48",0.265814993091488,0.162796400161022,0.434024403993827,48,"0.27 (0.16, 0.43)",3,7
"49",0.276675731671415,0.167572648537921,0.456813574075545,49,"0.28 (0.17, 0.46)",0,7
"50",0.286000607816657,0.174854996437062,0.467795312334349,50,"0.29 (0.17, 0.47)",5,6
"51",0.294106720215848,0.1835966306934,0.471134805412486,51,"0.29 (0.18, 0.47)",1,7
"52",0.301771223457763,0.191541380746887,0.475437061965919,52,"0.3 (0.19, 0.48)",3,3
"53",0.309869166061657,0.196701335846814,0.488145643050051,53,"0.31 (0.2, 0.49)",3,6
"54",0.319373845735677,0.199133771400267,0.512216750693546,54,"0.32 (0.2, 0.51)",2,10
"55",0.331385542857603,0.201454402583315,0.545117786490726,55,"0.33 (0.2, 0.55)",0,6
"56",0.347195249061067,0.20767510553414,0.580447717411946,56,"0.35 (0.21, 0.58)",1,4
"57",0.368011615151794,0.22152113813481,0.611375284665668,57,"0.37 (0.22, 0.61)",1,3
"58",0.393761584477144,0.243530095656342,0.636669504818606,58,"0.39 (0.24, 0.64)",2,3
"59",0.423910824532565,0.272507102562182,0.659433774262359,59,"0.42 (0.27, 0.66)",2,10
"60",0.457688807726273,0.305656320658666,0.685341772964111,60,"0.46 (0.31, 0.69)",3,3
"61",0.493976149867074,0.338374853274745,0.721130528099177,61,"0.49 (0.34, 0.72)",4,2
"62",0.53121074464192,0.365897923948937,0.771211960367402,62,"0.53 (0.37, 0.77)",1,1
"63",0.56733317677819,0.38632645497405,0.833147534498648,63,"0.57 (0.39, 0.83)",1,2
"64",0.60026898027954,0.40146068422281,0.897529603386667,64,"0.6 (0.4, 0.9)",4,7
"65",0.629620037173739,0.414243779541884,0.956976087001395,65,"0.63 (0.41, 0.96)",2,3
"66",0.65563975559304,0.426395096827523,1.00813422178722,66,"0.66 (0.43, 1.01)",3,6
"67",0.678789785602681,0.438638276778791,1.05042263165487,67,"0.68 (0.44, 1.05)",0,0
"68",0.699709510523784,0.451146814813401,1.0852196735999,68,"0.7 (0.45, 1.09)",0,3
"69",0.719187110507324,0.463821412173244,1.11514925000203,69,"0.72 (0.46, 1.12)",0,0
"70",0.738136758749217,0.476468387878658,1.14350896822887,70,"0.74 (0.48, 1.14)",1,4
"71",0.757402803539303,0.488932057019378,1.1732898233475,71,"0.76 (0.49, 1.17)",0,2
"72",0.777171709726488,0.501159269292612,1.20519743604011,72,"0.78 (0.5, 1.21)",2,3
"73",0.797456602453491,0.513120525882817,1.23935216137095,73,"0.8 (0.51, 1.24)",1,1
"74",0.818270949441222,0.52479113741344,1.27587396006641,74,"0.82 (0.52, 1.28)",1,1
"75",0.839628569930119,0.536151497058346,1.31488234073919,75,"0.84 (0.54, 1.31)",0,3
"76",0.861543643855762,0.547187134597571,1.35649653169232,76,"0.86 (0.55, 1.36)",1,0
"77",0.884030721262849,0.557888568855548,1.40083586537667,77,"0.88 (0.56, 1.4)",0,0
"78",0.907104731965746,0.56825099047078,1.44802034409645,78,"0.91 (0.57, 1.45)",0,0
"79",0.930780995460477,0.578273815928467,1.49817134659538,79,"0.93 (0.58, 1.5)",2,1
"80",0.955075231095905,0.587960156977589,1.55141243199523,80,"0.96 (0.59, 1.55)",1,0
"81",0.980003568510283,0.59731624767029,1.60787019947768,81,"0.98 (0.6, 1.61)",0,0
"82",1.00558255834037,0.606350865708408,1.66767516767206,82,"1.01 (0.61, 1.67)",1,2
"83",1.03182918320954,0.615074777112312,1.73096264542232,83,"1.03 (0.62, 1.73)",1,1
"84",1.05876086900318,0.623500224919158,1.79787357394732,84,"1.06 (0.62, 1.8)",0,0
"85",1.08639549643809,0.631640474760326,1.86855532829623,85,"1.09 (0.63, 1.87)",1,0
"86",1.11475141293468,0.639509423460586,1.94316247275196,86,"1.11 (0.64, 1.94)",0,0
"87",1.1438474447969,0.647121271560614,2.02185747010458,87,"1.14 (0.65, 2.02)",1,0
"88",1.17370290971333,0.654490256925829,2.10481134851433,88,"1.17 (0.65, 2.1)",0,0
