"","vacc","z.yr","pyears","event","Rate","RR_est"
"1","uv","-1+ thru  13",59098.1,1476,25,NA
"2","vacc","-1+ thru  13",59143.7,834,14,"0.56 (0.52, 0.62)"
"3","uv","13+ thru  20",20924.3,275,13,NA
"4","vacc","13+ thru  20",20973.2,171,8,"0.62 (0.51, 0.75)"
"5","uv","20+ thru  27",16611.1,180,11,NA
"6","vacc","20+ thru  27",16669.5,78,5,"0.43 (0.33, 0.56)"
"7","uv","27+ thru  34",13864.4,117,8,NA
"8","vacc","27+ thru  34",13929.7,31,2,"0.26 (0.18, 0.39)"
"9","uv","34+ thru  41",11476.9,69,6,NA
"10","vacc","34+ thru  41",11545.3,35,3,"0.5 (0.34, 0.76)"
"11","uv","41+ thru  48",9499.3,47,5,NA
"12","vacc","41+ thru  48",9567.1,15,2,"0.32 (0.18, 0.57)"
"13","uv","48+ thru  55",7607.8,21,3,NA
"14","vacc","48+ thru  55",7669.7,5,1,"0.24 (0.09, 0.63)"
"15","uv","55+ thru  62",5088.4,24,5,NA
"16","vacc","55+ thru  62",5132.5,4,1,"0.16 (0.06, 0.48)"
"17","uv","62+ thru  69",2965.9,11,4,NA
"18","vacc","62+ thru  69",2991.9,1,0,"0.09 (0.01, 0.7)"
"19","uv","69+ thru  76",1197.5,7,6,NA
"20","vacc","69+ thru  76",1207.8,3,2,"0.42 (0.11, 1.64)"
"21","uv","76+ thru  83",395.4,1,3,NA
"22","vacc","76+ thru  83",397.7,0,0,"0 (0, Inf)"
"23","uv","83+ thru 120",263.4,0,0,NA
"24","vacc","83+ thru 120",262.3,0,0,"1 (0, Inf)"
