"vacc","z.yr","vacc_type","pyears","event","Rate","RR_est"
"uv","-1+ thru  13","AZ",44675,670,15,NA
"vacc","-1+ thru  13","AZ",44707.5,326,7,"0.49 (0.43, 0.56)"
"uv","13+ thru  20","AZ",18776.5,154,8,NA
"vacc","13+ thru  20","AZ",18811.5,112,6,"0.73 (0.57, 0.93)"
"uv","20+ thru  27","AZ",17136.4,101,6,NA
"vacc","20+ thru  27","AZ",17177.3,64,4,"0.63 (0.46, 0.86)"
"uv","27+ thru  34","AZ",15345,83,5,NA
"vacc","27+ thru  34","AZ",15389.8,37,2,"0.44 (0.30, 0.66)"
"uv","34+ thru  41","AZ",13190.5,45,3,NA
"vacc","34+ thru  41","AZ",13237.1,26,2,"0.58 (0.36, 0.93)"
"uv","41+ thru  48","AZ",10866.9,37,3,NA
"vacc","41+ thru  48","AZ",10913.1,14,1,"0.38 (0.20, 0.70)"
"uv","48+ thru  55","AZ",9282.5,13,1,NA
"vacc","48+ thru  55","AZ",9328.7,13,1,"1.00 (0.46, 2.15)"
"uv","55+ thru  62","AZ",7037.8,23,3,NA
"vacc","55+ thru  62","AZ",7079.3,10,1,"0.43 (0.21, 0.91)"
"uv","62+ thru  69","AZ",4496.7,11,2,NA
"vacc","62+ thru  69","AZ",4525.5,8,2,"0.72 (0.29, 1.80)"
"uv","69+ thru 142","AZ",3332.9,1,0,NA
"vacc","69+ thru 142","AZ",3313.3,4,1,"4.02 (0.45, 36.00)"
"uv","-1+ thru  13","PB",22995.9,322,14,NA
"vacc","-1+ thru  13","PB",23009.2,121,5,"0.38 (0.30, 0.46)"
"uv","13+ thru  20","PB",10469.7,100,10,NA
"vacc","13+ thru  20","PB",10484.5,52,5,"0.52 (0.37, 0.73)"
"uv","20+ thru  27","PB",9955,89,9,NA
"vacc","20+ thru  27","PB",9973.7,30,3,"0.34 (0.22, 0.51)"
"uv","27+ thru  34","PB",9748.5,53,5,NA
"vacc","27+ thru  34","PB",9770.4,19,2,"0.36 (0.21, 0.60)"
"uv","34+ thru  41","PB",9591.8,60,6,NA
"vacc","34+ thru  41","PB",9615.5,18,2,"0.30 (0.18, 0.51)"
"uv","41+ thru  48","PB",9381.6,56,6,NA
"vacc","41+ thru  48","PB",9406.1,13,1,"0.23 (0.13, 0.42)"
"uv","48+ thru  55","PB",9038.6,35,4,NA
"vacc","48+ thru  55","PB",9063.4,10,1,"0.28 (0.14, 0.57)"
"uv","55+ thru  62","PB",8047.1,26,3,NA
"vacc","55+ thru  62","PB",8068.9,11,1,"0.42 (0.21, 0.85)"
"uv","62+ thru  69","PB",6100.9,10,2,NA
"vacc","62+ thru  69","PB",6116.8,7,1,"0.70 (0.27, 1.83)"
"uv","69+ thru 142","PB",5632.9,10,2,NA
"vacc","69+ thru 142","PB",5582.8,10,2,"1.01 (0.42, 2.42)"
