"vacc_type","Subgroup","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"AZ","18-64",1,1424646,1,1424642,0
"AZ","18-64",2,1306904,0,1306908,0
"AZ","18-64",3,1225963,2,1225983,0
"AZ","18-64",4,1167217,0,1167249,0
"AZ","18-64",5,1123538,0,1123584,0
"AZ","18-64",6,1089849,0,1089904,0
"AZ","18-64",7,1062176,1,1062246,0
"AZ","18-64",8,1038058,2,1038144,0
"AZ","18-64",9,1018758,3,1018865,0
"AZ","18-64",10,1003338,0,1003454,0
"AZ","18-64",11,989624,1,989757,1
"AZ","18-64",12,976784,0,976928,1
"AZ","18-64",13,965691,0,965840,1
"AZ","18-64",14,956011,1,956168,0
"AZ","18-64",15,946878,2,947048,0
"AZ","18-64",16,939399,0,939582,0
"AZ","18-64",17,932750,1,932940,0
"AZ","18-64",18,926892,0,927091,0
"AZ","18-64",19,921251,0,921450,0
"AZ","18-64",20,916247,0,916451,0
"AZ","18-64",21,911583,2,911790,0
"AZ","18-64",22,907636,2,907851,0
"AZ","18-64",23,904366,0,904583,0
"AZ","18-64",24,901295,1,901516,0
"AZ","18-64",25,899018,0,899247,1
"AZ","18-64",26,896646,2,896887,0
"AZ","18-64",27,894284,0,894521,0
"AZ","18-64",28,892239,4,892478,1
"AZ","18-64",29,889713,0,889950,3
"AZ","18-64",30,887634,0,887866,0
"AZ","18-64",31,884865,0,885100,0
"AZ","18-64",32,879118,0,879360,0
"AZ","18-64",33,872876,0,873117,1
"AZ","18-64",34,865970,0,866210,0
"AZ","18-64",35,858957,0,859202,0
"AZ","18-64",36,852437,0,852679,1
"AZ","18-64",37,846972,0,847220,1
"AZ","18-64",38,842239,0,842489,0
"AZ","18-64",39,837741,0,837994,0
"AZ","18-64",40,833126,0,833373,0
"AZ","18-64",41,828756,0,829006,1
"AZ","18-64",42,824404,0,824656,0
"AZ","18-64",43,819118,1,819375,0
"AZ","18-64",44,815400,1,815654,1
"AZ","18-64",45,812209,0,812473,0
"AZ","18-64",46,805121,0,805385,0
"AZ","18-64",47,798187,0,798444,0
"AZ","18-64",48,791181,0,791432,0
"AZ","18-64",49,783638,0,783887,0
"AZ","18-64",50,775603,0,775856,0
"AZ","18-64",51,768930,0,769183,0
"AZ","18-64",52,762988,0,763241,0
"AZ","18-64",53,758467,0,758723,0
"AZ","18-64",54,750743,1,750992,0
"AZ","18-64",55,743485,0,743731,0
"AZ","18-64",56,734878,0,735118,0
"AZ","18-64",57,720315,0,720544,0
"AZ","18-64",58,711622,0,711842,0
"AZ","18-64",59,703355,0,703562,0
"AZ","18-64",60,697314,1,697512,0
"AZ","18-64",61,689754,0,689945,1
"AZ","18-64",62,680948,0,681131,0
"AZ","18-64",63,670064,0,670234,0
"AZ","18-64",64,649195,0,649343,0
"AZ","18-64",65,632119,0,632265,0
"AZ","18-64",66,616420,0,616555,1
"AZ","18-64",67,598755,0,598873,0
"AZ","18-64",68,578935,0,579032,0
"AZ","18-64",69,555978,0,556064,0
"AZ","18-64",70,516479,3,516524,1
"AZ","18-64",71,452903,0,452855,1
"AZ","18-64",72,415799,0,415688,0
"AZ","18-64",73,389621,0,389473,0
"AZ","18-64",74,360921,1,360732,0
"AZ","18-64",75,328931,0,328691,0
"AZ","18-64",76,296160,0,295887,1
"AZ","18-64",77,258946,0,258607,0
"AZ","18-64",78,205574,0,205158,0
"AZ","18-64",79,170427,0,169963,0
"AZ","18-64",80,148410,0,147903,0
"AZ","18-64",81,132694,0,132157,0
"AZ","18-64",82,117805,0,117242,0
"AZ","18-64",83,106299,0,105726,0
"AZ","18-64",84,96308,0,95722,0
"AZ","18-64",85,75828,0,75219,0
"AZ","18-64",86,67426,0,66810,0
"AZ","18-64",87,62240,0,61620,0
"AZ","18-64",88,57790,0,57159,0
"AZ","18-64",89,53846,0,53210,0
"AZ","18-64",90,50151,0,49510,0
"PB","18-64",1,1054585,0,1054585,0
"PB","18-64",2,1010693,0,1010705,0
"PB","18-64",3,977533,0,977559,0
"PB","18-64",4,948179,2,948206,0
"PB","18-64",5,921182,2,921218,0
"PB","18-64",6,898075,0,898121,0
"PB","18-64",7,877701,0,877748,0
"PB","18-64",8,858720,0,858778,1
"PB","18-64",9,841713,0,841778,0
"PB","18-64",10,825783,0,825859,0
"PB","18-64",11,810132,1,810216,1
"PB","18-64",12,795551,2,795642,1
"PB","18-64",13,780579,0,780676,0
"PB","18-64",14,765134,0,765241,0
"PB","18-64",15,751637,0,751748,0
"PB","18-64",16,738476,1,738592,0
"PB","18-64",17,727423,0,727542,0
"PB","18-64",18,714912,0,715041,0
"PB","18-64",19,701915,1,702043,1
"PB","18-64",20,690966,1,691099,0
"PB","18-64",21,680073,1,680210,0
"PB","18-64",22,667434,0,667570,0
"PB","18-64",23,653084,0,653230,0
"PB","18-64",24,639576,1,639727,0
"PB","18-64",25,624766,0,624914,0
"PB","18-64",26,608914,3,609067,0
"PB","18-64",27,594240,0,594401,0
"PB","18-64",28,580094,1,580254,0
"PB","18-64",29,567105,0,567268,1
"PB","18-64",30,556053,2,556218,1
"PB","18-64",31,547724,0,547899,0
"PB","18-64",32,540019,2,540197,0
"PB","18-64",33,532515,2,532697,1
"PB","18-64",34,525028,0,525210,0
"PB","18-64",35,517244,2,517431,0
"PB","18-64",36,509551,0,509741,0
"PB","18-64",37,503042,1,503229,1
"PB","18-64",38,497472,1,497660,0
"PB","18-64",39,494263,0,494447,0
"PB","18-64",40,489962,0,490149,1
"PB","18-64",41,485222,0,485411,0
"PB","18-64",42,480237,1,480430,0
"PB","18-64",43,476485,0,476679,0
"PB","18-64",44,472201,0,472394,0
"PB","18-64",45,468922,1,469117,0
"PB","18-64",46,465152,0,465346,0
"PB","18-64",47,461353,0,461551,0
"PB","18-64",48,457057,0,457258,0
"PB","18-64",49,452217,0,452415,0
"PB","18-64",50,444697,1,444891,0
"PB","18-64",51,437890,0,438086,0
"PB","18-64",52,430460,1,430655,0
"PB","18-64",53,424929,0,425123,0
"PB","18-64",54,414398,0,414589,0
"PB","18-64",55,403371,0,403563,0
"PB","18-64",56,391775,0,391969,0
"PB","18-64",57,360960,0,361146,0
"PB","18-64",58,345331,1,345517,0
"PB","18-64",59,336796,0,336981,0
"PB","18-64",60,327859,0,328039,0
"PB","18-64",61,317857,0,318033,0
"PB","18-64",62,306774,0,306942,0
"PB","18-64",63,294557,0,294717,0
"PB","18-64",64,272213,0,272356,0
"PB","18-64",65,259866,0,259998,0
"PB","18-64",66,251047,0,251182,0
"PB","18-64",67,240962,0,241087,0
"PB","18-64",68,229469,0,229584,0
"PB","18-64",69,218939,0,219043,0
"PB","18-64",70,205598,0,205691,0
"PB","18-64",71,160780,0,160831,0
"PB","18-64",72,144970,0,145004,0
"PB","18-64",73,132160,1,132175,0
"PB","18-64",74,118872,0,118868,0
"PB","18-64",75,107360,0,107343,0
"PB","18-64",76,96329,0,96303,0
"PB","18-64",77,84374,0,84337,0
"PB","18-64",78,63979,0,63912,0
"PB","18-64",79,55462,0,55387,0
"PB","18-64",80,50803,0,50722,0
"PB","18-64",81,46837,0,46746,0
"PB","18-64",82,43920,0,43826,0
"PB","18-64",83,40781,0,40680,0
"PB","18-64",84,37453,0,37345,0
"PB","18-64",85,20680,0,20557,0
"PB","18-64",86,18700,0,18574,0
