"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"All",1,3376951,21,3376937,0
"All",2,3092682,25,3092872,1
"All",3,2889631,17,2890025,0
"All",4,2736869,18,2737400,0
"All",5,2618892,15,2619597,0
"All",6,2526406,19,2527263,2
"All",7,2448522,20,2449520,6
"All",8,2378987,21,2380104,3
"All",9,2323805,18,2325082,3
"All",10,2277474,23,2278892,5
"All",11,2236121,19,2237675,2
"All",12,2198739,24,2200408,4
"All",13,2163945,13,2165738,10
"All",14,2131038,15,2132922,5
"All",15,2101475,20,2103452,8
"All",16,2075790,12,2077863,4
"All",17,2053839,25,2055980,5
"All",18,2032067,14,2034303,8
"All",19,2010473,20,2012771,10
"All",20,1991970,16,1994325,8
"All",21,1974255,19,1976645,7
"All",22,1955501,21,1957982,4
"All",23,1936447,10,1939002,9
"All",24,1918687,16,1921309,6
"All",25,1900770,15,1903464,4
"All",26,1881862,14,1884623,5
"All",27,1864324,3,1867153,5
"All",28,1847718,15,1850586,11
"All",29,1831687,6,1834606,10
"All",30,1818181,12,1821137,5
"All",31,1806728,7,1809744,1
"All",32,1792940,11,1795996,7
"All",33,1778907,11,1782010,6
"All",34,1764259,4,1767367,2
"All",35,1749144,8,1752277,0
"All",36,1733908,11,1737068,4
"All",37,1721588,8,1724772,3
"All",38,1710874,9,1714083,2
"All",39,1702861,8,1706101,4
"All",40,1693677,9,1696933,2
"All",41,1684212,6,1687497,2
"All",42,1674190,9,1677514,3
"All",43,1663893,8,1667219,0
"All",44,1655386,8,1658729,4
"All",45,1648414,10,1651786,1
"All",46,1637118,5,1640508,6
"All",47,1625807,12,1629215,2
"All",48,1613866,6,1617283,3
"All",49,1600699,2,1604126,3
"All",50,1583289,3,1586703,3
"All",51,1568688,8,1572121,2
"All",52,1554242,3,1557679,3
"All",53,1542570,5,1546019,1
"All",54,1522782,2,1526213,0
"All",55,1502370,4,1505785,1
"All",56,1479295,2,1482675,2
"All",57,1426858,0,1430107,0
"All",58,1397332,6,1400512,0
"All",59,1375742,2,1378849,2
"All",60,1356748,1,1359778,1
"All",61,1333864,1,1336815,1
"All",62,1307182,2,1310016,0
"All",63,1275942,0,1278639,1
"All",64,1219052,3,1221489,1
"All",65,1182193,6,1184490,0
"All",66,1151543,1,1153752,2
"All",67,1116706,2,1118794,0
"All",68,1077940,0,1079900,2
"All",69,1037222,0,1039065,0
"All",70,975160,5,976779,3
"All",71,837410,1,838385,1
"All",72,771379,0,772046,0
"All",73,720760,2,721174,1
"All",74,667834,3,668006,2
"All",75,612652,0,612622,0
"All",76,554192,0,553954,3
"All",77,484940,0,484365,0
"All",78,364092,0,362779,2
"All",79,306508,0,304956,0
"All",80,267643,0,265871,1
"All",81,239077,0,237139,0
"All",82,215327,0,213238,0
"All",83,195005,0,192785,1
"All",84,175417,0,173037,1
"All",85,118419,0,115464,0
"All",86,105524,1,102499,0
"All",87,98005,0,94946,0
"All",88,91838,0,88725,0
"All",89,86606,0,83456,0
"All",90,81686,0,78510,0
"AZ",1,1979014,17,1979002,0
"AZ",2,1789441,19,1789582,1
"AZ",3,1655211,15,1655500,0
"AZ",4,1556726,14,1557124,0
"AZ",5,1482096,7,1482632,0
"AZ",6,1423678,16,1424307,2
"AZ",7,1374666,11,1375404,4
"AZ",8,1331153,18,1331982,1
"AZ",9,1297953,16,1298900,1
"AZ",10,1271522,18,1272565,3
"AZ",11,1248835,16,1249976,1
"AZ",12,1228576,19,1229786,2
"AZ",13,1210766,10,1212062,4
"AZ",14,1195657,14,1197020,2
"AZ",15,1181377,17,1182811,5
"AZ",16,1170235,7,1171742,1
"AZ",17,1160555,18,1162106,3
"AZ",18,1152287,13,1153909,3
"AZ",19,1144600,15,1146266,4
"AZ",20,1137925,12,1139637,3
"AZ",21,1131911,17,1133651,3
"AZ",22,1126696,16,1128496,0
"AZ",23,1122629,7,1124476,3
"AZ",24,1118885,13,1120775,2
"AZ",25,1116182,11,1118141,4
"AZ",26,1113450,11,1115445,4
"AZ",27,1110822,1,1112854,2
"AZ",28,1108555,10,1110613,5
"AZ",29,1105753,6,1107848,6
"AZ",30,1103465,10,1105592,1
"AZ",31,1100505,2,1102675,1
"AZ",32,1094588,6,1096777,1
"AZ",33,1088176,3,1090392,4
"AZ",34,1081116,4,1083334,1
"AZ",35,1073913,5,1076145,0
"AZ",36,1067157,11,1069408,3
"AZ",37,1061484,6,1063760,1
"AZ",38,1056543,4,1058843,1
"AZ",39,1051893,1,1054222,1
"AZ",40,1047108,4,1049442,0
"AZ",41,1042535,3,1044885,1
"AZ",42,1037930,4,1040303,1
"AZ",43,1031914,6,1034292,0
"AZ",44,1027871,7,1030264,2
"AZ",45,1024314,2,1026729,1
"AZ",46,1016927,3,1019357,2
"AZ",47,1009606,6,1012041,0
"AZ",48,1002146,5,1004590,1
"AZ",49,994135,1,996592,1
"AZ",50,984804,2,987256,1
"AZ",51,977331,2,979799,1
"AZ",52,970756,2,973226,3
"AZ",53,965336,2,967817,0
"AZ",54,956687,2,959156,0
"AZ",55,948179,1,950636,0
"AZ",56,938054,1,940481,1
"AZ",57,919411,0,921742,0
"AZ",58,908319,4,910600,0
"AZ",59,897533,1,899761,1
"AZ",60,889003,1,891178,0
"AZ",61,877666,1,879790,1
"AZ",62,864842,1,866884,0
"AZ",63,848678,0,850620,1
"AZ",64,817930,2,819678,1
"AZ",65,795997,1,797659,0
"AZ",66,776431,0,778019,2
"AZ",67,754544,1,756045,0
"AZ",68,730389,0,731794,0
"AZ",69,702049,0,703368,0
"AZ",70,655973,4,657102,3
"AZ",71,570958,1,571553,1
"AZ",72,525361,0,525697,0
"AZ",73,491915,1,492048,1
"AZ",74,456917,2,456878,2
"AZ",75,419009,0,418817,0
"AZ",76,379810,0,379472,3
"AZ",77,333290,0,332707,0
"AZ",78,253805,0,252747,1
"AZ",79,214435,0,213219,0
"AZ",80,189588,0,188256,1
"AZ",81,171612,0,170187,0
"AZ",82,154150,0,152614,0
"AZ",83,139695,0,138071,1
"AZ",84,127015,0,125297,0
"AZ",85,90208,0,87995,0
"AZ",86,80338,1,78078,0
"AZ",87,74383,0,72102,0
"AZ",88,69084,0,66765,0
"AZ",89,64659,0,62309,0
"AZ",90,60498,0,58125,0
"PB",1,1397937,4,1397935,0
"PB",2,1303241,6,1303290,0
"PB",3,1234420,2,1234525,0
"PB",4,1180143,4,1180276,0
"PB",5,1136796,8,1136965,0
"PB",6,1102728,3,1102956,0
"PB",7,1073856,9,1074116,2
"PB",8,1047834,3,1048122,2
"PB",9,1025852,2,1026182,2
"PB",10,1005952,5,1006327,2
"PB",11,987286,3,987699,1
"PB",12,970163,5,970622,2
"PB",13,953179,3,953676,6
"PB",14,935381,1,935902,3
"PB",15,920098,3,920641,3
"PB",16,905555,5,906121,3
"PB",17,893284,7,893874,2
"PB",18,879780,1,880394,5
"PB",19,865873,5,866505,6
"PB",20,854045,4,854688,5
"PB",21,842344,2,842994,4
"PB",22,828805,5,829486,4
"PB",23,813818,3,814526,6
"PB",24,799802,3,800534,4
"PB",25,784588,4,785323,0
"PB",26,768412,3,769178,1
"PB",27,753502,2,754299,3
"PB",28,739163,5,739973,6
"PB",29,725934,0,726758,4
"PB",30,714716,2,715545,4
"PB",31,706223,5,707069,0
"PB",32,698352,5,699219,6
"PB",33,690731,8,691618,2
"PB",34,683143,0,684033,1
"PB",35,675231,3,676132,0
"PB",36,666751,0,667660,1
"PB",37,660104,2,661012,2
"PB",38,654331,5,655240,1
"PB",39,650968,7,651879,3
"PB",40,646569,5,647491,2
"PB",41,641677,3,642612,1
"PB",42,636260,5,637211,2
"PB",43,631979,2,632927,0
"PB",44,627515,1,628465,2
"PB",45,624100,8,625057,0
"PB",46,620191,2,621151,4
"PB",47,616201,6,617174,2
"PB",48,611720,1,612693,2
"PB",49,606564,1,607534,2
"PB",50,598485,1,599447,2
"PB",51,591357,6,592322,1
"PB",52,583486,1,584453,0
"PB",53,577234,3,578202,1
"PB",54,566095,0,567057,0
"PB",55,554191,3,555149,1
"PB",56,541241,1,542194,1
"PB",57,507447,0,508365,0
"PB",58,489013,2,489912,0
"PB",59,478209,1,479088,1
"PB",60,467745,0,468600,1
"PB",61,456198,0,457025,0
"PB",62,442340,1,443132,0
"PB",63,427264,0,428019,0
"PB",64,401122,1,401811,0
"PB",65,386196,5,386831,0
"PB",66,375112,1,375733,0
"PB",67,362162,1,362749,0
"PB",68,347551,0,348106,2
"PB",69,335173,0,335697,0
"PB",70,319187,1,319677,0
"PB",71,266452,0,266832,0
"PB",72,246018,0,246349,0
"PB",73,228845,1,229126,0
"PB",74,210917,1,211128,0
"PB",75,193643,0,193805,0
"PB",76,174382,0,174482,0
"PB",77,151650,0,151658,0
"PB",78,110287,0,110032,1
"PB",79,92073,0,91737,0
"PB",80,78055,0,77615,0
"PB",81,67465,0,66952,0
"PB",82,61177,0,60624,0
"PB",83,55310,0,54714,0
"PB",84,48402,0,47740,1
"PB",85,28211,0,27469,0
"PB",86,25186,0,24421,0
"PB",87,23622,0,22844,0
"PB",88,22754,0,21960,0
"PB",89,21947,0,21147,0
"PB",90,21188,0,20385,0
