"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.285180855927411,0.195226403916699,0.416583612441032,1,"0.29 (0.2, 0.42)",2,13
"2",0.305533619534974,0.214257293823902,0.435694818132386,2,"0.31 (0.21, 0.44)",4,19
"3",0.327338917482937,0.234957570832379,0.456043048620652,3,"0.33 (0.23, 0.46)",2,14
"4",0.35070041412132,0.257408254860424,0.477804336661834,4,"0.35 (0.26, 0.48)",4,16
"5",0.375729172108829,0.281667578005091,0.501202203581394,5,"0.38 (0.28, 0.5)",2,13
"6",0.402544180414792,0.307758536996051,0.526522574377508,6,"0.4 (0.31, 0.53)",3,15
"7",0.431272920003336,0.335653607448615,0.554131781696039,7,"0.43 (0.34, 0.55)",10,10
"8",0.462051969889478,0.365258327430882,0.58449597680739,8,"0.46 (0.37, 0.58)",10,14
"9",0.495027656448025,0.396398173020777,0.618197553184936,9,"0.5 (0.4, 0.62)",6,15
"10",0.530356749062333,0.428816615275565,0.655940724440475,10,"0.53 (0.43, 0.66)",10,16
"11",0.568207205420021,0.462193915640369,0.698536733967837,11,"0.57 (0.46, 0.7)",8,4
"12",0.608758969999082,0.496191371132173,0.746864022864332,12,"0.61 (0.5, 0.75)",11,12
"13",0.652204829539944,0.53051213229903,0.801812274927318,13,"0.65 (0.53, 0.8)",7,12
"14",0.698751329571154,0.564955377913879,0.864233600855967,14,"0.7 (0.56, 0.86)",10,10
"15",0.748050943215668,0.599121361787105,0.934001438334118,15,"0.75 (0.6, 0.93)",6,10
"16",0.797184869130438,0.631407872258302,1.00648684232834,16,"0.8 (0.63, 1.01)",7,5
"17",0.841832345053559,0.659806403721878,1.07407520324264,17,"0.84 (0.66, 1.07)",8,13
"18",0.876900268734517,0.682032256369837,1.12744532846508,18,"0.88 (0.68, 1.13)",5,10
"19",0.896916836043085,0.695358110447438,1.15690001840907,19,"0.9 (0.7, 1.16)",7,5
"20",0.896707644238431,0.696440821942432,1.15456270497323,20,"0.9 (0.7, 1.15)",5,13
"21",0.872299523251559,0.681077487588076,1.11720982139569,21,"0.87 (0.68, 1.12)",6,8
"22",0.823682341393419,0.645353875035686,1.05128771325008,22,"0.82 (0.65, 1.05)",5,8
"23",0.759752791561715,0.591484433779933,0.975890947115914,23,"0.76 (0.59, 0.98)",3,12
"24",0.690376976020556,0.52706934564755,0.904283986452897,24,"0.69 (0.53, 0.9)",4,6
"25",0.623282246640755,0.462255978980459,0.840401804719477,25,"0.62 (0.46, 0.84)",4,10
"26",0.563833263866105,0.405530354643997,0.783931327954444,26,"0.56 (0.41, 0.78)",2,4
"27",0.515426955886378,0.361740903362683,0.734406710396091,27,"0.52 (0.36, 0.73)",3,4
"28",0.480194382141831,0.332855120043885,0.692753786122243,28,"0.48 (0.33, 0.69)",4,5
"29",0.458754720246776,0.318154673543758,0.661489240451948,29,"0.46 (0.32, 0.66)",1,4
"30",0.448049011482944,0.312299702429511,0.642805340924568,30,"0.45 (0.31, 0.64)",5,6
"31",0.444955914531146,0.310236518730671,0.63817685515008,31,"0.44 (0.31, 0.64)",4,8
"32",0.446909826030277,0.308745079621852,0.646903888628892,32,"0.45 (0.31, 0.65)",5,3
"33",0.451543149715512,0.306744633629429,0.66469366926667,33,"0.45 (0.31, 0.66)",1,5
"34",0.45647818131098,0.304725027536449,0.683804450515819,34,"0.46 (0.3, 0.68)",1,10
"35",0.459247898277688,0.303529782146734,0.69485317249862,35,"0.46 (0.3, 0.69)",2,4
"36",0.457896671648765,0.303064309237998,0.691831256653723,36,"0.46 (0.3, 0.69)",3,3
"37",0.452746278293684,0.301516112855534,0.679828320176686,37,"0.45 (0.3, 0.68)",3,6
"38",0.444738895750876,0.296778106835446,0.666466564878314,38,"0.44 (0.3, 0.67)",1,4
"39",0.434824382980387,0.287989273794189,0.656525298818573,39,"0.43 (0.29, 0.66)",5,2
"40",0.423913205907723,0.276300664623408,0.65038716569102,40,"0.42 (0.28, 0.65)",1,5
"41",0.412847836335427,0.264273449361055,0.644950661441517,41,"0.41 (0.26, 0.64)",1,4
"42",0.402391519243713,0.254544025548678,0.636113671928624,42,"0.4 (0.25, 0.64)",1,2
"43",0.393042632995143,0.248286136950737,0.622195476755135,43,"0.39 (0.25, 0.62)",3,8
"44",0.384513064388213,0.243617879158151,0.60689427720218,44,"0.38 (0.24, 0.61)",2,7
"45",0.376358966860233,0.238180098291869,0.594701542874195,45,"0.38 (0.24, 0.59)",0,2
"46",0.368173302053222,0.230646430552746,0.587702918358296,46,"0.37 (0.23, 0.59)",2,3
"47",0.359583954764219,0.221220883953758,0.58448650151359,47,"0.36 (0.22, 0.58)",1,3
"48",0.350255878597285,0.211223569715574,0.580802514876304,48,"0.35 (0.21, 0.58)",4,4
"49",0.339896590225695,0.20213399656509,0.571550031218285,49,"0.34 (0.2, 0.57)",1,2
"50",0.32848199026074,0.194590516089328,0.554499880539524,50,"0.33 (0.19, 0.55)",3,6
"51",0.31685375216999,0.187774202322802,0.534665033973146,51,"0.32 (0.19, 0.53)",0,6
"52",0.305953792132032,0.180743967006376,0.517902337048231,52,"0.31 (0.18, 0.52)",1,2
"53",0.296598999074726,0.173316967434298,0.507572729631781,53,"0.3 (0.17, 0.51)",1,5
"54",0.289512644305603,0.166302730735252,0.504005982597226,54,"0.29 (0.17, 0.5)",0,3
"55",0.285375420812122,0.161204752518796,0.505190631983383,55,"0.29 (0.16, 0.51)",0,5
"56",0.284894409591772,0.159751975421744,0.508067736892578,56,"0.28 (0.16, 0.51)",1,1
"57",0.288599684317715,0.163175732735728,0.510429929695352,57,"0.29 (0.16, 0.51)",0,1
"58",0.29601576597359,0.17064029224111,0.513509046158446,58,"0.3 (0.17, 0.51)",1,2
"59",0.306452008930628,0.180434113340411,0.520482696087739,59,"0.31 (0.18, 0.52)",3,4
"60",0.319198113243822,0.190500970736211,0.534839455697582,60,"0.32 (0.19, 0.53)",1,3
"61",0.333449403124489,0.198957977796386,0.558854214722008,61,"0.33 (0.2, 0.56)",1,4
"62",0.348251449043393,0.204888258921628,0.591927875219117,62,"0.35 (0.2, 0.59)",0,3
