"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"1","uv","-1+ thru  13","AZ","F",10190.3,154,15,NA
"2","vacc","-1+ thru  13","AZ","F",10254.1,70,7,"0.45 (0.34, 0.6)"
"3","uv","13+ thru  20","AZ","F",3714.4,21,6,NA
"4","vacc","13+ thru  20","AZ","F",3725.7,30,8,"1.42 (0.82, 2.49)"
"5","uv","20+ thru  27","AZ","F",3493.4,19,5,NA
"6","vacc","20+ thru  27","AZ","F",3498.2,16,5,"0.84 (0.43, 1.64)"
"7","uv","27+ thru  34","AZ","F",3427.5,22,6,NA
"8","vacc","27+ thru  34","AZ","F",3430.2,7,2,"0.32 (0.14, 0.74)"
"9","uv","34+ thru  41","AZ","F",3391,11,3,NA
"10","vacc","34+ thru  41","AZ","F",3392.8,8,2,"0.73 (0.29, 1.81)"
"11","uv","41+ thru  48","AZ","F",3359.5,5,1,NA
"12","vacc","41+ thru  48","AZ","F",3361,5,1,"1 (0.29, 3.45)"
"13","uv","48+ thru  55","AZ","F",3293.9,7,2,NA
"14","vacc","48+ thru  55","AZ","F",3294.7,3,1,"0.43 (0.11, 1.66)"
"15","uv","55+ thru  62","AZ","F",3077.4,6,2,NA
"16","vacc","55+ thru  62","AZ","F",3070.6,3,1,"0.5 (0.12, 2)"
"17","uv","62+ thru  69","AZ","F",2683.1,5,2,NA
"18","vacc","62+ thru  69","AZ","F",2671.8,4,1,"0.8 (0.22, 2.99)"
"19","uv","69+ thru 203","AZ","F",3457.3,4,1,NA
"20","vacc","69+ thru 203","AZ","F",3345.9,13,4,"3.36 (1.09, 10.3)"
"21","uv","-1+ thru  13","PB","F",10195.9,112,11,NA
"22","vacc","-1+ thru  13","PB","F",10446.7,45,4,"0.39 (0.28, 0.55)"
"23","uv","13+ thru  20","PB","F",4443.7,45,10,NA
"24","vacc","13+ thru  20","PB","F",4528.4,26,6,"0.57 (0.35, 0.92)"
"25","uv","20+ thru  27","PB","F",4198.7,34,8,NA
"26","vacc","20+ thru  27","PB","F",4267.4,19,4,"0.55 (0.31, 0.96)"
"27","uv","27+ thru  34","PB","F",3915.7,28,7,NA
"28","vacc","27+ thru  34","PB","F",3970.5,11,3,"0.39 (0.19, 0.78)"
"29","uv","34+ thru  41","PB","F",3780.6,23,6,NA
"30","vacc","34+ thru  41","PB","F",3830.7,7,2,"0.3 (0.13, 0.7)"
"31","uv","41+ thru  48","PB","F",3671,21,6,NA
"32","vacc","41+ thru  48","PB","F",3716.8,8,2,"0.38 (0.17, 0.85)"
"33","uv","48+ thru  55","PB","F",3510.1,20,6,NA
"34","vacc","48+ thru  55","PB","F",3549.7,5,1,"0.25 (0.09, 0.66)"
"35","uv","55+ thru  62","PB","F",3043,12,4,NA
"36","vacc","55+ thru  62","PB","F",3069.2,6,2,"0.5 (0.19, 1.32)"
"37","uv","62+ thru  69","PB","F",2392,10,4,NA
"38","vacc","62+ thru  69","PB","F",2411.3,2,1,"0.2 (0.04, 0.9)"
"39","uv","69+ thru 203","PB","F",2731.3,8,3,NA
"40","vacc","69+ thru 203","PB","F",2674.9,4,1,"0.51 (0.15, 1.7)"
"41","uv","-1+ thru  13","AZ","M",9839.3,152,15,NA
"42","vacc","-1+ thru  13","AZ","M",9777.7,72,7,"0.48 (0.36, 0.63)"
"43","uv","13+ thru  20","AZ","M",3544.9,31,9,NA
"44","vacc","13+ thru  20","AZ","M",3535.6,23,7,"0.74 (0.43, 1.28)"
"45","uv","20+ thru  27","AZ","M",3329.8,24,7,NA
"46","vacc","20+ thru  27","AZ","M",3326.9,9,3,"0.38 (0.17, 0.81)"
"47","uv","27+ thru  34","AZ","M",3261.8,15,5,NA
"48","vacc","27+ thru  34","AZ","M",3260.8,9,3,"0.6 (0.26, 1.37)"
"49","uv","34+ thru  41","AZ","M",3215.8,11,3,NA
"50","vacc","34+ thru  41","AZ","M",3215.6,10,3,"0.91 (0.39, 2.14)"
"51","uv","41+ thru  48","AZ","M",3178.7,14,4,NA
"52","vacc","41+ thru  48","AZ","M",3178.6,3,1,"0.21 (0.06, 0.75)"
"53","uv","48+ thru  55","AZ","M",3105.1,5,2,NA
"54","vacc","48+ thru  55","AZ","M",3105.5,3,1,"0.6 (0.14, 2.51)"
"55","uv","55+ thru  62","AZ","M",2875.6,4,1,NA
"56","vacc","55+ thru  62","AZ","M",2882.7,6,2,"1.5 (0.42, 5.3)"
"57","uv","62+ thru  69","AZ","M",2498.1,6,2,NA
"58","vacc","62+ thru  69","AZ","M",2508,3,1,"0.5 (0.12, 1.99)"
"59","uv","69+ thru 203","AZ","M",3088.3,9,3,NA
"60","vacc","69+ thru 203","AZ","M",3074.1,12,4,"1.34 (0.56, 3.18)"
"61","uv","-1+ thru  13","PB","M",7052.1,61,9,NA
"62","vacc","-1+ thru  13","PB","M",6802.3,34,5,"0.58 (0.38, 0.88)"
"63","uv","13+ thru  20","PB","M",2786.8,21,8,NA
"64","vacc","13+ thru  20","PB","M",2703,22,8,"1.08 (0.59, 1.96)"
"65","uv","20+ thru  27","PB","M",2558.8,18,7,NA
"66","vacc","20+ thru  27","PB","M",2491.2,8,3,"0.46 (0.2, 1.05)"
"67","uv","27+ thru  34","PB","M",2263,13,6,NA
"68","vacc","27+ thru  34","PB","M",2209.3,10,5,"0.79 (0.35, 1.8)"
"69","uv","34+ thru  41","PB","M",2144,5,2,NA
"70","vacc","34+ thru  41","PB","M",2095.2,9,4,"1.84 (0.62, 5.5)"
"71","uv","41+ thru  48","PB","M",2071,8,4,NA
"72","vacc","41+ thru  48","PB","M",2026.6,5,2,"0.64 (0.21, 1.95)"
"73","uv","48+ thru  55","PB","M",1971.8,9,5,NA
"74","vacc","48+ thru  55","PB","M",1933.6,1,1,"0.11 (0.01, 0.89)"
"75","uv","55+ thru  62","PB","M",1615.5,6,4,NA
"76","vacc","55+ thru  62","PB","M",1590,1,1,"0.17 (0.02, 1.41)"
"77","uv","62+ thru  69","PB","M",1268.6,3,2,NA
"78","vacc","62+ thru  69","PB","M",1248.4,2,2,"0.68 (0.11, 4.05)"
"79","uv","69+ thru 203","PB","M",1436.8,6,4,NA
"80","vacc","69+ thru 203","PB","M",1380.8,4,3,"0.69 (0.2, 2.46)"
"81","uv","-1+ thru  13","AZ","65+",4376.6,202,46,NA
"82","vacc","-1+ thru  13","AZ","65+",4378.5,77,18,"0.38 (0.29, 0.5)"
"83","uv","13+ thru  20","AZ","65+",1106.6,31,28,NA
"84","vacc","13+ thru  20","AZ","65+",1108.8,15,14,"0.48 (0.26, 0.9)"
"85","uv","20+ thru  27","AZ","65+",1018.9,15,15,NA
"86","vacc","20+ thru  27","AZ","65+",1021.3,16,16,"1.06 (0.53, 2.15)"
"87","uv","27+ thru  34","AZ","65+",1006.8,11,11,NA
"88","vacc","27+ thru  34","AZ","65+",1009.1,9,9,"0.82 (0.34, 1.97)"
"89","uv","34+ thru  41","AZ","65+",1003.1,9,9,NA
"90","vacc","34+ thru  41","AZ","65+",1005.5,5,5,"0.55 (0.19, 1.65)"
"91","uv","41+ thru  48","AZ","65+",993.5,8,8,NA
"92","vacc","41+ thru  48","AZ","65+",996.1,3,3,"0.37 (0.1, 1.41)"
"93","uv","48+ thru  55","AZ","65+",973.7,4,4,NA
"94","vacc","48+ thru  55","AZ","65+",976.2,2,2,"0.5 (0.09, 2.72)"
"95","uv","55+ thru  62","AZ","65+",919,1,1,NA
"96","vacc","55+ thru  62","AZ","65+",921.1,2,2,"2 (0.18, 22.01)"
"97","uv","62+ thru  69","AZ","65+",775.9,2,3,NA
"98","vacc","62+ thru  69","AZ","65+",776.7,2,3,"1 (0.14, 7.09)"
"99","uv","69+ thru 203","AZ","65+",949.7,3,3,NA
"100","vacc","69+ thru 203","AZ","65+",873.3,2,2,"0.72 (0.12, 4.34)"
"101","uv","-1+ thru  13","PB","65+",3157,72,23,NA
"102","vacc","-1+ thru  13","PB","65+",3157.1,31,10,"0.43 (0.28, 0.66)"
"103","uv","13+ thru  20","PB","65+",1149.4,22,19,NA
"104","vacc","13+ thru  20","PB","65+",1149.1,29,25,"1.32 (0.76, 2.29)"
"105","uv","20+ thru  27","PB","65+",1099.3,10,9,NA
"106","vacc","20+ thru  27","PB","65+",1098.8,12,11,"1.2 (0.52, 2.78)"
"107","uv","27+ thru  34","PB","65+",1081.7,6,6,NA
"108","vacc","27+ thru  34","PB","65+",1080.9,18,17,"3 (1.19, 7.56)"
"109","uv","34+ thru  41","PB","65+",1070.8,8,7,NA
"110","vacc","34+ thru  41","PB","65+",1069.7,9,8,"1.13 (0.43, 2.92)"
"111","uv","41+ thru  48","PB","65+",1060.7,7,7,NA
"112","vacc","41+ thru  48","PB","65+",1059.4,8,8,"1.14 (0.42, 3.15)"
"113","uv","48+ thru  55","PB","65+",1044.7,6,6,NA
"114","vacc","48+ thru  55","PB","65+",1043.3,1,1,"0.17 (0.02, 1.39)"
