"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"All",1,1650185,51,1650180,22
"All",2,1414961,49,1414964,15
"All",3,1260447,52,1260476,14
"All",4,1150087,55,1150136,23
"All",5,1069784,41,1069859,14
"All",6,1009350,37,1009446,13
"All",7,959431,29,959541,19
"All",8,915276,33,915392,16
"All",9,882241,32,882376,13
"All",10,856161,34,856310,26
"All",11,834424,16,834575,14
"All",12,815219,27,815363,17
"All",13,799013,23,799160,15
"All",14,784598,16,784752,21
"All",15,771907,22,772050,15
"All",16,761657,12,761810,17
"All",17,753385,22,753523,12
"All",18,746343,14,746490,11
"All",19,740130,13,740275,11
"All",20,734779,19,734929,14
"All",21,729985,12,730137,10
"All",22,724814,14,724960,7
"All",23,715757,23,715904,9
"All",24,708081,15,708240,6
"All",25,700709,16,700872,7
"All",26,693600,5,693774,6
"All",27,687776,10,687938,7
"All",28,682581,10,682734,6
"All",29,677235,8,677384,1
"All",30,673540,12,673692,9
"All",31,670793,14,670936,7
"All",32,667986,7,668130,9
"All",33,665439,8,665575,2
"All",34,662841,19,662979,3
"All",35,660293,6,660452,3
"All",36,657270,7,657429,10
"All",37,655310,8,655464,5
"All",38,653508,7,653660,3
"All",39,652031,6,652184,6
"All",40,650409,7,650553,5
"All",41,648613,9,648759,2
"All",42,646648,5,646801,4
"All",43,644248,10,644383,3
"All",44,642512,9,642657,4
"All",45,640969,3,641105,1
"All",46,639049,9,639188,4
"All",47,637212,5,637344,1
"All",48,635090,7,635228,4
"All",49,632633,4,632774,1
"All",50,628548,8,628682,4
"All",51,625553,8,625676,0
"All",52,622470,3,622596,3
"All",53,618953,6,619079,3
"All",54,610071,5,610192,1
"All",55,601672,7,601792,0
"All",56,592097,2,592206,4
"All",57,571951,5,572038,1
"All",58,559752,2,559824,2
"All",59,550934,4,550989,4
"All",60,543121,5,543145,3
"All",61,534288,4,534299,2
"All",62,524053,6,524044,0
"All",63,511870,9,511842,0
"All",64,487413,4,487338,1
"All",65,472985,4,472880,4
"All",66,461181,1,461049,2
"All",67,447577,1,447427,2
"All",68,432108,1,431929,2
"All",69,416650,4,416439,0
"All",70,394544,2,394291,2
"All",71,333911,2,333529,6
"All",72,308531,1,308114,4
"All",73,289127,1,288662,0
"All",74,268462,4,267957,0
"All",75,246892,0,246342,0
"All",76,223795,1,223193,1
"All",77,194749,0,194080,0
"All",78,144487,2,143686,3
"All",79,121442,3,120580,0
"All",80,106470,0,105579,2
"All",81,95831,0,94916,2
"All",82,87139,0,86193,1
"All",83,79578,0,78613,2
"All",84,72228,1,71240,1
"All",85,47900,0,46802,0
"All",86,42464,0,41357,0
"All",87,39461,2,38346,2
"All",88,37067,1,35943,0
"All",89,35011,1,33880,0
"All",90,33055,1,31921,0
"AZ",1,939007,38,939003,20
"AZ",2,791638,30,791637,11
"AZ",3,695272,38,695288,12
"AZ",4,627643,39,627676,19
"AZ",5,577585,28,577637,12
"AZ",6,539579,22,539640,10
"AZ",7,508216,19,508286,9
"AZ",8,480544,19,480624,6
"AZ",9,459780,17,459876,7
"AZ",10,443447,18,443546,16
"AZ",11,429580,12,429676,6
"AZ",12,417056,15,417153,6
"AZ",13,406456,11,406554,8
"AZ",14,397183,6,397284,11
"AZ",15,388948,12,389043,9
"AZ",16,382361,7,382465,10
"AZ",17,377016,9,377114,4
"AZ",18,372542,4,372647,6
"AZ",19,368480,8,368582,4
"AZ",20,364946,6,365054,9
"AZ",21,361833,4,361937,4
"AZ",22,359251,6,359347,2
"AZ",23,357102,11,357197,6
"AZ",24,355312,9,355408,2
"AZ",25,353997,6,354100,3
"AZ",26,352808,1,352914,4
"AZ",27,351876,6,351976,4
"AZ",28,351116,5,351212,2
"AZ",29,350225,4,350317,0
"AZ",30,349671,6,349765,4
"AZ",31,349151,6,349240,3
"AZ",32,348397,4,348483,4
"AZ",33,347707,3,347788,1
"AZ",34,346997,9,347077,2
"AZ",35,346329,2,346422,1
"AZ",36,345601,4,345688,7
"AZ",37,345126,2,345212,2
"AZ",38,344643,3,344728,2
"AZ",39,344195,4,344278,1
"AZ",40,343816,2,343894,4
"AZ",41,343413,5,343489,1
"AZ",42,343013,3,343093,3
"AZ",43,342171,2,342242,0
"AZ",44,341784,2,341859,2
"AZ",45,341363,1,341431,1
"AZ",46,340589,6,340658,2
"AZ",47,339929,2,339994,0
"AZ",48,339241,3,339313,0
"AZ",49,338422,2,338496,0
"AZ",50,336969,2,337037,1
"AZ",51,335837,2,335895,0
"AZ",52,334854,1,334910,2
"AZ",53,333666,1,333723,2
"AZ",54,330191,2,330241,1
"AZ",55,327328,2,327376,0
"AZ",56,323693,1,323737,3
"AZ",57,317169,4,317205,1
"AZ",58,313408,0,313437,1
"AZ",59,309785,0,309802,1
"AZ",60,307014,2,307014,2
"AZ",61,303636,0,303624,1
"AZ",62,299647,3,299628,0
"AZ",63,294442,6,294409,0
"AZ",64,284097,2,284050,1
