"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Urban/Rural index: 2 Other Urban Areas","uv",0.376510026688757,0.234750401059427,-0.012428974367936,0.486012362142405,-0.0255733708359752,"Urban/Rural index","2 Other Urban Areas","PB","Matched"
"2","Urban/Rural index: 2 Other Urban Areas","vacc",0.388939001056693,0.237665631251054,-0.012428974367936,0.486012362142405,-0.0255733708359752,"Urban/Rural index","2 Other Urban Areas","PB","Matched"
"3","Urban/Rural index: 5 Accessible Rural","uv",0.0905967677527828,0.0823890546918773,0.00339242437875577,0.28459520353938,0.0119201741159575,"Urban/Rural index","5 Accessible Rural","PB","Matched"
"4","Urban/Rural index: 5 Accessible Rural","vacc",0.0872043433740271,0.0795998050633651,0.00339242437875577,0.28459520353938,0.0119201741159575,"Urban/Rural index","5 Accessible Rural","PB","Matched"
"5","Urban/Rural index: 3 Accessible Small Towns","uv",0.0982977644354647,0.0886353798559965,0.0048462143087136,0.29440940946172,0.0164607996652489,"Urban/Rural index","3 Accessible Small Towns","PB","Matched"
"6","Urban/Rural index: 3 Accessible Small Towns","vacc",0.0934515501267511,0.0847184209032008,0.0048462143087136,0.29440940946172,0.0164607996652489,"Urban/Rural index","3 Accessible Small Towns","PB","Matched"
"7","Urban/Rural index: 4 Remote Small Towns","uv",0.0480419940792453,0.0457339948934997,0.00103215366894192,0.212760362289469,0.00485124981850534,"Urban/Rural index","4 Remote Small Towns","PB","Matched"
"8","Urban/Rural index: 4 Remote Small Towns","vacc",0.0470098404103034,0.0447999486295923,0.00103215366894192,0.212760362289469,0.00485124981850534,"Urban/Rural index","4 Remote Small Towns","PB","Matched"
"9","Urban/Rural index: 1 Large Urban Areas","uv",0.325912188113724,0.219693597126989,0.00168208328468777,0.468400845436541,0.00359111923275908,"Urban/Rural index","1 Large Urban Areas","PB","Matched"
"10","Urban/Rural index: 1 Large Urban Areas","vacc",0.324230104829037,0.219105106884343,0.00168208328468777,0.468400845436541,0.00359111923275908,"Urban/Rural index","1 Large Urban Areas","PB","Matched"
"11","Urban/Rural index: 6 Remote Rural","uv",0.054797841400814,0.0517950764957559,0.00147609872683696,0.226134526846513,0.0065275247766072,"Urban/Rural index","6 Remote Rural","PB","Matched"
"12","Urban/Rural index: 6 Remote Rural","vacc",0.053321742673977,0.0504785719684369,0.00147609872683696,0.226134526846513,0.0065275247766072,"Urban/Rural index","6 Remote Rural","PB","Matched"
"13","Urban/Rural index: Unknown","uv",0.00584341752921151,0.00580927632080602,0,0.0762186087566942,0,"Urban/Rural index","Unknown","PB","Matched"
"14","Urban/Rural index: Unknown","vacc",0.00584341752921151,0.00580927632080602,0,0.0762186087566942,0,"Urban/Rural index","Unknown","PB","Matched"
"15","Smoker status: Unknown","uv",0.266809492541797,0.195622332702273,0.00289122007553755,0.441524571846376,0.00654826539652593,"Smoker status","Unknown","PB","Matched"
"16","Smoker status: Unknown","vacc",0.26391827246626,0.194265562385978,0.00289122007553755,0.441524571846376,0.00654826539652593,"Smoker status","Unknown","PB","Matched"
"17","Smoker status: Ex Smoker","uv",0.126304228037547,0.110351552077227,-0.00131993714868292,0.332932329849189,-0.00396458087828486,"Smoker status","Ex Smoker","PB","Matched"
"18","Smoker status: Ex Smoker","vacc",0.12762416518623,0.111336320440391,-0.00131993714868292,0.332932329849189,-0.00396458087828486,"Smoker status","Ex Smoker","PB","Matched"
"19","Smoker status: Non Smoker","uv",0.404361815965811,0.240853516857526,-0.00933846237361141,0.491633021303515,-0.0189947826304495,"Smoker status","Non Smoker","PB","Matched"
"20","Smoker status: Non Smoker","vacc",0.413700278339422,0.24255253841452,-0.00933846237361141,0.491633021303515,-0.0189947826304495,"Smoker status","Non Smoker","PB","Matched"
"21","Smoker status: Smoker","uv",0.202524463454844,0.161508425257593,0.00776717944675673,0.398958284918067,0.019468650584238,"Smoker status","Smoker","PB","Matched"
"22","Smoker status: Smoker","vacc",0.194757284008088,0.156827000951938,0.00776717944675673,0.398958284918067,0.019468650584238,"Smoker status","Smoker","PB","Matched"
"23","Sex: M","uv",0.451625976660537,0.247660138027958,0.00574451519638064,0.497358776709064,0.0115500428772788,"Sex","M","PB","Matched"
"24","Sex: M","vacc",0.445881461464156,0.247071367511114,0.00574451519638064,0.497358776709064,0.0115500428772788,"Sex","M","PB","Matched"
"25","No. risk groups: 0","uv",0.602991163485556,0.239392998267498,-0.00973704621118554,0.488203607866509,-0.0199446420597694,"No. risk groups","0","PB","Matched"
"26","No. risk groups: 0","vacc",0.612728209696742,0.237292527200255,-0.00973704621118554,0.488203607866509,-0.0199446420597694,"No. risk groups","0","PB","Matched"
"27","No. risk groups: 1","uv",0.261927584158077,0.193321668576281,2.08215437538795e-05,0.439677963196752,4.73563505491449e-05,"No. risk groups","1","PB","Matched"
"28","No. risk groups: 1","vacc",0.261906762614323,0.193311754065408,2.08215437538795e-05,0.439677963196752,4.73563505491449e-05,"No. risk groups","1","PB","Matched"
"29","No. risk groups: 2","uv",0.0854330249018227,0.0781342812628896,0.00359245992410546,0.276836616113659,0.0129768235666865,"No. risk groups","2","PB","Matched"
"30","No. risk groups: 2","vacc",0.0818405649777172,0.0751427427796333,0.00359245992410546,0.276836616113659,0.0129768235666865,"No. risk groups","2","PB","Matched"
"31","No. risk groups: 3","uv",0.0302284197712456,0.0293146842081659,0.00273134036457036,0.167415193642176,0.0163147699151379,"No. risk groups","3","PB","Matched"
"32","No. risk groups: 3","vacc",0.0274970794066752,0.0267410099163285,0.00273134036457036,0.167415193642176,0.0163147699151379,"No. risk groups","3","PB","Matched"
