"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Thrombosis or pulmonary embolus: 1","uv",0.0147037280230465,0.0144875391781759,0.00226508650979616,0.115696737255472,0.0195777907271023,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"2","Thrombosis or pulmonary embolus: 1","vacc",0.0124386415132503,0.0122839308449474,0.00226508650979616,0.115696737255472,0.0195777907271023,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"3","Stroke/TIA: 1","uv",0.0232561771199492,0.0227153442367596,0.00127531955492463,0.148682648094396,0.00857746059321562,"Stroke/TIA",1,"PB","Matched"
"4","Stroke/TIA: 1","vacc",0.0219808575650246,0.0214977154519646,0.00127531955492463,0.148682648094396,0.00857746059321562,"Stroke/TIA",1,"PB","Matched"
"5","Sickle cell disease: 1","uv",0.000542103764163297,0.000541810290596062,-2.75141828176158e-05,0.0235701526970772,-0.0011673315472847,"Sickle cell disease",1,"PB","Matched"
"6","Sickle cell disease: 1","vacc",0.000569617946980913,0.000569293905731011,-2.75141828176158e-05,0.0235701526970772,-0.0011673315472847,"Sickle cell disease",1,"PB","Matched"
"7","Severe mental illness: 1","uv",0.125040062881062,0.109405126909973,0.010492570798826,0.324677968510449,0.0323168549038408,"Severe mental illness",1,"PB","Matched"
"8","Severe mental illness: 1","vacc",0.114547492082236,0.101426439562171,0.010492570798826,0.324677968510449,0.0323168549038408,"Severe mental illness",1,"PB","Matched"
"9","Rheumatoid arthritis or SLE: 1","uv",0.00958534639240727,0.00949347458652055,0.000528718486035808,0.0960939297192861,0.00550210078389264,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"10","Rheumatoid arthritis or SLE: 1","vacc",0.00905662790637147,0.00897461207126962,0.000528718486035808,0.0960939297192861,0.00550210078389264,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"11","Respiratory cancer: 1","uv",0.00219444198634553,0.00218962803897163,0.000446919564145599,0.0443514257032892,0.0100767801047815,"Respiratory cancer",1,"PB","Matched"
"12","Respiratory cancer: 1","vacc",0.00174752242219993,0.00174446988485714,0.000446919564145599,0.0443514257032892,0.0100767801047815,"Respiratory cancer",1,"PB","Matched"
"13","Pulmonary rare: 1","uv",0.00446324662895489,0.0044433293628185,0.000468484734462109,0.064892742635072,0.00721937023214845,"Pulmonary rare",1,"PB","Matched"
"14","Pulmonary rare: 1","vacc",0.00399476189449278,0.00397880673058488,0.000468484734462109,0.064892742635072,0.00721937023214845,"Pulmonary rare",1,"PB","Matched"
"15","Pulmonary hypertension: 1","uv",0.0015779755659184,0.00157548673056365,0.000452868576646705,0.03673777817074,0.0123270540352763,"Pulmonary hypertension",1,"PB","Matched"
"16","Pulmonary hypertension: 1","vacc",0.0011251069892717,0.00112384195928135,0.000452868576646705,0.03673777817074,0.0123270540352763,"Pulmonary hypertension",1,"PB","Matched"
"17","Peripheral vascular disease: 1","uv",0.00932433346892124,0.0092373971433363,0.000951842000176983,0.0936477340154194,0.0101640686791232,"Peripheral vascular disease",1,"PB","Matched"
"18","Peripheral vascular disease: 1","vacc",0.00837249146874426,0.00830239902910919,0.000951842000176983,0.0936477340154194,0.0101640686791232,"Peripheral vascular disease",1,"PB","Matched"
"19","Parkinson's: 1","uv",0.00189996586754077,0.00189635740744344,0.000208959064101353,0.0423350089302956,0.0049358455184314,"Parkinson's",1,"PB","Matched"
"20","Parkinson's: 1","vacc",0.00169100680343942,0.00168814855481298,0.000208959064101353,0.0423350089302956,0.0049358455184314,"Parkinson's",1,"PB","Matched"
"21","Neurological disorder: 1","uv",0.00348091593970973,0.00346880174337437,0.000388916692259815,0.0572330447543734,0.00679531717959311,"Neurological disorder",1,"PB","Matched"
"22","Neurological disorder: 1","vacc",0.00309199924744992,0.00308244108033784,0.000388916692259815,0.0572330447543734,0.00679531717959311,"Neurological disorder",1,"PB","Matched"
"23","Learning disability or Down's: 0","uv",0.984862737690935,0.0149081366852895,-0.00281165203333522,0.116365448791441,-0.0241622583209771,"Learning disability or Down's",0,"PB","Matched"
"24","Learning disability or Down's: 0","vacc",0.987674389724271,0.0121736986595772,-0.00281165203333522,0.116365448791441,-0.0241622583209771,"Learning disability or Down's",0,"PB","Matched"
"25","Learning disability or Down's: 1","uv",0.0149506120418424,0.0147271021928826,0.00287039853178371,0.115458635491142,0.0248608388586398,"Learning disability or Down's",1,"PB","Matched"
"26","Learning disability or Down's: 1","vacc",0.0120802135100587,0.0119342908260703,0.00287039853178371,0.115458635491142,0.0248608388586398,"Learning disability or Down's",1,"PB","Matched"
"27","Learning disability or Down's: 2","uv",0.000186650267222205,0.00018661556767545,-5.87464984484232e-05,0.0146961269764888,-0.00399741364118637,"Learning disability or Down's",2,"PB","Matched"
"28","Learning disability or Down's: 2","vacc",0.000245396765670628,0.000245336728542711,-5.87464984484232e-05,0.0146961269764888,-0.00399741364118637,"Learning disability or Down's",2,"PB","Matched"
"29","Kidney disease: 0","uv",0.971651468179104,0.0275449130480397,-0.000199291918786981,0.165683121631374,-0.00120284985473887,"Kidney disease",0,"PB","Matched"
"30","Kidney disease: 0","vacc",0.971850760097891,0.0273568805389939,-0.000199291918786981,0.165683121631374,-0.00120284985473887,"Kidney disease",0,"PB","Matched"
"31","Kidney disease: 3","uv",0.0265660589502521,0.0258603226929836,0.000126416515648507,0.160625230858,0.000787027760042661,"Kidney disease",3,"PB","Matched"
"32","Kidney disease: 3","vacc",0.0264396424346036,0.0257406068833881,0.000126416515648507,0.160625230858,0.000787027760042661,"Kidney disease",3,"PB","Matched"
"33","Kidney disease: 5","uv",0.000784526023583373,0.00078391112541643,-7.51062828264651e-05,0.0286601212736045,-0.00262058496227079,"Kidney disease",5,"PB","Matched"
"34","Kidney disease: 5","vacc",0.000859632306409838,0.000858893977419004,-7.51062828264651e-05,0.0286601212736045,-0.00262058496227079,"Kidney disease",5,"PB","Matched"
"35","Kidney disease: 4","uv",0.000997946847060556,0.000996951690504461,0.000147981685965015,0.0303825199939148,0.00487061922429917,"Kidney disease",4,"PB","Matched"
"36","Kidney disease: 4","vacc",0.00084996516109554,0.000849243351856804,0.000147981685965015,0.0303825199939148,0.00487061922429917,"Kidney disease",4,"PB","Matched"
"37","Heart failure: 1","uv",0.00892203149853394,0.00884243542811745,0.00103735905488038,0.0912823795404422,0.0113642858578285,"Heart failure",1,"PB","Matched"
"38","Heart failure: 1","vacc",0.00788467244365356,0.00782251020101325,0.00103735905488038,0.0912823795404422,0.0113642858578285,"Heart failure",1,"PB","Matched"
"39","Fracture: 1","uv",0.0439081740175392,0.0419802774895805,0.00324072455997757,0.201238558078023,0.0161038947552044,"Fracture",1,"PB","Matched"
"40","Fracture: 1","vacc",0.0406674494575616,0.0390136370250631,0.00324072455997757,0.201238558078023,0.0161038947552044,"Fracture",1,"PB","Matched"
"41","Epilepsy: 1","uv",0.0115187754552668,0.0113861017339533,0.0024561985363942,0.100912226787747,0.0243399498215457,"Epilepsy",1,"PB","Matched"
"42","Epilepsy: 1","vacc",0.00906257691887257,0.0089804532965701,0.0024561985363942,0.100912226787747,0.0243399498215457,"Epilepsy",1,"PB","Matched"
"43","Diabetes type 2: 1","uv",0.0523654389144242,0.0496233366214149,-0.00200556083943541,0.224764508978967,-0.00892294272145558,"Diabetes type 2",1,"PB","Matched"
"44","Diabetes type 2: 1","vacc",0.0543709997538596,0.0514148323716977,-0.00200556083943541,0.224764508978967,-0.00892294272145558,"Diabetes type 2",1,"PB","Matched"
"45","Diabetes type 1: 1","uv",0.00317677267559068,0.00316668314571656,-0.00081575833921418,0.0597631860503636,-0.0136498468894668,"Diabetes type 1",1,"PB","Matched"
"46","Diabetes type 1: 1","vacc",0.00399253101480486,0.00397659366806418,-0.00081575833921418,0.0597631860503636,-0.0136498468894668,"Diabetes type 1",1,"PB","Matched"
"47","Dementia: 1","uv",0.00413456368826877,0.00411747213317379,-0.000890120995478008,0.0675163427561152,-0.0131837857197528,"Dementia",1,"PB","Matched"
"48","Dementia: 1","vacc",0.00502468468374678,0.00499944094514866,-0.000890120995478008,0.0675163427561152,-0.0131837857197528,"Dementia",1,"PB","Matched"
"49","Coronary heart disease: 1","uv",0.0395594458792306,0.0379945243751553,-0.000880453850163714,0.195957989719363,-0.00449307451778126,"Coronary heart disease",1,"PB","Matched"
"50","Coronary heart disease: 1","vacc",0.0404398997293943,0.0388045430945529,-0.000880453850163714,0.195957989719363,-0.00449307451778126,"Coronary heart disease",1,"PB","Matched"
