"","label","levels","uv_az","vacc_az","uv_pb","vacc_pb"
"1","event","0","1876962 (99.9)","1877442 (100.0)","1344017 (99.9)","1344373 (100.0)"
"2","","1","1115 (0.1)","635 (0.0)","744 (0.1)","388 (0.0)"
"3","event_hosp","0","1876974 (99.9)","1877456 (100.0)","1344022 (99.9)","1344450 (100.0)"
"4","","1","1103 (0.1)","621 (0.0)","739 (0.1)","311 (0.0)"
"5","event_death","0","1878031 (100.0)","1878002 (100.0)","1344740 (100.0)","1344638 (100.0)"
"6","","1","46 (0.0)","75 (0.0)","21 (0.0)","123 (0.0)"
"7","Sex","F","953836 (50.8)","948065 (50.5)","737432 (54.8)","745157 (55.4)"
"8","","M","924241 (49.2)","930012 (49.5)","607329 (45.2)","599604 (44.6)"
"9","ageYear","Mean (SD)","56.9 (15.3)","56.9 (15.3)","46.0 (18.3)","46.0 (18.3)"
"10","age_grp","18-64","1352774 (72.0)","1352774 (72.0)","1014670 (75.5)","1014670 (75.5)"
"11","","65-79","353416 (18.8)","353416 (18.8)","308096 (22.9)","308096 (22.9)"
"12","","80+","171887 (9.2)","171887 (9.2)","21995 (1.6)","21995 (1.6)"
"13","simd2020_sc_quintile","1 - High","338084 (18.0)","338421 (18.0)","253158 (18.8)","246575 (18.3)"
"14","","2","369981 (19.7)","365227 (19.4)","263713 (19.6)","263439 (19.6)"
"15","","3","387064 (20.6)","386337 (20.6)","273022 (20.3)","265527 (19.7)"
"16","","4","396889 (21.1)","389894 (20.8)","283419 (21.1)","286685 (21.3)"
"17","","5-Low","376657 (20.1)","388796 (20.7)","263591 (19.6)","274677 (20.4)"
"18","","Missing","9402 (0.5)","9402 (0.5)","7858 (0.6)","7858 (0.6)"
"19","ur6_2016_name","1 Large Urban Areas","570739 (30.4)","574574 (30.6)","438274 (32.6)","436012 (32.4)"
"20","","2 Other Urban Areas","705988 (37.6)","712419 (37.9)","506316 (37.7)","523030 (38.9)"
"21","","3 Accessible Small Towns","193849 (10.3)","190026 (10.1)","132187 (9.8)","125670 (9.3)"
"22","","4 Remote Small Towns","99190 (5.3)","101588 (5.4)","64605 (4.8)","63217 (4.7)"
"23","","5 Accessible Rural","197546 (10.5)","190318 (10.1)","121831 (9.1)","117269 (8.7)"
"24","","6 Remote Rural","101363 (5.4)","99750 (5.3)","73690 (5.5)","71705 (5.3)"
"25","","Unknown","9402 (0.5)","9402 (0.5)","7858 (0.6)","7858 (0.6)"
