"","label","levels","uv_az","vacc_az"
"1","event","0","1876962 (99.9)","1877442 (100.0)"
"2","","1","1115 (0.1)","635 (0.0)"
"3","event_hosp","0","1876974 (99.9)","1877456 (100.0)"
"4","","1","1103 (0.1)","621 (0.0)"
"5","event_death","0","1878031 (100.0)","1878002 (100.0)"
"6","","1","46 (0.0)","75 (0.0)"
"7","Sex","F","953836 (50.8)","948065 (50.5)"
"8","","M","924241 (49.2)","930012 (49.5)"
"9","ageYear","Mean (SD)","56.9 (15.3)","56.9 (15.3)"
"10","age_grp","18-64","1352774 (72.0)","1352774 (72.0)"
"11","","65-79","353416 (18.8)","353416 (18.8)"
"12","","80+","171887 (9.2)","171887 (9.2)"
"13","simd2020_sc_quintile","1 - High","338084 (18.0)","338421 (18.0)"
"14","","2","369981 (19.7)","365227 (19.4)"
"15","","3","387064 (20.6)","386337 (20.6)"
"16","","4","396889 (21.1)","389894 (20.8)"
"17","","5-Low","376657 (20.1)","388796 (20.7)"
"18","","Missing","9402 (0.5)","9402 (0.5)"
"19","ur6_2016_name","1 Large Urban Areas","570739 (30.4)","574574 (30.6)"
"20","","2 Other Urban Areas","705988 (37.6)","712419 (37.9)"
"21","","3 Accessible Small Towns","193849 (10.3)","190026 (10.1)"
"22","","4 Remote Small Towns","99190 (5.3)","101588 (5.4)"
"23","","5 Accessible Rural","197546 (10.5)","190318 (10.1)"
"24","","6 Remote Rural","101363 (5.4)","99750 (5.3)"
"25","","Unknown","9402 (0.5)","9402 (0.5)"
"26","n_risk_gps","0","953580 (50.8)","947127 (50.4)"
"27","","1","549014 (29.2)","546424 (29.1)"
"28","","2","226447 (12.1)","228263 (12.2)"
"29","","3","87323 (4.6)","91169 (4.9)"
"30","","4","37131 (2.0)","39552 (2.1)"
"31","","5+","24582 (1.3)","25542 (1.4)"
"32","n_tests_gp","0","1562896 (83.2)","1570242 (83.6)"
"33","","1","224036 (11.9)","222999 (11.9)"
"34","","2","49642 (2.6)","47991 (2.6)"
"35","","3","15331 (0.8)","14408 (0.8)"
"36","","4-9","18341 (1.0)","16456 (0.9)"
"37","","10+","7831 (0.4)","5981 (0.3)"
"38","EAVE_Smoke","Ex Smoker","305289 (16.3)","307071 (16.4)"
"39","","Non Smoker","718883 (38.3)","722278 (38.5)"
"40","","Smoker","451320 (24.0)","454077 (24.2)"
"41","","Unknown","402585 (21.4)","394651 (21.0)"
"42","bmi_cat","Underweight","17885 (1.0)","17549 (0.9)"
"43","","Normal weight","222551 (11.8)","226323 (12.1)"
"44","","Overweight","1242356 (66.2)","1236036 (65.8)"
"45","","Obese","395285 (21.0)","398169 (21.2)"
"46","ave_hh_age","Mean (SD)","52.3 (18.2)","52.2 (18.3)"
"47","n_hh_gp","1","649512 (34.6)","631456 (33.6)"
"48","","2","606504 (32.3)","614908 (32.7)"
"49","","3-5","581092 (30.9)","592380 (31.5)"
"50","","6-10","38861 (2.1)","37498 (2.0)"
"51","","11-30","1646 (0.1)","1463 (0.1)"
"52","","31-100","235 (0.0)","204 (0.0)"
"53","","101+","227 (0.0)","168 (0.0)"
"54","Q_DIAG_AF","0","1814659 (96.6)","1810061 (96.4)"
"55","","1","63418 (3.4)","68016 (3.6)"
"56","Q_DIAG_ASTHMA","0","1594822 (84.9)","1624561 (86.5)"
"57","","1","283255 (15.1)","253516 (13.5)"
"58","Q_DIAG_BLOOD_CANCER","0","1868635 (99.5)","1864131 (99.3)"
"59","","1","9442 (0.5)","13946 (0.7)"
"60","Q_DIAG_CCF","0","1849261 (98.5)","1847427 (98.4)"
"61","","1","28816 (1.5)","30650 (1.6)"
"62","Q_DIAG_CEREBRALPALSY","0","1876105 (99.9)","1874170 (99.8)"
"63","","1","1972 (0.1)","3907 (0.2)"
"64","Q_DIAG_CHD","0","1767073 (94.1)","1753663 (93.4)"
"65","","1","111004 (5.9)","124414 (6.6)"
"66","Q_DIAG_CIRRHOSIS","0","1864832 (99.3)","1864259 (99.3)"
"67","","1","13245 (0.7)","13818 (0.7)"
"68","Q_DIAG_CONGEN_HD","0","1862272 (99.2)","1855295 (98.8)"
"69","","1","15805 (0.8)","22782 (1.2)"
"70","Q_DIAG_COPD","0","1811464 (96.5)","1793042 (95.5)"
"71","","1","66613 (3.5)","85035 (4.5)"
"72","Q_DIAG_DEMENTIA","0","1858597 (99.0)","1862224 (99.2)"
"73","","1","19480 (1.0)","15853 (0.8)"
"74","Q_DIAG_DIABETES_1","0","1872064 (99.7)","1863992 (99.3)"
"75","","1","6013 (0.3)","14085 (0.7)"
"76","Q_DIAG_DIABETES_2","0","1747752 (93.1)","1721611 (91.7)"
"77","","1","130325 (6.9)","156466 (8.3)"
"78","Q_DIAG_EPILEPSY","0","1845681 (98.3)","1837854 (97.9)"
"79","","1","32396 (1.7)","40223 (2.1)"
"80","Q_DIAG_FRACTURE","0","1762195 (93.8)","1781843 (94.9)"
"81","","1","115882 (6.2)","96234 (5.1)"
"82","Q_DIAG_NEURO","0","1871307 (99.6)","1866125 (99.4)"
"83","","1","6770 (0.4)","11952 (0.6)"
"84","Q_DIAG_PARKINSONS","0","1872347 (99.7)","1872485 (99.7)"
"85","","1","5730 (0.3)","5592 (0.3)"
"86","Q_DIAG_PULM_HYPER","0","1873008 (99.7)","1872034 (99.7)"
"87","","1","5069 (0.3)","6043 (0.3)"
"88","Q_DIAG_PULM_RARE","0","1867293 (99.4)","1862969 (99.2)"
"89","","1","10784 (0.6)","15108 (0.8)"
