"","label","levels","uv_pb","vacc_pb"
"1","event","0","1344017 (99.9)","1344373 (100.0)"
"2","","1","744 (0.1)","388 (0.0)"
"3","event_hosp","0","1344022 (99.9)","1344450 (100.0)"
"4","","1","739 (0.1)","311 (0.0)"
"5","event_death","0","1344740 (100.0)","1344638 (100.0)"
"6","","1","21 (0.0)","123 (0.0)"
"7","Sex","F","737432 (54.8)","745157 (55.4)"
"8","","M","607329 (45.2)","599604 (44.6)"
"9","ageYear","Mean (SD)","46.0 (18.3)","46.0 (18.3)"
"10","age_grp","18-64","1014670 (75.5)","1014670 (75.5)"
"11","","65-79","308096 (22.9)","308096 (22.9)"
"12","","80+","21995 (1.6)","21995 (1.6)"
"13","simd2020_sc_quintile","1 - High","253158 (18.8)","246575 (18.3)"
"14","","2","263713 (19.6)","263439 (19.6)"
"15","","3","273022 (20.3)","265527 (19.7)"
"16","","4","283419 (21.1)","286685 (21.3)"
"17","","5-Low","263591 (19.6)","274677 (20.4)"
"18","","Missing","7858 (0.6)","7858 (0.6)"
"19","ur6_2016_name","1 Large Urban Areas","438274 (32.6)","436012 (32.4)"
"20","","2 Other Urban Areas","506316 (37.7)","523030 (38.9)"
"21","","3 Accessible Small Towns","132187 (9.8)","125670 (9.3)"
"22","","4 Remote Small Towns","64605 (4.8)","63217 (4.7)"
"23","","5 Accessible Rural","121831 (9.1)","117269 (8.7)"
"24","","6 Remote Rural","73690 (5.5)","71705 (5.3)"
"25","","Unknown","7858 (0.6)","7858 (0.6)"
"26","n_risk_gps","0","810879 (60.3)","823973 (61.3)"
"27","","1","352230 (26.2)","352202 (26.2)"
"28","","2","114887 (8.5)","110056 (8.2)"
"29","","3","40650 (3.0)","36977 (2.7)"
"30","","4","16400 (1.2)","13837 (1.0)"
"31","","5+","9715 (0.7)","7716 (0.6)"
"32","n_tests_gp","0","1048057 (77.9)","1045963 (77.8)"
"33","","1","196306 (14.6)","197545 (14.7)"
"34","","2","44851 (3.3)","44844 (3.3)"
"35","","3","13074 (1.0)","12745 (0.9)"
"36","","4-9","18886 (1.4)","18253 (1.4)"
"37","","10+","23587 (1.8)","25411 (1.9)"
"38","EAVE_Smoke","Ex Smoker","169849 (12.6)","171624 (12.8)"
"39","","Non Smoker","543770 (40.4)","556328 (41.4)"
"40","","Smoker","272347 (20.3)","261902 (19.5)"
"41","","Unknown","358795 (26.7)","354907 (26.4)"
"42","bmi_cat","Underweight","13821 (1.0)","12746 (0.9)"
"43","","Normal weight","178299 (13.3)","178203 (13.3)"
"44","","Overweight","920363 (68.4)","922126 (68.6)"
"45","","Obese","232278 (17.3)","231686 (17.2)"
"46","ave_hh_age","Mean (SD)","43.8 (18.6)","43.7 (18.6)"
"47","n_hh_gp","1","392995 (29.2)","383228 (28.5)"
"48","","2","408017 (30.3)","413634 (30.8)"
"49","","3-5","505324 (37.6)","509837 (37.9)"
"50","","6-10","36378 (2.7)","36140 (2.7)"
"51","","11-30","1568 (0.1)","1490 (0.1)"
"52","","31-100","242 (0.0)","259 (0.0)"
"53","","101+","237 (0.0)","173 (0.0)"
"54","Q_DIAG_AF","0","1319199 (98.1)","1319410 (98.1)"
"55","","1","25562 (1.9)","25351 (1.9)"
"56","Q_DIAG_ASTHMA","0","1151932 (85.7)","1160128 (86.3)"
"57","","1","192829 (14.3)","184633 (13.7)"
"58","Q_DIAG_BLOOD_CANCER","0","1339413 (99.6)","1339558 (99.6)"
"59","","1","5348 (0.4)","5203 (0.4)"
"60","Q_DIAG_CCF","0","1332763 (99.1)","1334158 (99.2)"
"61","","1","11998 (0.9)","10603 (0.8)"
"62","Q_DIAG_CEREBRALPALSY","0","1343460 (99.9)","1343734 (99.9)"
"63","","1","1301 (0.1)","1027 (0.1)"
"64","Q_DIAG_CHD","0","1291563 (96.0)","1290379 (96.0)"
"65","","1","53198 (4.0)","54382 (4.0)"
"66","Q_DIAG_CIRRHOSIS","0","1337843 (99.5)","1338420 (99.5)"
"67","","1","6918 (0.5)","6341 (0.5)"
"68","Q_DIAG_CONGEN_HD","0","1336008 (99.3)","1334865 (99.3)"
"69","","1","8753 (0.7)","9896 (0.7)"
