"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",0.475708213727782,0.394021837890139,0.574329346362709,1,"0.48 (0.39, 0.57)",43,75
"2",0.487027761803313,0.408885880346437,0.580103281057726,2,"0.49 (0.41, 0.58)",22,60
"3",0.49861666021784,0.423953633823866,0.586428689393149,3,"0.5 (0.42, 0.59)",23,74
"4",0.510481318202963,0.439113401361129,0.593448470091042,4,"0.51 (0.44, 0.59)",32,61
"5",0.522628297498898,0.454216851425777,0.601343469510687,5,"0.52 (0.45, 0.6)",23,51
"6",0.535064315983445,0.469076435050367,0.610335119921535,6,"0.54 (0.47, 0.61)",24,36
"7",0.547796251387315,0.483471067630118,0.620679815453967,7,"0.55 (0.48, 0.62)",20,50
"8",0.560831145097852,0.49716563287194,0.632649468336812,8,"0.56 (0.5, 0.63)",16,33
"9",0.574176206053268,0.509945880321196,0.646496674098186,9,"0.57 (0.51, 0.65)",23,37
"10",0.587838814729522,0.52166000702766,0.662413195275456,10,"0.59 (0.52, 0.66)",26,29
"11",0.601826527222124,0.532248264159049,0.680500422937986,11,"0.6 (0.53, 0.68)",21,21
"12",0.616147079424981,0.54174491085666,0.700767493844315,12,"0.62 (0.54, 0.7)",17,25
"13",0.630808391308778,0.550253865529093,0.723155713159691,13,"0.63 (0.55, 0.72)",18,23
"14",0.645818571301071,0.557913979175801,0.747573358268429,14,"0.65 (0.56, 0.75)",18,17
"15",0.660978759551266,0.564773432777405,0.773572011752409,15,"0.66 (0.56, 0.77)",18,25
"16",0.675224072889317,0.570498944797051,0.799173342505354,16,"0.68 (0.57, 0.8)",17,14
"17",0.687187434050989,0.574652469293253,0.821760272079503,17,"0.69 (0.57, 0.82)",10,19
"18",0.695429035610316,0.576726812746436,0.838562613842828,18,"0.7 (0.58, 0.84)",9,16
"19",0.698496423479219,0.576079238241091,0.846927334341937,19,"0.7 (0.58, 0.85)",9,17
"20",0.695012716080497,0.571844935268265,0.844709196011299,20,"0.7 (0.57, 0.84)",17,17
"21",0.683788748445045,0.56280380157998,0.830781617301488,21,"0.68 (0.56, 0.83)",12,14
"22",0.664486302858335,0.547571055564767,0.806364840141032,22,"0.66 (0.55, 0.81)",3,14
"23",0.639178971238889,0.526069910724697,0.776607346181802,23,"0.64 (0.53, 0.78)",8,18
"24",0.610407095184737,0.499459682761538,0.745999796803943,24,"0.61 (0.5, 0.75)",5,15
"25",0.580451054318879,0.470018143507213,0.716830682206904,25,"0.58 (0.47, 0.72)",7,14
"26",0.551250326156822,0.440616975313153,0.689662312424602,26,"0.55 (0.44, 0.69)",8,11
"27",0.52439389309032,0.413929014137851,0.664338439003075,27,"0.52 (0.41, 0.66)",6,12
"28",0.501164372235169,0.391925995153456,0.640849882640545,28,"0.5 (0.39, 0.64)",8,14
"29",0.482289811977283,0.375274989042225,0.619821383062945,29,"0.48 (0.38, 0.62)",4,15
"30",0.467138706453626,0.362370739134347,0.602196997440965,30,"0.47 (0.36, 0.6)",6,15
"31",0.454884637101071,0.351507783689714,0.588664156732379,31,"0.45 (0.35, 0.59)",4,14
"32",0.444817758679651,0.341626502767896,0.579178830780636,32,"0.44 (0.34, 0.58)",5,12
"33",0.436311017611407,0.332355348210611,0.572782430353634,33,"0.44 (0.33, 0.57)",6,10
"34",0.428796506996018,0.323830218787235,0.567786555252865,34,"0.43 (0.32, 0.57)",3,14
"35",0.42174998620965,0.316361790714513,0.562245682280745,35,"0.42 (0.32, 0.56)",2,5
"36",0.414811130631904,0.310021774907523,0.55501996318628,36,"0.41 (0.31, 0.56)",9,8
"37",0.408149827743496,0.304365552189784,0.547323048513626,37,"0.41 (0.3, 0.55)",4,6
"38",0.402049990713279,0.298908920683544,0.540780765802842,38,"0.4 (0.3, 0.54)",3,8
"39",0.396779338059452,0.293485794679348,0.536427472692174,39,"0.4 (0.29, 0.54)",3,9
"40",0.392594240994997,0.288367313577368,0.534492748676542,40,"0.39 (0.29, 0.53)",5,7
"41",0.389746312743969,0.284182716827842,0.534522964637369,41,"0.39 (0.28, 0.53)",2,10
"42",0.38849072158175,0.281703762998606,0.535757986150352,42,"0.39 (0.28, 0.54)",3,10
"43",0.389038109251482,0.281412754566967,0.53782441624888,43,"0.39 (0.28, 0.54)",1,8
"44",0.39138911921576,0.282877393229654,0.541525927157158,44,"0.39 (0.28, 0.54)",3,7
"45",0.3955102001223,0.285483246865278,0.547942200176117,45,"0.4 (0.29, 0.55)",3,8
"46",0.401389676420452,0.288854845677989,0.557766901776413,46,"0.4 (0.29, 0.56)",3,10
"47",0.409035978062592,0.293000641096692,0.571024113542493,47,"0.41 (0.29, 0.57)",0,4
"48",0.418476286050218,0.298313560419102,0.58704137264278,48,"0.42 (0.3, 0.59)",3,7
"49",0.42975551583078,0.305426840258549,0.604694083960128,49,"0.43 (0.31, 0.6)",2,3
"50",0.442928509799014,0.314817956949495,0.623171774233477,50,"0.44 (0.31, 0.62)",2,7
"51",0.458036388909821,0.326166397132994,0.643221789275873,51,"0.46 (0.33, 0.64)",3,3
"52",0.475123133319329,0.338903672520582,0.66609485266486,52,"0.48 (0.34, 0.67)",3,6
"53",0.494240003764372,0.352638944345155,0.692700523405371,53,"0.49 (0.35, 0.69)",4,6
"54",0.515443197149545,0.367389255078477,0.723161295043846,54,"0.52 (0.37, 0.72)",3,5
"55",0.538791339516693,0.383671341244423,0.756627030303146,55,"0.54 (0.38, 0.76)",0,5
"56",0.564342753720512,0.402408752477444,0.791440896143786,56,"0.56 (0.4, 0.79)",5,2
"57",0.592097292900968,0.424380861060542,0.826095699472747,57,"0.59 (0.42, 0.83)",3,7
"58",0.621805250475037,0.448940875538504,0.861230933927653,58,"0.62 (0.45, 0.86)",3,4
"59",0.65308519584332,0.474645918784669,0.898607269439528,59,"0.65 (0.47, 0.9)",1,2
"60",0.685460442135392,0.499859876582293,0.939975460613097,60,"0.69 (0.5, 0.94)",2,3
"61",0.71834821244931,0.523269314056897,0.986154051970666,61,"0.72 (0.52, 0.99)",3,2
"62",0.751053117737244,0.54434891571727,1.03624857031186,62,"0.75 (0.54, 1.04)",0,5
"63",0.782766567739173,0.563493304859122,1.08736606856997,63,"0.78 (0.56, 1.09)",1,8
"64",0.812762283695845,0.581728571849255,1.13555111741987,64,"0.81 (0.58, 1.14)",3,4
"65",0.84102914429404,0.599995427843929,1.17889235271965,65,"0.84 (0.6, 1.18)",3,4
"66",0.867804853622998,0.618750262808493,1.21710698037266,66,"0.87 (0.62, 1.22)",3,2
"67",0.893395836347626,0.638096766817025,1.2508386845222,67,"0.89 (0.64, 1.25)",3,4
"68",0.918171670091743,0.657918297371711,1.28137371939173,68,"0.92 (0.66, 1.28)",3,4
"69",0.942560559574093,0.677976972681986,1.31039909062126,69,"0.94 (0.68, 1.31)",0,1
"70",0.967046467596255,0.697997308433441,1.33980297515656,70,"0.97 (0.7, 1.34)",4,3
"71",0.992074317112404,0.71775628718725,1.37123347888874,71,"0.99 (0.72, 1.37)",8,4
"72",1.01774990515238,0.737152896050561,1.40515607411605,72,"1.02 (0.74, 1.41)",3,0
"73",1.0440899956493,0.756118459483676,1.44173694656174,73,"1.04 (0.76, 1.44)",1,0
"74",1.0711117863988,0.774594759623815,1.48113635511761,74,"1.07 (0.77, 1.48)",1,1
"75",1.09883292028763,0.79253564236753,1.52350723697534,75,"1.1 (0.79, 1.52)",0,2
"76",1.12727149681301,0.809907833615275,1.56899461245448,76,"1.13 (0.81, 1.57)",1,2
"77",1.15644608390003,0.826690943594283,1.61773581207158,77,"1.16 (0.83, 1.62)",2,0
"78",1.18637573002482,0.842876741547514,1.66986144404434,78,"1.19 (0.84, 1.67)",4,3
"79",1.21707997665161,0.858467861179147,1.72549694234525,79,"1.22 (0.86, 1.73)",1,0
"80",1.24857887099166,0.873476136931129,1.78476449575831,80,"1.25 (0.87, 1.78)",1,1
"81",1.28089297909228,0.887920772289049,1.84778515729307,81,"1.28 (0.89, 1.85)",3,2
"82",1.31404339926464,0.901826512996857,1.91468096165518,82,"1.31 (0.9, 1.91)",1,0
"83",1.34805177585919,0.915221953546152,1.98557692301409,83,"1.35 (0.92, 1.99)",2,1
"84",1.38294031339768,0.928138057137658,2.06060283350369,84,"1.38 (0.93, 2.06)",0,1
"85",1.41873179107046,0.940606926439434,2.13989482579426,85,"1.42 (0.94, 2.14)",1,0
"86",1.45544957760965,0.952660829506616,2.2235966960678,86,"1.46 (0.95, 2.22)",1,0
"87",1.49311764654672,0.964331463204841,2.31186100577915,87,"1.49 (0.96, 2.31)",2,0
"88",1.53176059186508,0.975649424149376,2.40484999295366,88,"1.53 (0.98, 2.4)",1,0
"89",1.57140364405806,0.98664385226104,2.50273632871695,89,"1.57 (0.99, 2.5)",1,1
"90",1.61207268660199,0.997342212143626,2.60570375468468,90,"1.61 (1, 2.61)",1,1
"91",1.65379427285591,1.00777018054626,2.7139476338231,91,"1.65 (1.01, 2.71)",1,1
"92",1.69659564339869,1.01795161264602,2.82767544295876,92,"1.7 (1.02, 2.83)",1,0
"93",1.74050474381481,1.02790856474285,2.94710723030087,93,"1.74 (1.03, 2.95)",1,0
"94",1.78555024294017,1.03766135558708,3.07247605675738,94,"1.79 (1.04, 3.07)",0,0
"95",1.83176155158069,1.0472286526461,3.20402843578727,95,"1.83 (1.05, 3.2)",1,0
"96",1.87916884171478,1.05662757304339,3.34202478315097,96,"1.88 (1.06, 3.34)",0,0
"97",1.92780306619283,1.06587379167384,3.48673988520371,97,"1.93 (1.07, 3.49)",0,0
"98",1.97769597894746,1.07498165117383,3.63846339225794,98,"1.98 (1.07, 3.64)",0,0
"99",2.02888015572527,1.08396427008888,3.79750034192391,99,"2.03 (1.08, 3.8)",2,0
"100",2.08138901535633,1.09283364683485,3.9641717161557,100,"2.08 (1.09, 3.96)",0,0
"101",2.13525684157398,1.10160075796616,4.13881503486452,101,"2.14 (1.1, 4.14)",0,1
"102",2.19051880539882,1.11027564992817,4.32178498836421,102,"2.19 (1.11, 4.32)",1,0
"103",2.24721098810236,1.11886752393985,4.51345411051494,103,"2.25 (1.12, 4.51)",0,0
"104",2.30537040476519,1.12738481397374,4.71421349417874,104,"2.31 (1.13, 4.71)",0,0
"105",2.36503502844452,1.13583525801395,4.92447355045996,105,"2.37 (1.14, 4.92)",0,0
"106",2.42624381496675,1.14422596290892,5.14466481314496,106,"2.43 (1.14, 5.14)",1,1
"107",2.48903672836359,1.15256346321593,5.37523878976395,107,"2.49 (1.15, 5.38)",0,0
"108",2.5534547669638,1.16085377447128,5.61666886072695,108,"2.55 (1.16, 5.62)",0,0
"109",2.61953999016146,1.16910244133677,5.86945122807968,109,"2.62 (1.17, 5.87)",0,1
"110",2.68733554587895,1.17731458106648,6.1341059155172,110,"2.69 (1.18, 6.13)",0,0
"111",2.75688569873651,1.18549492271726,6.41117782139214,111,"2.76 (1.19, 6.41)",0,0
"112",2.82823585895432,1.19364784250933,6.70123782661012,112,"2.83 (1.19, 6.7)",0,1
"113",2.90143261200166,1.20177739570886,7.00488395941358,113,"2.9 (1.2, 7)",1,0
