"","vacc","z.yr","pyears","event","Rate","RR_est"
"1","uv","-1+ thru  13","73318.10",860,12,NA
"2","vacc","-1+ thru  13","73322.80",450,6,NA
"3","uv","13+ thru  20","28076.30",228,8,NA
"4","vacc","13+ thru  20","28080.00",170,6,NA
"5","uv","20+ thru  27","26127.00",178,7,NA
"6","vacc","20+ thru  27","26130.70",96,4,NA
"7","uv","27+ thru  34","24514.60",165,7,NA
"8","vacc","27+ thru  34","24518.20",71,3,NA
"9","uv","34+ thru  41","23699.30",102,4,NA
"10","vacc","34+ thru  41","23703.90",51,2,NA
"11","uv","41+ thru  48","23152.40",98,4,NA
"12","vacc","41+ thru  48","23157.70",37,2,NA
"13","uv","48+ thru  55","22332.80",74,3,NA
"14","vacc","48+ thru  55","22337.80",32,1,NA
"15","uv","55+ thru  62","19855.30",55,3,NA
"16","vacc","55+ thru  62","19857.90",26,1,NA
"17","uv","62+ thru  69","16545.30",49,3,NA
"18","vacc","62+ thru  69","16541.10",25,2,NA
"19","uv","69+ thru  76","10643.60",20,2,NA
"20","vacc","69+ thru  76","10625.70",23,2,NA
"21","uv","76+ thru  83","4272.60",11,3,NA
"22","vacc","76+ thru  83","4237.60",18,4,NA
"23","uv","83+ thru 203","5062.60",19,4,NA
"24","vacc","83+ thru 203","4625.70",24,5,NA
