"vacc","z.yr","vacc_type","pyears","event","Rate","RR_est"
"uv","-1+ thru  13","AZ",41147.7,575,14,NA
"vacc","-1+ thru  13","AZ",41150.6,308,7,"0.54 (0.47, 0.62)"
"uv","13+ thru  20","AZ",15002.1,125,8,NA
"vacc","13+ thru  20","AZ",15004.2,98,7,"0.78 (0.60, 1.02)"
"uv","20+ thru  27","AZ",14059.3,98,7,NA
"vacc","20+ thru  27","AZ",14061.1,49,3,"0.50 (0.36, 0.70)"
"uv","27+ thru  34","AZ",13722.5,94,7,NA
"vacc","27+ thru  34","AZ",13724.1,36,3,"0.38 (0.26, 0.56)"
"uv","34+ thru  41","AZ",13463,53,4,NA
"vacc","34+ thru  41","AZ",13465.1,28,2,"0.53 (0.33, 0.84)"
"uv","41+ thru  48","AZ",13272.8,54,4,NA
"vacc","41+ thru  48","AZ",13275.2,16,1,"0.30 (0.17, 0.52)"
"uv","48+ thru  55","AZ",12927.9,35,3,NA
"vacc","48+ thru  55","AZ",12930,17,1,"0.49 (0.27, 0.87)"
"uv","55+ thru  62","AZ",11983,25,2,NA
"vacc","55+ thru  62","AZ",11983.8,17,1,"0.68 (0.37, 1.26)"
"uv","62+ thru  69","AZ",10385.4,27,3,NA
"vacc","62+ thru  69","AZ",10382.2,16,2,"0.59 (0.32, 1.10)"
"uv","69+ thru 203","AZ",12877.8,29,2,NA
"vacc","69+ thru 203","AZ",12575.2,50,4,"1.77 (1.12, 2.79)"
"uv","-1+ thru  13","PB",32170.5,285,9,NA
"vacc","-1+ thru  13","PB",32172.2,142,4,"0.50 (0.41, 0.61)"
"uv","13+ thru  20","PB",13074.2,103,8,NA
"vacc","13+ thru  20","PB",13075.7,72,6,"0.70 (0.52, 0.94)"
"uv","20+ thru  27","PB",12067.8,80,7,NA
"vacc","20+ thru  27","PB",12069.6,47,4,"0.59 (0.41, 0.84)"
"uv","27+ thru  34","PB",10792.1,71,7,NA
"vacc","27+ thru  34","PB",10794.1,35,3,"0.49 (0.33, 0.74)"
"uv","34+ thru  41","PB",10236.3,49,5,NA
"vacc","34+ thru  41","PB",10238.8,23,2,"0.47 (0.29, 0.77)"
"uv","41+ thru  48","PB",9879.6,44,4,NA
"vacc","41+ thru  48","PB",9882.4,21,2,"0.48 (0.28, 0.80)"
"uv","48+ thru  55","PB",9405,39,4,NA
"vacc","48+ thru  55","PB",9407.7,15,2,"0.38 (0.21, 0.70)"
"uv","55+ thru  62","PB",7872.4,30,4,NA
"vacc","55+ thru  62","PB",7874.1,9,1,"0.30 (0.14, 0.63)"
"uv","62+ thru  69","PB",6159.9,22,4,NA
"vacc","62+ thru  69","PB",6158.9,9,1,"0.41 (0.19, 0.89)"
"uv","69+ thru 203","PB",7101,21,3,NA
"vacc","69+ thru 203","PB",6913.8,15,2,"0.73 (0.38, 1.42)"
