"vacc_type","Subgroup","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"AZ","18-64",1,1352774,27,1352770,15
"AZ","18-64",2,1169547,14,1169546,3
"AZ","18-64",3,1051706,21,1051716,8
"AZ","18-64",4,966161,19,966180,14
"AZ","18-64",5,902734,20,902754,13
"AZ","18-64",6,854468,10,854493,9
"AZ","18-64",7,814922,12,814945,9
"AZ","18-64",8,780406,13,780429,8
"AZ","18-64",9,752949,14,752973,14
"AZ","18-64",10,731013,8,731025,13
"AZ","18-64",11,711679,10,711680,4
"AZ","18-64",12,694059,5,694064,6
"AZ","18-64",13,679319,13,679317,9
"AZ","18-64",14,666303,4,666293,9
"AZ","18-64",15,654211,9,654193,9
"AZ","18-64",16,644453,4,644435,10
"AZ","18-64",17,636202,6,636170,8
"AZ","18-64",18,629109,4,629075,5
"AZ","18-64",19,622599,10,622554,7
"AZ","18-64",20,616780,4,616733,11
"AZ","18-64",21,611556,4,611494,5
"AZ","18-64",22,607270,8,607202,3
"AZ","18-64",23,603218,9,603149,4
"AZ","18-64",24,599738,7,599669,3
"AZ","18-64",25,597122,4,597052,2
"AZ","18-64",26,594647,4,594579,3
"AZ","18-64",27,592473,4,592393,2
"AZ","18-64",28,590793,6,590707,3
"AZ","18-64",29,588850,9,588760,2
"AZ","18-64",30,587457,7,587367,2
"AZ","18-64",31,585900,7,585801,1
"AZ","18-64",32,583170,7,583078,3
"AZ","18-64",33,580772,7,580680,5
"AZ","18-64",34,578421,12,578323,2
"AZ","18-64",35,576426,3,576339,2
"AZ","18-64",36,574488,3,574394,8
"AZ","18-64",37,573093,3,572989,1
"AZ","18-64",38,571813,3,571707,0
"AZ","18-64",39,570564,4,570452,3
"AZ","18-64",40,569528,4,569407,4
"AZ","18-64",41,568533,7,568409,1
"AZ","18-64",42,567496,5,567376,2
"AZ","18-64",43,566072,5,565954,1
"AZ","18-64",44,565202,2,565078,2
"AZ","18-64",45,564266,3,564144,3
"AZ","18-64",46,561990,3,561865,2
"AZ","18-64",47,560241,3,560108,0
"AZ","18-64",48,558588,3,558454,2
"AZ","18-64",49,556619,2,556478,1
"AZ","18-64",50,553960,3,553815,0
"AZ","18-64",51,551860,1,551712,2
"AZ","18-64",52,549963,4,549817,2
"AZ","18-64",53,547936,3,547790,4
"AZ","18-64",54,541021,2,540863,1
"AZ","18-64",55,535369,2,535208,0
"AZ","18-64",56,528684,1,528520,4
"AZ","18-64",57,517509,6,517343,2
"AZ","18-64",58,510928,3,510765,2
"AZ","18-64",59,504582,1,504413,1
"AZ","18-64",60,500233,2,500050,2
"AZ","18-64",61,494852,0,494660,1
"AZ","18-64",62,488576,3,488375,0
"AZ","18-64",63,480614,6,480400,0
"AZ","18-64",64,465716,3,465500,2
"AZ","18-64",65,453994,2,453781,1
"AZ","18-64",66,443235,1,443006,1
"AZ","18-64",67,431543,3,431299,3
"AZ","18-64",68,417970,3,417712,3
"AZ","18-64",69,402570,1,402305,0
"AZ","18-64",70,377878,2,377599,3
"AZ","18-64",71,331890,4,331572,8
"AZ","18-64",72,307169,0,306829,1
"AZ","18-64",73,289881,0,289527,1
"AZ","18-64",74,270832,1,270458,1
"AZ","18-64",75,249027,0,248627,0
"AZ","18-64",76,225721,2,225305,1
"AZ","18-64",77,197317,0,196870,0
"AZ","18-64",78,156575,3,156099,4
"AZ","18-64",79,130346,0,129849,1
"AZ","18-64",80,113985,1,113465,1
"AZ","18-64",81,102687,0,102150,2
"AZ","18-64",82,92149,0,91591,1
"AZ","18-64",83,83735,1,83171,1
"AZ","18-64",84,75964,1,75398,0
"AZ","18-64",85,59177,0,58596,1
"AZ","18-64",86,52549,0,51965,0
"AZ","18-64",87,48472,0,47885,2
"AZ","18-64",88,45080,0,44485,0
"AZ","18-64",89,42004,0,41416,0
"AZ","18-64",90,39171,1,38586,1
"PB","18-64",1,1014670,8,1014670,3
"PB","18-64",2,911663,11,911668,5
"PB","18-64",3,841974,6,841983,2
