"vacc_type","Subgroup","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"AZ","18-64",1,1187191,17,1187187,15
"AZ","18-64",2,1083603,17,1083612,4
"AZ","18-64",3,1014166,15,1014200,6
"AZ","18-64",4,963513,11,963571,12
"AZ","18-64",5,926561,14,926631,7
"AZ","18-64",6,898951,8,899046,10
"AZ","18-64",7,875396,15,875510,9
"AZ","18-64",8,854750,8,854883,8
"AZ","18-64",9,838510,6,838656,11
"AZ","18-64",10,825693,12,825839,8
"AZ","18-64",11,814370,9,814530,5
"AZ","18-64",12,804211,4,804382,7
"AZ","18-64",13,794810,10,794986,10
"AZ","18-64",14,784025,13,784203,6
"AZ","18-64",15,772529,12,772726,6
"AZ","18-64",16,761944,8,762160,8
"AZ","18-64",17,751274,8,751488,6
"AZ","18-64",18,741469,2,741687,6
"AZ","18-64",19,730258,4,730474,7
"AZ","18-64",20,722161,7,722380,9
"AZ","18-64",21,712803,3,713025,6
"AZ","18-64",22,702905,5,703125,3
"AZ","18-64",23,689400,4,689625,5
"AZ","18-64",24,677687,5,677913,3
"AZ","18-64",25,664238,6,664467,1
"AZ","18-64",26,653313,6,653555,3
"AZ","18-64",27,644067,3,644306,3
"AZ","18-64",28,632974,5,633214,4
"AZ","18-64",29,619657,5,619890,4
"AZ","18-64",30,604782,6,605018,2
"AZ","18-64",31,586876,7,587105,1
"AZ","18-64",32,570937,8,571163,2
"AZ","18-64",33,553619,3,553840,5
"AZ","18-64",34,540659,3,540873,1
"AZ","18-64",35,524404,2,524616,1
"AZ","18-64",36,507296,5,507500,4
"AZ","18-64",37,491687,4,491875,1
"AZ","18-64",38,476570,0,476744,2
"AZ","18-64",39,460485,4,460633,2
"AZ","18-64",40,446303,3,446440,4
"AZ","18-64",41,430606,2,430727,1
"AZ","18-64",42,410766,2,410859,1
"AZ","18-64",43,389402,2,389479,1
"AZ","18-64",44,370407,1,370471,0
"AZ","18-64",45,353167,0,353220,1
"AZ","18-64",46,339299,1,339320,1
"AZ","18-64",47,328516,0,328519,0
"AZ","18-64",48,319991,2,319981,1
"AZ","18-64",49,310849,1,310832,0
"AZ","18-64",50,300201,2,300179,0
"AZ","18-64",51,290815,2,290791,0
"AZ","18-64",52,283189,0,283163,1
"AZ","18-64",53,274463,1,274428,2
"AZ","18-64",54,261382,0,261338,1
"AZ","18-64",55,252808,2,252759,0
"AZ","18-64",56,239361,1,239304,0
"AZ","18-64",57,218408,1,218338,0
