"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"All",1,2565387,128,2565373,46
"All",2,2322856,118,2323100,32
"All",3,2152214,109,2152751,26
"All",4,2025066,79,2025850,36
"All",5,1931974,83,1932972,26
"All",6,1863824,69,1865044,34
"All",7,1805436,94,1806853,34
"All",8,1752130,48,1753716,36
"All",9,1713011,49,1714749,33
"All",10,1682052,58,1683923,37
"All",11,1656283,52,1658275,34
"All",12,1633760,54,1635867,36
"All",13,1612807,51,1615030,37
"All",14,1587183,49,1589522,30
"All",15,1563038,38,1565470,23
"All",16,1541474,37,1543999,25
"All",17,1521797,36,1524399,25
"All",18,1504756,34,1507435,21
"All",19,1488230,30,1490984,18
"All",20,1475701,30,1478547,22
"All",21,1462270,25,1465179,23
"All",22,1444091,22,1447048,13
"All",23,1426218,26,1429252,15
"All",24,1411328,38,1414433,15
"All",25,1395536,32,1398720,8
"All",26,1383079,25,1386347,9
"All",27,1372601,22,1375922,11
"All",28,1360009,16,1363369,12
"All",29,1344466,12,1347873,8
"All",30,1328113,22,1331551,5
"All",31,1308874,32,1312337,6
"All",32,1291625,24,1295159,8
"All",33,1273223,9,1276800,10
"All",34,1259090,21,1262681,7
"All",35,1241604,13,1245231,8
"All",36,1222184,19,1225824,7
"All",37,1205082,24,1208734,4
"All",38,1188503,15,1192179,6
"All",39,1170937,12,1174623,6
"All",40,1155194,10,1158899,9
"All",41,1137716,12,1141422,4
"All",42,1115715,9,1119421,4
"All",43,1091183,15,1094857,4
"All",44,1070062,19,1073744,4
"All",45,1050771,10,1054470,3
"All",46,1034877,12,1038560,6
"All",47,1021938,10,1025632,1
"All",48,1011213,18,1014917,5
"All",49,999003,5,1002730,2
"All",50,982784,8,986489,7
"All",51,969595,11,973306,6
"All",52,958274,8,961985,3
"All",53,944875,3,948591,4
"All",54,926880,6,930579,1
"All",55,910357,7,914023,0
"All",56,887665,5,891264,2
"All",57,847993,10,851453,1
"All",58,815051,14,818453,5
"All",59,784143,4,787453,3
"All",60,753820,8,757037,4
"All",61,724584,6,727720,4
"All",62,696515,2,699489,2
"All",63,661772,8,664559,2
"All",64,609356,2,611913,2
"All",65,574275,1,576704,5
"All",66,544997,2,547320,4
"All",67,518017,2,520234,2
"All",68,492579,3,494644,0
"All",69,469806,3,471730,0
"All",70,440403,4,442116,1
"All",71,356536,1,357641,0
"All",72,324339,2,325185,2
"All",73,296916,2,297538,1
"All",74,275367,0,275844,1
"All",75,253394,0,253699,1
"All",76,229092,0,229202,1
"All",77,194971,1,194800,0
"All",78,129240,0,128509,1
"All",79,108207,0,107288,2
"All",80,92001,0,90996,1
"All",81,81175,0,80094,1
"All",82,70284,1,69247,0
"All",83,63875,0,62819,0
"All",84,55343,0,54319,0
"All",85,23133,0,21788,1
"All",86,18911,0,17700,0
"All",87,16798,0,15689,1
"All",88,15388,0,14354,0
"All",89,14327,0,13368,0
"All",90,13736,0,12794,0
"AZ",1,1738364,98,1738352,42
"AZ",2,1563466,79,1563640,25
"AZ",3,1441503,77,1441889,21
"AZ",4,1351032,52,1351592,30
"AZ",5,1283329,57,1284046,23
"AZ",6,1231312,48,1232179,30
"AZ",7,1186358,72,1187362,20
"AZ",8,1146402,35,1147540,20
"AZ",9,1116433,29,1117673,22
"AZ",10,1092747,39,1094067,23
"AZ",11,1072617,32,1074023,22
"AZ",12,1055000,27,1056484,22
"AZ",13,1038996,25,1040555,26
"AZ",14,1022688,34,1024323,21
"AZ",15,1005960,28,1007665,16
"AZ",16,991528,22,993308,17
"AZ",17,977750,21,979579,15
"AZ",18,965478,13,967367,14
"AZ",19,952260,18,954188,11
"AZ",20,942464,18,944456,18
"AZ",21,931730,13,933758,15
"AZ",22,920563,15,922611,7
"AZ",23,906128,11,908224,11
"AZ",24,893687,20,895823,12
"AZ",25,879689,18,881869,4
"AZ",26,868382,12,870606,7
"AZ",27,858874,12,861120,8
"AZ",28,847552,9,849816,7
"AZ",29,833902,8,836195,5
"AZ",30,818676,13,820999,3
"AZ",31,800457,18,802787,3
"AZ",32,784168,16,786534,7
"AZ",33,766575,5,768962,8
"AZ",34,753445,14,755835,4
"AZ",35,736889,8,739300,2
"AZ",36,719425,9,721849,5
"AZ",37,703501,8,705929,2
"AZ",38,688061,5,690494,4
"AZ",39,671638,7,674077,2
"AZ",40,657129,6,659578,7
"AZ",41,641181,2,643625,4
"AZ",42,621007,4,623438,3
"AZ",43,598727,7,601139,1
"AZ",44,579184,10,581598,1
"AZ",45,561340,2,563764,1
"AZ",46,546916,6,549321,4
"AZ",47,535463,1,537867,1
"AZ",48,526492,7,528893,3
"AZ",49,516768,1,519191,1
"AZ",50,504621,2,507033,4
"AZ",51,494158,4,496575,4
"AZ",52,485691,0,488108,1
"AZ",53,475856,3,478273,2
"AZ",54,461596,1,464011,1
"AZ",55,451725,2,454114,0
"AZ",56,436454,1,438806,1
"AZ",57,411212,3,413470,0
"AZ",58,387127,10,389365,4
"AZ",59,364056,2,366229,1
"AZ",60,341957,4,344073,2
"AZ",61,322014,1,324069,1
"AZ",62,307744,2,309704,1
"AZ",63,289458,6,291276,0
"AZ",64,264341,1,265998,0
"AZ",65,246008,0,247576,4
"AZ",66,230668,1,232153,2
"AZ",67,216296,1,217719,2
"AZ",68,203853,1,205183,0
"AZ",69,191813,1,193039,0
"AZ",70,176247,1,177326,0
"AZ",71,141736,0,142346,0
"AZ",72,126587,0,127026,1
"AZ",73,113273,0,113556,0
"AZ",74,104344,0,104550,0
"AZ",75,95895,0,96000,0
"AZ",76,88624,0,88630,1
"AZ",77,77791,0,77689,0
"AZ",78,48211,0,47776,1
"AZ",79,42440,0,41953,0
"AZ",80,38315,0,37803,0
"AZ",81,35197,0,34656,1
