"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Urban/Rural index: 2 Other Urban Areas","uv",0.385679807366907,0.236931223520253,-0.00442727446177071,0.487265380158672,-0.00908596145354924,"Urban/Rural index","2 Other Urban Areas","PB","Matched"
"2","Urban/Rural index: 2 Other Urban Areas","vacc",0.390107081828677,0.237923877882098,-0.00442727446177071,0.487265380158672,-0.00908596145354924,"Urban/Rural index","2 Other Urban Areas","PB","Matched"
"3","Urban/Rural index: 6 Remote Rural","uv",0.05186136322173,0.0491718307068344,-0.00347608589385961,0.225218915001974,-0.0154342537962637,"Urban/Rural index","6 Remote Rural","PB","Matched"
"4","Urban/Rural index: 6 Remote Rural","vacc",0.0553374491155896,0.0522752886424983,-0.00347608589385961,0.225218915001974,-0.0154342537962637,"Urban/Rural index","6 Remote Rural","PB","Matched"
"5","Urban/Rural index: 5 Accessible Rural","uv",0.086294946445159,0.0788482384722155,0.000956759218382036,0.280092777670424,0.00341586536553907,"Urban/Rural index","5 Accessible Rural","PB","Matched"
"6","Urban/Rural index: 5 Accessible Rural","vacc",0.085338187226777,0.0780556897340514,0.000956759218382036,0.280092777670424,0.00341586536553907,"Urban/Rural index","5 Accessible Rural","PB","Matched"
"7","Urban/Rural index: 1 Large Urban Areas","uv",0.325671367831443,0.219609833846132,0.00233549520993692,0.468187956190796,0.00498837097164704,"Urban/Rural index","1 Large Urban Areas","PB","Matched"
"8","Urban/Rural index: 1 Large Urban Areas","vacc",0.323335872621506,0.218790090798097,0.00233549520993692,0.468187956190796,0.00498837097164704,"Urban/Rural index","1 Large Urban Areas","PB","Matched"
"9","Urban/Rural index: 3 Accessible Small Towns","uv",0.103481795810592,0.0927734429477511,0.00690899924656953,0.300016712851973,0.0230287145702393,"Urban/Rural index","3 Accessible Small Towns","PB","Matched"
"10","Urban/Rural index: 3 Accessible Small Towns","vacc",0.0965727965640228,0.0872466130332558,0.00690899924656953,0.300016712851973,0.0230287145702393,"Urban/Rural index","3 Accessible Small Towns","PB","Matched"
"11","Urban/Rural index: 4 Remote Small Towns","uv",0.0444106182168626,0.0424383743085156,-0.00229789331925816,0.208524893963686,-0.0110197553662745,"Urban/Rural index","4 Remote Small Towns","PB","Matched"
"12","Urban/Rural index: 4 Remote Small Towns","vacc",0.0467085115361208,0.0445268884966174,-0.00229789331925816,0.208524893963686,-0.0110197553662745,"Urban/Rural index","4 Remote Small Towns","PB","Matched"
"13","Urban/Rural index: Unknown","uv",0.00260010110730605,0.00259334419315852,0,0.0509248877579373,0,"Urban/Rural index","Unknown","PB","Matched"
"14","Urban/Rural index: Unknown","vacc",0.00260010110730605,0.00259334419315852,0,0.0509248877579373,0,"Urban/Rural index","Unknown","PB","Matched"
"15","Smoker status: Unknown","uv",0.198482276279195,0.159087283837655,0.00179653477687455,0.398175818246162,0.00451191331705606,"Smoker status","Unknown","PB","Matched"
"16","Smoker status: Unknown","vacc",0.196685741502321,0.158000680634346,0.00179653477687455,0.398175818246162,0.00451191331705606,"Smoker status","Unknown","PB","Matched"
"17","Smoker status: Non Smoker","uv",0.385271757219911,0.236837760141094,-0.0160601853076879,0.488417193179029,-0.0328821047497421,"Smoker status","Non Smoker","PB","Matched"
"18","Smoker status: Non Smoker","vacc",0.401331942527599,0.240264949044668,-0.0160601853076879,0.488417193179029,-0.0328821047497421,"Smoker status","Non Smoker","PB","Matched"
"19","Smoker status: Smoker","uv",0.251875568380431,0.188434528860295,0.0177299877863488,0.428810101487618,0.0413469452441544,"Smoker status","Smoker","PB","Matched"
"20","Smoker status: Smoker","vacc",0.234145580594082,0.179321677415347,0.0177299877863488,0.428810101487618,0.0413469452441544,"Smoker status","Smoker","PB","Matched"
"21","Smoker status: Ex Smoker","uv",0.164370398120463,0.137352961628362,-0.0034663372555355,0.37216980114784,-0.00931385954702578,"Smoker status","Ex Smoker","PB","Matched"
"22","Smoker status: Ex Smoker","vacc",0.167836735375998,0.139667760144484,-0.0034663372555355,0.37216980114784,-0.00931385954702578,"Smoker status","Ex Smoker","PB","Matched"
