"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Thrombosis or pulmonary embolus: 1","uv",0.0216169091524395,0.0211496478457622,0.00165448318986587,0.142677262737009,0.0115959835374436,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"2","Thrombosis or pulmonary embolus: 1","vacc",0.0199624259625736,0.0195639547584888,0.00165448318986587,0.142677262737009,0.0115959835374436,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"3","Stroke/TIA: 1","uv",0.0396226441370993,0.0380527432032944,0.00286192167943971,0.191653547134357,0.0149327874293576,"Stroke/TIA",1,"PB","Matched"
"4","Stroke/TIA: 1","vacc",0.0367607224576596,0.0354094210550676,0.00286192167943971,0.191653547134357,0.0149327874293576,"Stroke/TIA",1,"PB","Matched"
"5","Sickle cell disease: 1","uv",0.000795210354725095,0.000794579101804048,-3.76018906787698e-05,0.0285192823351922,-0.00131847254207971,"Sickle cell disease",1,"PB","Matched"
"6","Sickle cell disease: 1","vacc",0.000832812245403865,0.000832119828024768,-3.76018906787698e-05,0.0285192823351922,-0.00131847254207971,"Sickle cell disease",1,"PB","Matched"
"7","Severe mental illness: 1","uv",0.153027161099034,0.129610029567733,0.0149599818396795,0.352572565985269,0.0424309299218265,"Severe mental illness",1,"PB","Matched"
"8","Severe mental illness: 1","vacc",0.138067179259354,0.119004799003141,0.0149599818396795,0.352572565985269,0.0424309299218265,"Severe mental illness",1,"PB","Matched"
"9","Rheumatoid arthritis or SLE: 1","uv",0.014998976392976,0.0147740276751915,0.000313349088989749,0.120921477582699,0.00259134353345498,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"10","Rheumatoid arthritis or SLE: 1","vacc",0.0146856273039862,0.014469979806375,0.000313349088989749,0.120921477582699,0.00259134353345498,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"11","Respiratory cancer: 1","uv",0.00293016214770858,0.00292158036626175,1.5319288795054e-05,0.0539811585824607,0.000283789551712799,"Respiratory cancer",1,"PB","Matched"
"12","Respiratory cancer: 1","vacc",0.00291484285891353,0.00290635059754779,1.5319288795054e-05,0.0539811585824607,0.000283789551712799,"Respiratory cancer",1,"PB","Matched"
"13","Pulmonary rare: 1","uv",0.00688532398206808,0.00683792581870846,0.000265998559986853,0.0818945814116024,0.00324806056031892,"Pulmonary rare",1,"PB","Matched"
"14","Pulmonary rare: 1","vacc",0.00661932542208122,0.00657551911045469,0.000265998559986853,0.0818945814116024,0.00324806056031892,"Pulmonary rare",1,"PB","Matched"
"15","Pulmonary hypertension: 1","uv",0.00196086896576696,0.00195702668410669,0.00016990483936333,0.0432711552178296,0.00392651498459006,"Pulmonary hypertension",1,"PB","Matched"
"16","Pulmonary hypertension: 1","vacc",0.00179096412640363,0.00178775906366432,0.00016990483936333,0.0432711552178296,0.00392651498459006,"Pulmonary hypertension",1,"PB","Matched"
"17","Peripheral vascular disease: 1","uv",0.0149237726116184,0.0147010740963675,0.000821670944462009,0.119591650742803,0.00687063803667297,"Peripheral vascular disease",1,"PB","Matched"
"18","Peripheral vascular disease: 1","vacc",0.0141021016671564,0.0139032517584095,0.000821670944462009,0.119591650742803,0.00687063803667297,"Peripheral vascular disease",1,"PB","Matched"
"19","Parkinson's: 1","uv",0.00297333468885828,0.00296449809826232,0.000265998559986853,0.0532189267011578,0.00499819474903214,"Parkinson's",1,"PB","Matched"
"20","Parkinson's: 1","vacc",0.00270733612887143,0.00270001022018409,0.000265998559986853,0.0532189267011578,0.00499819474903214,"Parkinson's",1,"PB","Matched"
"21","Neurological disorder: 1","uv",0.00481443466950027,0.00479126256085333,-0.000150407562715079,0.0697547920030771,-0.00215623268876559,"Neurological disorder",1,"PB","Matched"
"22","Neurological disorder: 1","vacc",0.00496484223221535,0.00494019945393177,-0.000150407562715079,0.0697547920030771,-0.00215623268876559,"Neurological disorder",1,"PB","Matched"
"23","Learning disability or Down's: 0","uv",0.988160975086658,0.0116988786951481,-0.001580672071126,0.104527536740738,-0.0151220637203628,"Learning disability or Down's",0,"PB","Matched"
"24","Learning disability or Down's: 0","vacc",0.989741647157784,0.0101531331790245,-0.001580672071126,0.104527536740738,-0.0151220637203628,"Learning disability or Down's",0,"PB","Matched"
"25","Learning disability or Down's: 1","uv",0.0115047858850858,0.0113724416247279,0.0015388921925941,0.103051031098723,0.0149333022308125,"Learning disability or Down's",1,"PB","Matched"
"26","Learning disability or Down's: 1","vacc",0.00996589369249174,0.00986658839629219,0.0015388921925941,0.103051031098723,0.0149333022308125,"Learning disability or Down's",1,"PB","Matched"
"27","Learning disability or Down's: 2","uv",0.000334239028255732,0.000334127777850573,4.17798785319665e-05,0.0176988954796615,0.00236059242114726,"Learning disability or Down's",2,"PB","Matched"
"28","Learning disability or Down's: 2","vacc",0.000292459149723765,0.000292374024549391,4.17798785319665e-05,0.0176988954796615,0.00236059242114726,"Learning disability or Down's",2,"PB","Matched"
"29","Kidney disease: 0","uv",0.950815334329551,0.0467655994623011,-0.00250540004930022,0.213618788053362,-0.0117283693636272,"Kidney disease",0,"PB","Matched"
"30","Kidney disease: 0","vacc",0.953320734378852,0.0445003737564734,-0.00250540004930022,0.213618788053362,-0.0117283693636272,"Kidney disease",0,"PB","Matched"
"31","Kidney disease: 3","uv",0.0463213513283912,0.0441757452617792,0.00210431321539337,0.207891432931172,0.0101221737987157,"Kidney disease",3,"PB","Matched"
"32","Kidney disease: 3","vacc",0.0442170381129979,0.042261950510573,0.00210431321539337,0.207891432931172,0.0101221737987157,"Kidney disease",3,"PB","Matched"
"33","Kidney disease: 5","uv",0.00150129030191533,0.00149903851701901,0.000327275715167071,0.036549120554523,0.00895440738933374,"Kidney disease",5,"PB","Matched"
"34","Kidney disease: 5","vacc",0.00117401458674826,0.00117263790959911,0.000327275715167071,0.036549120554523,0.00895440738933374,"Kidney disease",5,"PB","Matched"
"35","Kidney disease: 4","uv",0.00136202404014211,0.00136017082493099,7.38111187398075e-05,0.0363780568854428,0.00202900113582878,"Kidney disease",4,"PB","Matched"
"36","Kidney disease: 4","vacc",0.0012882129214023,0.00128655522059003,7.38111187398075e-05,0.0363780568854428,0.00202900113582878,"Kidney disease",4,"PB","Matched"
"37","Heart failure: 1","uv",0.0144126654309107,0.0142049602886186,0.00130910286066828,0.116483555741943,0.0112385207708499,"Heart failure",1,"PB","Matched"
"38","Heart failure: 1","vacc",0.0131035625702424,0.0129318772279542,0.00130910286066828,0.116483555741943,0.0112385207708499,"Heart failure",1,"PB","Matched"
"39","Fracture: 1","uv",0.049468768844466,0.0470216752391715,0.00339670412464887,0.213273493452216,0.0159265179637051,"Fracture",1,"PB","Matched"
"40","Fracture: 1","vacc",0.0460720647198172,0.0439494907794536,0.00339670412464887,0.213273493452216,0.0159265179637051,"Fracture",1,"PB","Matched"
"41","Epilepsy: 1","uv",0.0153652466614395,0.0151291769263716,0.00176450353666672,0.119467482021596,0.0147697390688099,"Epilepsy",1,"PB","Matched"
"42","Epilepsy: 1","vacc",0.0136007431247728,0.0134157815947892,0.00176450353666672,0.119467482021596,0.0147697390688099,"Epilepsy",1,"PB","Matched"
"43","Diabetes type 2: 1","uv",0.0974515666758118,0.0879548813196559,0.00470441432269943,0.293342902240052,0.0160372529445067,"Diabetes type 2",1,"PB","Matched"
"44","Diabetes type 2: 1","vacc",0.0927471523531124,0.0841452352695774,0.00470441432269943,0.293342902240052,0.0160372529445067,"Diabetes type 2",1,"PB","Matched"
"45","Diabetes type 1: 1","uv",0.0061123962292267,0.00607504330201336,-1.81046140305188e-05,0.0779999025321465,-0.00023211072633145,"Diabetes type 1",1,"PB","Matched"
"46","Diabetes type 1: 1","vacc",0.00613050084325722,0.00609292628803535,-1.81046140305188e-05,0.0779999025321465,-0.00023211072633145,"Diabetes type 1",1,"PB","Matched"
"47","Dementia: 1","uv",0.00658450885663792,0.00654116220929827,0.00111413009418577,0.0774003343164911,0.0143943834871575,"Dementia",1,"PB","Matched"
"48","Dementia: 1","vacc",0.00547037876245214,0.00544046129531092,0.00111413009418577,0.0774003343164911,0.0143943834871575,"Dementia",1,"PB","Matched"
"49","Coronary heart disease: 1","uv",0.072492267240815,0.0672372320701137,0.00343291335270991,0.25644442003368,0.0133865784728678,"Coronary heart disease",1,"PB","Matched"
"50","Coronary heart disease: 1","vacc",0.0690593538881051,0.0642902490627068,0.00343291335270991,0.25644442003368,0.0133865784728678,"Coronary heart disease",1,"PB","Matched"
"51","COPD: 1","uv",0.0444370788065995,0.0424624839694885,0.00462781787872416,0.20085694022838,0.0230403683012507,"COPD",1,"PB","Matched"
"52","COPD: 1","vacc",0.0398092609278754,0.0382245369063251,0.00462781787872416,0.20085694022838,0.0230403683012507,"COPD",1,"PB","Matched"
"53","Congenital  heart disease: 1","uv",0.0119699351994084,0.0118266723212271,0.000208899392659832,0.108280659287037,0.00192924012501687,"Congenital  heart disease",1,"PB","Matched"
"54","Congenital  heart disease: 1","vacc",0.0117610358067486,0.0116227300300437,0.000208899392659832,0.108280659287037,0.00192924012501687,"Congenital  heart disease",1,"PB","Matched"
"55","Cirrhosis: 1","uv",0.00797717147437013,0.00791354723042913,0.00064758811724548,0.0871476274149576,0.00743093227497701,"Cirrhosis",1,"PB","Matched"
"56","Cirrhosis: 1","vacc",0.00732958335712465,0.00727587069768342,0.00064758811724548,0.0871476274149576,0.00743093227497701,"Cirrhosis",1,"PB","Matched"
"57","Cerebalpalsy: 1","uv",0.00115590997271774,0.00115457545279008,9.47010580057907e-05,0.0332765659245928,0.00284587833433265,"Cerebalpalsy",1,"PB","Matched"
"58","Cerebalpalsy: 1","vacc",0.00106120891471195,0.00106008422667746,9.47010580057907e-05,0.0332765659245928,0.00284587833433265,"Cerebalpalsy",1,"PB","Matched"
"59","Care housing category: 0","uv",0.996894362362457,0.00309599696406279,-4.03872159141505e-05,0.0554610488603371,-0.000728208657139793,"Care housing category",0,"PB","Matched"
"60","Care housing category: 0","vacc",0.996934749578371,0.0030558589173146,-4.03872159141505e-05,0.0554610488603371,-0.000728208657139793,"Care housing category",0,"PB","Matched"
"61","Care housing category: 1","uv",0.00251793401285985,0.00251159751896415,-0.000185224128158384,0.0510267202083588,-0.00362994382946922,"Care housing category",1,"PB","Matched"
"62","Care housing category: 1","vacc",0.00270315814101823,0.00269585483148012,-0.000185224128158384,0.0510267202083588,-0.00362994382946922,"Care housing category",1,"PB","Matched"
"63","Care housing category: 2","uv",0.000587703624682995,0.000587359047128845,0.000225611344072619,0.0217867014599804,0.0103554613114354,"Care housing category",2,"PB","Matched"
"64","Care housing category: 2","vacc",0.000362092280610376,0.000361961673883776,0.000225611344072619,0.0217867014599804,0.0103554613114354,"Care housing category",2,"PB","Matched"
"65","Blood cancer: 1","uv",0.00625026982838219,0.00621121260552896,0.00011976898512497,0.078435128907793,0.00152698142774482,"Blood cancer",1,"PB","Matched"
"66","Blood cancer: 1","vacc",0.00613050084325722,0.00609292628803526,0.00011976898512497,0.078435128907793,0.00152698142774482,"Blood cancer",1,"PB","Matched"
"67","Atrial fibrillation: 1","uv",0.0337846024435658,0.0326432485424453,0.00210849120324657,0.17792698850456,0.0118503169247566,"Atrial fibrillation",1,"PB","Matched"
"68","Atrial fibrillation: 1","vacc",0.0316761112403193,0.0306727779341586,0.00210849120324657,0.17792698850456,0.0118503169247566,"Atrial fibrillation",1,"PB","Matched"
"69","Asthma: 1","uv",0.131588512761664,0.11427313521394,0.00218369498460411,0.336847519675181,0.00648274028174475,"Asthma",1,"PB","Matched"
"70","Asthma: 1","vacc",0.12940481777706,0.112659367808703,0.00218369498460411,0.336847519675181,0.00648274028174475,"Asthma",1,"PB","Matched"
"71","Thrombosis or pulmonary embolus: 1","uv",0.0304422289299013,0.0295155186892192,0.00270459820442578,0.168053251489108,0.0160936975658639,"Thrombosis or pulmonary embolus",1,"AZ","Matched"
"72","Thrombosis or pulmonary embolus: 1","vacc",0.0277376307254755,0.0269682719829037,0.00270459820442578,0.168053251489108,0.0160936975658639,"Thrombosis or pulmonary embolus",1,"AZ","Matched"
"73","Stroke/TIA: 1","uv",0.0472310158259034,0.0450002760299373,0.00316569732523762,0.20871496045899,0.0151675630643624,"Stroke/TIA",1,"AZ","Matched"
"74","Stroke/TIA: 1","vacc",0.0440653185006658,0.0421235934088579,0.00316569732523762,0.20871496045899,0.0151675630643624,"Stroke/TIA",1,"AZ","Matched"
"75","Sickle cell disease: 1","uv",0.00101196403685177,0.00101094061848186,2.77692747827861e-05,0.0315766319940406,0.000879424847717356,"Sickle cell disease",1,"AZ","Matched"
"76","Sickle cell disease: 1","vacc",0.000984194762068979,0.000983226757692275,2.77692747827861e-05,0.0315766319940406,0.000879424847717356,"Sickle cell disease",1,"AZ","Matched"
"77","Severe mental illness: 1","uv",0.164300466136338,0.137305911634094,0.0164516808160808,0.362832960878262,0.0453422995977499,"Severe mental illness",1,"AZ","Matched"
"78","Severe mental illness: 1","vacc",0.147848785320257,0.12598960336528,0.0164516808160808,0.362832960878262,0.0453422995977499,"Severe mental illness",1,"AZ","Matched"
"79","Rheumatoid arthritis or SLE: 1","uv",0.0178382071639563,0.0175200168436748,0.000583154770438511,0.13129612209571,0.00444152318537949,"Rheumatoid arthritis or SLE",1,"AZ","Matched"
"80","Rheumatoid arthritis or SLE: 1","vacc",0.0172550523935177,0.0169573265110682,0.000583154770438511,0.13129612209571,0.00444152318537949,"Rheumatoid arthritis or SLE",1,"AZ","Matched"
"81","Respiratory cancer: 1","uv",0.00425903179517383,0.00424089518198301,0.000372624919759712,0.0636875199663121,0.00585083105696084,"Respiratory cancer",1,"AZ","Matched"
"82","Respiratory cancer: 1","vacc",0.00388640687541412,0.0038713052169358,0.000372624919759712,0.0636875199663121,0.00585083105696084,"Respiratory cancer",1,"AZ","Matched"
"83","Pulmonary rare: 1","uv",0.0092239198075008,0.00913884501289087,0.000563780857799357,0.0941381737135029,0.00598886546827592,"Pulmonary rare",1,"AZ","Matched"
"84","Pulmonary rare: 1","vacc",0.00866013894970145,0.00858514648733641,0.000563780857799357,0.0941381737135029,0.00598886546827592,"Pulmonary rare",1,"AZ","Matched"
"85","Pulmonary hypertension: 1","uv",0.00393677904827592,0.00392128335131828,0.000493388975210433,0.0606334012955839,0.00813724720480704,"Pulmonary hypertension",1,"AZ","Matched"
"86","Pulmonary hypertension: 1","vacc",0.00344339007306548,0.00343153535402435,0.000493388975210433,0.0606334012955839,0.00813724720480704,"Pulmonary hypertension",1,"AZ","Matched"
"87","Peripheral vascular disease: 1","uv",0.017248594422638,0.0169510913597444,0.0013451953342452,0.127674551991178,0.0105361273117148,"Peripheral vascular disease",1,"AZ","Matched"
"88","Peripheral vascular disease: 1","vacc",0.0159033990883928,0.0156504910925516,0.0013451953342452,0.127674551991178,0.0105361273117148,"Peripheral vascular disease",1,"AZ","Matched"
"89","Parkinson's: 1","uv",0.0037792045588108,0.00376492460301445,0.000472077671307365,0.0594185010365438,0.00794496096454917,"Parkinson's",1,"AZ","Matched"
"90","Parkinson's: 1","vacc",0.00330712688750344,0.00329619192784506,0.000472077671307365,0.0594185010365438,0.00794496096454917,"Parkinson's",1,"AZ","Matched"
"91","Neurological disorder: 1","uv",0.00692294478305738,0.00687502205859609,5.94133320934026e-05,0.0827388960759127,0.000718082243191776,"Neurological disorder",1,"AZ","Matched"
"92","Neurological disorder: 1","vacc",0.00686353145096398,0.00681642778912526,5.94133320934026e-05,0.0827388960759127,0.000718082243191776,"Neurological disorder",1,"AZ","Matched"
"93","Learning disability or Down's: 0","uv",0.981056834018524,0.0185843344461773,-0.000539240568456445,0.135369064144457,-0.00398348449746983,"Learning disability or Down's",0,"AZ","Matched"
"94","Learning disability or Down's: 0","vacc",0.981596074586981,0.0180652326085151,-0.000539240568456445,0.135369064144457,-0.00398348449746983,"Learning disability or Down's",0,"AZ","Matched"
"95","Learning disability or Down's: 2","uv",0.000456578541196042,0.000456370371963764,-1.16243475834919e-05,0.0214983063174044,-0.000540709924394423,"Learning disability or Down's",2,"AZ","Matched"
"96","Learning disability or Down's: 2","vacc",0.000468202888779534,0.000467983977070138,-1.16243475834919e-05,0.0214983063174044,-0.000540709924394423,"Learning disability or Down's",2,"AZ","Matched"
"97","Learning disability or Down's: 1","uv",0.0184865874402799,0.0181448452430627,0.000550864916039923,0.133714040025778,0.00411972382207377,"Learning disability or Down's",1,"AZ","Matched"
"98","Learning disability or Down's: 1","vacc",0.01793572252424,0.017614043756968,0.000550864916039923,0.133714040025778,0.00411972382207377,"Learning disability or Down's",1,"AZ","Matched"
"99","Kidney disease: 0","uv",0.937415158407568,0.0586680170847884,-0.00195030720567468,0.240443383662902,-0.00811129495835488,"Kidney disease",0,"AZ","Matched"
