"","label","levels","v1_pb","v2_pb"
"1","event","0","804030 (100.0)","804104 (100.0)"
"2","","1","127 (0.0)","53 (0.0)"
"3","event_hosp","0","804033 (100.0)","804106 (100.0)"
"4","","1","124 (0.0)","51 (0.0)"
"5","event_death","0","804149 (100.0)","804153 (100.0)"
"6","","1","8 (0.0)","4 (0.0)"
"7","Sex","F","487986 (60.7)","489695 (60.9)"
"8","","M","316171 (39.3)","314462 (39.1)"
"9","ageYear","Mean (SD)","55.7 (16.3)","55.7 (16.3)"
"10","age_grp","18-64","477463 (59.4)","477463 (59.4)"
"11","","65-79","309227 (38.5)","309227 (38.5)"
"12","","80+","17467 (2.2)","17467 (2.2)"
"13","simd2020_sc_quintile","1 - High","151677 (18.9)","146007 (18.2)"
"14","","2","155786 (19.4)","156764 (19.5)"
"15","","3","160067 (19.9)","159224 (19.8)"
"16","","4","171854 (21.4)","172514 (21.5)"
"17","","5-Low","161505 (20.1)","166380 (20.7)"
"18","","Missing","3268 (0.4)","3268 (0.4)"
"19","ur6_2016_name","1 Large Urban Areas","251524 (31.3)","251521 (31.3)"
"20","","2 Other Urban Areas","312777 (38.9)","317416 (39.5)"
"21","","3 Accessible Small Towns","82594 (10.3)","78303 (9.7)"
"22","","4 Remote Small Towns","37512 (4.7)","38999 (4.8)"
"23","","5 Accessible Rural","71831 (8.9)","69302 (8.6)"
"24","","6 Remote Rural","44651 (5.6)","45348 (5.6)"
"25","","Unknown","3268 (0.4)","3268 (0.4)"
"26","n_risk_gps","0","417623 (51.9)","425486 (52.9)"
"27","","1","236853 (29.5)","234623 (29.2)"
"28","","2","93452 (11.6)","91587 (11.4)"
"29","","3","35128 (4.4)","33360 (4.1)"
"30","","4","13467 (1.7)","12387 (1.5)"
"31","","5+","7634 (0.9)","6714 (0.8)"
"32","n_tests_gp","0","620308 (77.1)","618563 (76.9)"
"33","","1","111791 (13.9)","112146 (13.9)"
"34","","2","28112 (3.5)","27757 (3.5)"
"35","","3","8464 (1.1)","8748 (1.1)"
"36","","4-9","13868 (1.7)","14579 (1.8)"
"37","","10+","21614 (2.7)","22364 (2.8)"
"38","EAVE_Smoke","Ex Smoker","130257 (16.2)","131287 (16.3)"
"39","","Non Smoker","319435 (39.7)","324204 (40.3)"
"40","","Smoker","188694 (23.5)","183132 (22.8)"
"41","","Unknown","165771 (20.6)","165534 (20.6)"
"42","bmi_cat","Underweight","6454 (0.8)","6077 (0.8)"
"43","","Normal weight","101663 (12.6)","99595 (12.4)"
"44","","Overweight","514925 (64.0)","518706 (64.5)"
"45","","Obese","181115 (22.5)","179779 (22.4)"
"46","ave_hh_age","Mean (SD)","52.0 (18.0)","51.8 (18.1)"
"47","n_hh_gp","1","258768 (32.2)","253041 (31.5)"
"48","","2","286070 (35.6)","289688 (36.0)"
"49","","3-5","243344 (30.3)","245920 (30.6)"
"50","","6-10","15183 (1.9)","14720 (1.8)"
"51","","11-30","669 (0.1)","677 (0.1)"
"52","","31-100","92 (0.0)","97 (0.0)"
"53","","101+","31 (0.0)","14 (0.0)"
"54","Q_DIAG_AF","0","779630 (96.9)","780158 (97.0)"
"55","","1","24527 (3.1)","23999 (3.0)"
"56","Q_DIAG_ASTHMA","0","697707 (86.8)","699772 (87.0)"
"57","","1","106450 (13.2)","104385 (13.0)"
"58","Q_DIAG_BLOOD_CANCER","0","799588 (99.4)","799331 (99.4)"
"59","","1","4569 (0.6)","4826 (0.6)"
"60","Q_DIAG_CCF","0","793716 (98.7)","794334 (98.8)"
"61","","1","10441 (1.3)","9823 (1.2)"
"62","Q_DIAG_CEREBRALPALSY","0","803447 (99.9)","803266 (99.9)"
"63","","1","710 (0.1)","891 (0.1)"
"64","Q_DIAG_CHD","0","750595 (93.3)","752197 (93.5)"
"65","","1","53562 (6.7)","51960 (6.5)"
"66","Q_DIAG_CIRRHOSIS","0","798109 (99.2)","798619 (99.3)"
"67","","1","6048 (0.8)","5538 (0.7)"
"68","Q_DIAG_CONGEN_HD","0","796123 (99.0)","794969 (98.9)"
"69","","1","8034 (1.0)","9188 (1.1)"
"70","Q_DIAG_COPD","0","771807 (96.0)","774222 (96.3)"
"71","","1","32350 (4.0)","29935 (3.7)"
"72","Q_DIAG_DEMENTIA","0","799338 (99.4)","799243 (99.4)"
"73","","1","4819 (0.6)","4914 (0.6)"
"74","Q_DIAG_DIABETES_1","0","800147 (99.5)","799149 (99.4)"
"75","","1","4010 (0.5)","5008 (0.6)"
"76","Q_DIAG_DIABETES_2","0","731194 (90.9)","734495 (91.3)"
"77","","1","72963 (9.1)","69662 (8.7)"
"78","Q_DIAG_EPILEPSY","0","793859 (98.7)","793324 (98.7)"
"79","","1","10298 (1.3)","10833 (1.3)"
"80","Q_DIAG_FRACTURE","0","765924 (95.2)","767843 (95.5)"
"81","","1","38233 (4.8)","36314 (4.5)"
"82","Q_DIAG_NEURO","0","800515 (99.5)","800261 (99.5)"
"83","","1","3642 (0.5)","3896 (0.5)"
"84","Q_DIAG_PARKINSONS","0","801930 (99.7)","802038 (99.7)"
"85","","1","2227 (0.3)","2119 (0.3)"
"86","Q_DIAG_PULM_HYPER","0","802716 (99.8)","802754 (99.8)"
"87","","1","1441 (0.2)","1403 (0.2)"
"88","Q_DIAG_PULM_RARE","0","799157 (99.4)","799084 (99.4)"
"89","","1","5000 (0.6)","5073 (0.6)"
"90","Q_DIAG_PVD","0","792770 (98.6)","793549 (98.7)"
"91","","1","11387 (1.4)","10608 (1.3)"
"92","Q_DIAG_RA_SLE","0","793327 (98.7)","792736 (98.6)"
"93","","1","10830 (1.3)","11421 (1.4)"
"94","Q_DIAG_RESP_CANCER","0","801954 (99.7)","801978 (99.7)"
"95","","1","2203 (0.3)","2179 (0.3)"
"96","Q_DIAG_SEV_MENT_ILL","0","686729 (85.4)","695174 (86.4)"
"97","","1","117428 (14.6)","108983 (13.6)"
"98","Q_DIAG_SICKLE_CELL","0","803646 (99.9)","803476 (99.9)"
"99","","1","511 (0.1)","681 (0.1)"
"100","Q_DIAG_STROKE","0","774835 (96.4)","776401 (96.5)"
"101","","1","29322 (3.6)","27756 (3.5)"
"102","Q_DIAG_VTE","0","788253 (98.0)","788750 (98.1)"
"103","","1","15904 (2.0)","15407 (1.9)"
"104","Q_HOME_CAT","0","801959 (99.7)","801260 (99.6)"
"105","","1","1748 (0.2)","2618 (0.3)"
"106","","2","450 (0.1)","279 (0.0)"
"107","Q_LEARN_CAT","0","794806 (98.8)","795537 (98.9)"
"108","","1","9199 (1.1)","8303 (1.0)"
"109","","2","152 (0.0)","317 (0.0)"
"110","Q_DIAG_CKD_LEVEL","0","767736 (95.5)","768481 (95.6)"
"111","","3","34473 (4.3)","33604 (4.2)"
"112","","4","1006 (0.1)","1022 (0.1)"
"113","","5","942 (0.1)","1050 (0.1)"
