"","label","levels","v1","v2"
"1","event","0","2266126 (100.0)","2266371 (100.0)"
"2","","1","397 (0.0)","152 (0.0)"
"3","event_hosp","0","2266132 (100.0)","2266371 (100.0)"
"4","","1","391 (0.0)","152 (0.0)"
"5","event_death","0","2266478 (100.0)","2266518 (100.0)"
"6","","1","45 (0.0)","5 (0.0)"
"7","Sex","F","1229226 (54.2)","1225171 (54.1)"
"8","","M","1037297 (45.8)","1041352 (45.9)"
"9","ageYear","Mean (SD)","58.5 (15.0)","58.5 (15.0)"
"10","age_grp","18-64","1462302 (64.5)","1462302 (64.5)"
"11","","65-79","634115 (28.0)","634115 (28.0)"
"12","","80+","170106 (7.5)","170106 (7.5)"
"13","simd2020_sc_quintile","1 - High","441356 (19.5)","405097 (17.9)"
"14","","2","455732 (20.1)","438147 (19.3)"
"15","","3","463228 (20.4)","461320 (20.4)"
"16","","4","464793 (20.5)","479143 (21.1)"
"17","","5-Low","433973 (19.1)","475375 (21.0)"
"18","","Missing","7441 (0.3)","7441 (0.3)"
"19","ur6_2016_name","1 Large Urban Areas","703330 (31.0)","699666 (30.9)"
"20","","2 Other Urban Areas","848935 (37.5)","861375 (38.0)"
"21","","3 Accessible Small Towns","239628 (10.6)","228501 (10.1)"
"22","","4 Remote Small Towns","122030 (5.4)","120972 (5.3)"
"23","","5 Accessible Rural","221211 (9.8)","222003 (9.8)"
"24","","6 Remote Rural","123948 (5.5)","126565 (5.6)"
"25","","Unknown","7441 (0.3)","7441 (0.3)"
"26","n_risk_gps","0","1075965 (47.5)","1113933 (49.1)"
"27","","1","671412 (29.6)","669061 (29.5)"
"28","","2","302590 (13.4)","289957 (12.8)"
"29","","3","127945 (5.6)","116923 (5.2)"
"30","","4","54538 (2.4)","47616 (2.1)"
"31","","5+","34073 (1.5)","29033 (1.3)"
"32","n_tests_gp","0","1830882 (80.8)","1850070 (81.6)"
"33","","1","279403 (12.3)","272367 (12.0)"
"34","","2","67548 (3.0)","63101 (2.8)"
"35","","3","22864 (1.0)","20408 (0.9)"
"36","","4-9","33858 (1.5)","29173 (1.3)"
"37","","10+","31968 (1.4)","31404 (1.4)"
"38","EAVE_Smoke","Ex Smoker","377678 (16.7)","386389 (17.0)"
"39","","Non Smoker","845456 (37.3)","889830 (39.3)"
"40","","Smoker","591907 (26.1)","542060 (23.9)"
"41","","Unknown","451482 (19.9)","448244 (19.8)"
"42","bmi_cat","Underweight","23825 (1.1)","19685 (0.9)"
"43","","Normal weight","283868 (12.5)","273785 (12.1)"
"44","","Overweight","1440652 (63.6)","1450052 (64.0)"
"45","","Obese","518178 (22.9)","523001 (23.1)"
"46","ave_hh_age","Mean (SD)","54.2 (17.6)","54.3 (17.5)"
"47","n_hh_gp","1","805960 (35.6)","766856 (33.8)"
"48","","2","780716 (34.4)","807812 (35.6)"
"49","","3-5","635088 (28.0)","651533 (28.7)"
"50","","6-10","42210 (1.9)","38337 (1.7)"
"51","","11-30","1860 (0.1)","1647 (0.1)"
"52","","31-100","386 (0.0)","263 (0.0)"
"53","","101+","303 (0.0)","75 (0.0)"
"54","Q_DIAG_AF","0","2177977 (96.1)","2181388 (96.2)"
"55","","1","88546 (3.9)","85135 (3.8)"
"56","Q_DIAG_ASTHMA","0","1957949 (86.4)","1962269 (86.6)"
"57","","1","308574 (13.6)","304254 (13.4)"
"58","Q_DIAG_BLOOD_CANCER","0","2249556 (99.3)","2249740 (99.3)"
"59","","1","16967 (0.7)","16783 (0.7)"
"60","Q_DIAG_CCF","0","2226666 (98.2)","2229403 (98.4)"
"61","","1","39857 (1.8)","37120 (1.6)"
"62","Q_DIAG_CEREBRALPALSY","0","2262363 (99.8)","2262349 (99.8)"
"63","","1","4160 (0.2)","4174 (0.2)"
"64","Q_DIAG_CHD","0","2095280 (92.4)","2101923 (92.7)"
"65","","1","171243 (7.6)","164600 (7.3)"
"66","Q_DIAG_CIRRHOSIS","0","2247165 (99.1)","2248903 (99.2)"
"67","","1","19358 (0.9)","17620 (0.8)"
"68","Q_DIAG_CONGEN_HD","0","2237123 (98.7)","2237450 (98.7)"
"69","","1","29400 (1.3)","29073 (1.3)"
