"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"1","v1","-1+ thru  13","AZ","F",21486.6,61,3,NA
"2","v2","-1+ thru  13","AZ","F",21095.9,75,4,"1.25 (0.89, 1.76)"
"3","v1","13+ thru  20","AZ","F",7757.1,26,3,NA
"4","v2","13+ thru  20","AZ","F",7568.3,7,1,"0.28 (0.12, 0.64)"
"5","v1","20+ thru  27","AZ","F",6527.4,25,4,NA
"6","v2","20+ thru  27","AZ","F",6344.3,7,1,"0.29 (0.12, 0.67)"
"7","v1","27+ thru  34","AZ","F",5374.5,23,4,NA
"8","v2","27+ thru  34","AZ","F",5178.3,8,2,"0.36 (0.16, 0.81)"
"9","v1","34+ thru  41","AZ","F",4615,16,3,NA
"10","v2","34+ thru  41","AZ","F",4425.9,10,2,"0.65 (0.3, 1.44)"
"11","v1","41+ thru  48","AZ","F",3935.8,16,4,NA
"12","v2","41+ thru  48","AZ","F",3757.8,7,2,"0.46 (0.19, 1.11)"
"13","v1","48+ thru  55","AZ","F",3491.2,11,3,NA
"14","v2","48+ thru  55","AZ","F",3334.2,6,2,"0.57 (0.21, 1.54)"
"15","v1","55+ thru  62","AZ","F",2890.7,10,3,NA
"16","v2","55+ thru  62","AZ","F",2784.8,9,3,"0.93 (0.38, 2.3)"
"17","v1","62+ thru  69","AZ","F",2154.1,7,3,NA
"18","v2","62+ thru  69","AZ","F",2113.3,10,5,"1.46 (0.55, 3.83)"
"19","v1","69+ thru 183","AZ","F",4578.4,25,5,NA
"20","v2","69+ thru 183","AZ","F",4555.1,20,4,"0.8 (0.45, 1.45)"
"21","v1","-1+ thru  13","PB","F",12602.2,20,2,NA
"22","v2","-1+ thru  13","PB","F",12673.9,13,1,"0.65 (0.32, 1.3)"
"23","v1","13+ thru  20","PB","F",5149.5,10,2,NA
"24","v2","13+ thru  20","PB","F",5185.8,1,0,"0.1 (0.01, 0.78)"
"25","v1","20+ thru  27","PB","F",4915.4,8,2,NA
"26","v2","20+ thru  27","PB","F",4945.3,2,0,"0.25 (0.05, 1.17)"
"27","v1","27+ thru  34","PB","F",4839.2,4,1,NA
"28","v2","27+ thru  34","PB","F",4864.9,0,0,"0 (0, Inf)"
"29","v1","34+ thru  41","PB","F",4806.1,3,1,NA
