"vacc_type","Subgroup","z.yr","n_v1","event_v1","n_v2","event_v2"
"AZ","18-64",1,1114277,5,1114277,9
"AZ","18-64",2,1022433,5,1022442,6
"AZ","18-64",3,956074,8,956084,5
"AZ","18-64",4,899722,7,899746,0
"AZ","18-64",5,852129,3,852169,10
"AZ","18-64",6,809411,6,809460,4
"AZ","18-64",7,771718,7,771780,4
"AZ","18-64",8,736758,5,736839,2
"AZ","18-64",9,708787,3,708880,5
"AZ","18-64",10,684195,2,684292,4
"AZ","18-64",11,660086,5,660192,4
"AZ","18-64",12,637346,1,637458,6
"AZ","18-64",13,616240,2,616354,2
"AZ","18-64",14,596278,4,596392,4
"AZ","18-64",15,576625,1,576739,2
"AZ","18-64",16,559920,3,560031,2
"AZ","18-64",17,544331,4,544438,3
"AZ","18-64",18,530640,2,530745,1
"AZ","18-64",19,517880,2,517985,1
"AZ","18-64",20,505118,3,505225,0
"AZ","18-64",21,493405,3,493510,3
"AZ","18-64",22,482281,3,482388,1
"AZ","18-64",23,451443,3,451548,2
"AZ","18-64",24,425343,7,425448,1
"AZ","18-64",25,409141,4,409247,1
"AZ","18-64",26,389928,6,390031,4
"AZ","18-64",27,370729,2,370831,1
"AZ","18-64",28,353494,6,353596,0
"AZ","18-64",29,337025,3,337122,0
"AZ","18-64",30,321884,1,321975,1
"AZ","18-64",31,307806,3,307892,1
"AZ","18-64",32,298221,2,298304,3
"AZ","18-64",33,286871,3,286946,2
"AZ","18-64",34,275145,2,275210,2
"AZ","18-64",35,263853,5,263912,5
"AZ","18-64",36,253179,4,253224,1
"AZ","18-64",37,241968,2,242005,1
"AZ","18-64",38,233140,3,233175,1
"AZ","18-64",39,226838,2,226874,0
"AZ","18-64",40,217070,3,217104,0
"AZ","18-64",41,206292,2,206310,0
"AZ","18-64",42,196504,2,196519,1
"AZ","18-64",43,185566,0,185577,1
"AZ","18-64",44,175202,1,175195,1
"AZ","18-64",45,165360,0,165343,0
"AZ","18-64",46,160590,3,160567,0
"AZ","18-64",47,154718,3,154684,0
"AZ","18-64",48,149024,3,148983,1
"AZ","18-64",49,143607,1,143553,1
"AZ","18-64",50,138705,1,138637,0
"AZ","18-64",51,134390,1,134309,0
"AZ","18-64",52,131030,1,130942,0
"AZ","18-64",53,128706,2,128610,0
"AZ","18-64",54,120053,2,119965,2
"AZ","18-64",55,115281,2,115194,0
"AZ","18-64",56,109077,1,108988,0
"AZ","18-64",57,102510,0,102417,0
"AZ","18-64",58,96522,1,96425,1
"AZ","18-64",59,93498,0,93398,1
"AZ","18-64",60,89929,0,89826,0
"AZ","18-64",61,84270,1,84145,0
"AZ","18-64",62,77253,2,77131,0
"AZ","18-64",63,69165,1,69054,1
"AZ","18-64",64,61440,0,61335,4
"AZ","18-64",65,56506,0,56394,1
"AZ","18-64",66,52484,0,52374,2
"AZ","18-64",67,50865,1,50758,0
"AZ","18-64",68,44758,0,44656,1
"AZ","18-64",69,41077,0,40982,0
"AZ","18-64",70,37220,0,37134,0
"AZ","18-64",71,33204,1,33131,0
"AZ","18-64",72,30388,0,30319,0
"AZ","18-64",73,28039,0,27973,0
"AZ","18-64",74,27120,0,27054,3
"AZ","18-64",75,24059,0,24004,0
"AZ","18-64",76,21036,0,20994,0
"AZ","18-64",77,18880,1,18839,0
"AZ","18-64",78,16939,1,16900,0
"AZ","18-64",79,15642,0,15608,1
"AZ","18-64",80,14562,0,14531,0
"AZ","18-64",81,14155,0,14126,0
"AZ","18-64",82,12523,0,12498,0
"AZ","18-64",83,11702,0,11676,1
"AZ","18-64",84,10411,0,10384,0
"AZ","18-64",85,9583,0,9560,0
"AZ","18-64",86,8945,0,8923,0
"AZ","18-64",87,8842,0,8820,0
"AZ","18-64",88,8814,0,8790,0
"AZ","18-64",89,8690,0,8667,0
"AZ","18-64",90,8392,0,8369,0
"PB","18-64",1,471040,1,471039,0
"PB","18-64",2,442793,0,442798,4
"PB","18-64",3,423222,1,423227,0
"PB","18-64",4,406285,4,406299,1
"PB","18-64",5,392098,4,392119,1
"PB","18-64",6,379604,5,379630,0
"PB","18-64",7,368552,2,368584,0
"PB","18-64",8,358354,0,358393,1
"PB","18-64",9,348827,2,348873,1
"PB","18-64",10,340353,1,340400,0
"PB","18-64",11,334999,2,335048,0
"PB","18-64",12,330145,1,330197,1
"PB","18-64",13,325285,1,325342,0
"PB","18-64",14,320572,1,320628,0
"PB","18-64",15,316090,0,316150,0
