"vacc_type","z.yr","n_v1","event_v1","n_v2","event_v2"
"All",1,2256920,26,2257258,22
"All",2,1836024,23,1836747,16
"All",3,1636128,27,1637126,8
"All",4,1474442,6,1475697,8
"All",5,1340777,10,1342225,6
"All",6,1221971,17,1223575,6
"All",7,1108886,20,1110686,7
"All",8,973720,10,975748,3
"All",9,893284,20,895494,7
"All",10,827445,4,829913,2
"All",11,768978,7,771657,5
"All",12,714438,7,717278,5
"All",13,663102,7,666130,5
"All",14,611733,6,614953,1
"All",15,548942,12,552345,1
"All",16,509918,3,513501,0
"All",17,477758,9,481469,2
"All",18,448518,3,452377,3
"All",19,420933,0,424959,1
"All",20,395008,5,399239,0
"All",21,370476,1,374836,3
"All",22,343235,2,347711,2
"All",23,323252,6,327805,1
"All",24,306537,4,311200,0
"All",25,291946,1,296748,2
"All",26,277904,1,282824,4
"All",27,264175,4,269162,2
"All",28,250457,3,255522,1
"All",29,236323,4,241451,0
"All",30,225624,1,230881,0
"All",31,215739,0,221072,0
"All",32,207685,0,213110,3
"All",33,199762,1,205257,2
"All",34,191908,17,197464,1
"All",35,184234,7,189879,1
"All",36,176112,5,181843,1
"All",37,169248,7,175010,0
"All",38,163403,1,169238,1
"All",39,158162,4,164029,0
"All",40,151533,3,157471,0
"All",41,145087,1,151101,0
"All",42,139203,4,145256,1
"All",43,132854,5,138911,1
"All",44,127484,1,133578,0
"All",45,122373,0,128477,0
"All",46,117991,3,124107,0
"All",47,113688,0,119777,0
"All",48,109290,1,115362,0
"All",49,104929,5,110985,1
"All",50,100666,5,106720,0
"All",51,97090,28,103134,0
"All",52,94288,1,100335,0
"All",53,91634,1,97674,1
"All",54,89204,2,95275,1
"All",55,86795,3,92811,1
"All",56,83932,0,89915,1
"All",57,81207,1,87112,1
"All",58,78686,0,84449,0
"All",59,77081,0,82824,1
"All",60,74870,0,80542,2
"All",61,72234,1,77816,0
"All",62,68797,0,74207,1
"All",63,65944,32,71239,0
"All",64,63281,1,68484,1
"All",65,60797,0,65827,0
"All",66,58482,0,63430,0
"All",67,56342,0,61019,1
"All",68,52040,1,56456,1
"All",69,49588,0,53728,0
"All",70,46723,1,50612,0
"All",71,43849,2,47487,1
"All",72,40807,1,44196,0
"All",73,38133,0,41131,0
"All",74,37417,0,40351,0
"All",75,34691,0,37342,1
"All",76,33149,0,35688,0
"All",77,31285,0,33642,1
"All",78,29526,0,31737,1
"All",79,28059,0,30163,0
"All",80,26882,0,28924,0
"All",81,26262,0,28214,1
"All",82,23944,0,25486,0
"All",83,22752,1,24224,0
"All",84,21493,0,22868,0
"All",85,20354,0,21638,0
"All",86,19558,0,20787,0
"All",87,19280,0,20495,0
"All",88,18956,1,20161,0
"All",89,18124,0,19292,0
"All",90,17347,0,18460,0
"AZ",1,1545095,19,1545332,20
"AZ",2,1281702,17,1282240,13
"AZ",3,1153548,24,1154261,7
"AZ",4,1044848,6,1045750,7
"AZ",5,952056,6,953100,6
"AZ",6,869610,17,870762,5
"AZ",7,792029,17,793315,6
"AZ",8,695122,8,696549,2
"AZ",9,638033,18,639596,7
"AZ",10,589888,4,591669,2
"AZ",11,545609,5,547512,5
"AZ",12,503606,7,505649,4
"AZ",13,463812,7,465983,2
"AZ",14,425362,6,427693,1
"AZ",15,377391,8,379863,0
"AZ",16,347538,2,350123,0
"AZ",17,322743,9,325417,2
"AZ",18,300157,3,302941,2
"AZ",19,280046,0,282949,1
"AZ",20,260560,5,263543,0
"AZ",21,241950,1,245042,1
"AZ",22,221448,2,224616,2
"AZ",23,206718,4,209940,1
"AZ",24,194467,4,197781,0
"AZ",25,183885,1,187324,2
"AZ",26,173750,1,177251,3
"AZ",27,163710,3,167267,2
"AZ",28,154568,3,158196,1
