"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Thrombosis or pulmonary embolus: 1","uv",0.016780257726196,0.0164987154790641,-0.000307972046263309,0.129025139187177,-0.00238691504774533,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"2","Thrombosis or pulmonary embolus: 1","vacc",0.0170882297724593,0.0167962576054769,-0.000307972046263309,0.129025139187177,-0.00238691504774533,"Thrombosis or pulmonary embolus",1,"PB","Matched"
"3","Stroke/TIA: 1","uv",0.0305377487243418,0.0296052570765601,0.00117704384804744,0.170446430113758,0.00690565268666443,"Stroke/TIA",1,"PB","Matched"
"4","Stroke/TIA: 1","vacc",0.0293607048762944,0.0284987140004886,0.00117704384804744,0.170446430113758,0.00690565268666443,"Stroke/TIA",1,"PB","Matched"
"5","Sickle cell disease: 1","uv",0.000664460236800972,0.000664020130082227,-0.000217267950446032,0.0277936389395496,-0.00781718259054108,"Sickle cell disease",1,"PB","Matched"
"6","Sickle cell disease: 1","vacc",0.000881728187247004,0.000880952600921874,-0.000217267950446032,0.0277936389395496,-0.00781718259054108,"Sickle cell disease",1,"PB","Matched"
"7","Severe mental illness: 1","uv",0.137589675764498,0.118659007187193,0.00468708141641827,0.341978614124132,0.0137057734689718,"Severe mental illness",1,"PB","Matched"
"8","Severe mental illness: 1","vacc",0.13290259434808,0.115239737849331,0.00468708141641827,0.341978614124132,0.0137057734689718,"Severe mental illness",1,"PB","Matched"
"9","Rheumatoid arthritis or SLE: 1","uv",0.0118843459496402,0.0117431330420216,-0.00102727662007007,0.110652773346523,-0.00928378556634119,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"10","Rheumatoid arthritis or SLE: 1","vacc",0.0129116225697103,0.0127449394565324,-0.00102727662007007,0.110652773346523,-0.00928378556634119,"Rheumatoid arthritis or SLE",1,"PB","Matched"
"11","Respiratory cancer: 1","uv",0.00237940046702062,0.00237374392761866,0.000153986023131654,0.0479281263242815,0.00321285297259035,"Respiratory cancer",1,"PB","Matched"
"12","Respiratory cancer: 1","vacc",0.00222541444388897,0.00222046665829392,0.000153986023131654,0.0479281263242815,0.00321285297259035,"Respiratory cancer",1,"PB","Matched"
"13","Pulmonary rare: 1","uv",0.00527349394286486,0.00524569526977963,-0.000442973491200648,0.0739239362227919,-0.00599228766533231,"Pulmonary rare",1,"PB","Matched"
"14","Pulmonary rare: 1","vacc",0.00571646743406551,0.00568380142356317,-0.000442973491200648,0.0739239362227919,-0.00599228766533231,"Pulmonary rare",1,"PB","Matched"
"15","Pulmonary hypertension: 1","uv",0.00150189107492791,0.00149963856146851,-4.21879515429188e-05,0.0389957475884293,-0.00108186030918501,"Pulmonary hypertension",1,"PB","Matched"
"16","Pulmonary hypertension: 1","vacc",0.00154407902647083,0.00154169809849247,-4.21879515429188e-05,0.0389957475884293,-0.00108186030918501,"Pulmonary hypertension",1,"PB","Matched"
"17","Peripheral vascular disease: 1","uv",0.0115995772767255,0.0114650512681492,0.00048305204516642,0.105967029200176,0.00455851266957683,"Peripheral vascular disease",1,"PB","Matched"
"18","Peripheral vascular disease: 1","vacc",0.0111165252315591,0.0109929712868728,0.00048305204516642,0.105967029200176,0.00455851266957683,"Peripheral vascular disease",1,"PB","Matched"
"19","Parkinson's: 1","uv",0.00211783516745453,0.00211335439955211,-0.000139220240091632,0.0467189482879768,-0.00297995235752044,"Parkinson's",1,"PB","Matched"
"20","Parkinson's: 1","vacc",0.00225705540754616,0.0022519658587172,-0.000139220240091632,0.0467189482879768,-0.00297995235752044,"Parkinson's",1,"PB","Matched"
"21","Neurological disorder: 1","uv",0.00419981057609757,0.00418218098906536,-0.000329066022034767,0.0659187240997857,-0.00499199622760654,"Neurological disorder",1,"PB","Matched"
"22","Neurological disorder: 1","vacc",0.00452887659813234,0.00450837538482198,-0.000329066022034767,0.0659187240997857,-0.00499199622760654,"Neurological disorder",1,"PB","Matched"
"23","Learning disability or Down's: 0","uv",0.988550189951252,0.0113187357743626,-6.96101200459154e-05,0.106229587415424,-0.00065527996238653,"Learning disability or Down's",0,"PB","Matched"
"24","Learning disability or Down's: 0","vacc",0.988619800071298,0.0112507147105397,-6.96101200459154e-05,0.106229587415424,-0.00065527996238653,"Learning disability or Down's",0,"PB","Matched"
"25","Learning disability or Down's: 1","uv",0.0112473078813422,0.0111208294049746,0.000335394214766204,0.104674963525409,0.00320414933495334,"Learning disability or Down's",1,"PB","Matched"
