"","label","levels","v1","v2","v1_az","v2_az","v1_pb","v2_pb"
"1","event","0","2454195 (100.0)","2454332 (100.0)","1650561 (100.0)","1650605 (100.0)","803634 (100.0)","803727 (100.0)"
"2","","1","494 (0.0)","357 (0.0)","344 (0.0)","300 (0.0)","150 (0.0)","57 (0.0)"
"3","event_hosp","0","2454202 (100.0)","2454337 (100.0)","1650565 (100.0)","1650609 (100.0)","803637 (100.0)","803728 (100.0)"
"4","","1","487 (0.0)","352 (0.0)","340 (0.0)","296 (0.0)","147 (0.0)","56 (0.0)"
"5","event_death","0","2454654 (100.0)","2454668 (100.0)","1650876 (100.0)","1650887 (100.0)","803778 (100.0)","803781 (100.0)"
"6","","1","35 (0.0)","21 (0.0)","29 (0.0)","18 (0.0)","6 (0.0)","3 (0.0)"
"7","Sex","F","1349530 (55.0)","1338432 (54.5)","862398 (52.2)","848817 (51.4)","487132 (60.6)","489615 (60.9)"
"8","","M","1105159 (45.0)","1116257 (45.5)","788507 (47.8)","802088 (48.6)","316652 (39.4)","314169 (39.1)"
"9","ageYear","Mean (SD)","58.0 (15.5)","58.0 (15.5)","59.2 (15.0)","59.2 (15.0)","55.7 (16.3)","55.7 (16.3)"
"10","age_grp","18-64","1596696 (65.0)","1596696 (65.0)","1118825 (67.8)","1118825 (67.8)","477871 (59.5)","477871 (59.5)"
"11","","65-79","669746 (27.3)","669746 (27.3)","361366 (21.9)","361366 (21.9)","308380 (38.4)","308380 (38.4)"
"12","","80+","188247 (7.7)","188247 (7.7)","170714 (10.3)","170714 (10.3)","17533 (2.2)","17533 (2.2)"
"13","simd2020_sc_quintile","1 - High","453794 (18.5)","435081 (17.7)","302357 (18.3)","288939 (17.5)","151437 (18.8)","146142 (18.2)"
"14","","2","484022 (19.7)","475821 (19.4)","327871 (19.9)","319115 (19.3)","156151 (19.4)","156706 (19.5)"
"15","","3","504523 (20.6)","503050 (20.5)","345022 (20.9)","343703 (20.8)","159501 (19.8)","159347 (19.8)"
"16","","4","515245 (21.0)","520076 (21.2)","343343 (20.8)","347641 (21.1)","171902 (21.4)","172435 (21.5)"
"17","","5-Low","486552 (19.8)","510108 (20.8)","325043 (19.7)","344238 (20.9)","161509 (20.1)","165870 (20.6)"
"18","","Missing","10553 (0.4)","10553 (0.4)","7269 (0.4)","7269 (0.4)","3284 (0.4)","3284 (0.4)"
"19","ur6_2016_name","1 Large Urban Areas","749402 (30.5)","746129 (30.4)","497777 (30.2)","494591 (30.0)","251625 (31.3)","251538 (31.3)"
"20","","2 Other Urban Areas","926103 (37.7)","936763 (38.2)","614373 (37.2)","620060 (37.6)","311730 (38.8)","316703 (39.4)"
"21","","3 Accessible Small Towns","254606 (10.4)","248780 (10.1)","171837 (10.4)","170426 (10.3)","82769 (10.3)","78354 (9.7)"
"22","","4 Remote Small Towns","133553 (5.4)","132434 (5.4)","96238 (5.8)","93339 (5.7)","37315 (4.6)","39095 (4.9)"
"23","","5 Accessible Rural","241851 (9.9)","240709 (9.8)","169840 (10.3)","171364 (10.4)","72011 (9.0)","69345 (8.6)"
"24","","6 Remote Rural","138621 (5.6)","139321 (5.7)","93571 (5.7)","93856 (5.7)","45050 (5.6)","45465 (5.7)"
"25","","Unknown","10553 (0.4)","10553 (0.4)","7269 (0.4)","7269 (0.4)","3284 (0.4)","3284 (0.4)"
"26","n_risk_gps","0","1193079 (48.6)","1209232 (49.3)","775133 (47.0)","783962 (47.5)","417946 (52.0)","425270 (52.9)"
"27","","1","735483 (30.0)","727538 (29.6)","498793 (30.2)","492910 (29.9)","236690 (29.4)","234628 (29.2)"
"28","","2","318428 (13.0)","310271 (12.6)","225309 (13.6)","218794 (13.3)","93119 (11.6)","91477 (11.4)"
"29","","3","123881 (5.0)","124465 (5.1)","88852 (5.4)","91161 (5.5)","35029 (4.4)","33304 (4.1)"
"30","","4","51438 (2.1)","51586 (2.1)","37994 (2.3)","39177 (2.4)","13444 (1.7)","12409 (1.5)"
"31","","5+","32380 (1.3)","31597 (1.3)","24824 (1.5)","24901 (1.5)","7556 (0.9)","6696 (0.8)"
"32","n_tests_gp","0","1994120 (81.2)","2002925 (81.6)","1373242 (83.2)","1384787 (83.9)","620878 (77.2)","618138 (76.9)"
"33","","1","305612 (12.5)","302625 (12.3)","194491 (11.8)","190546 (11.5)","111121 (13.8)","112079 (13.9)"
"34","","2","72361 (2.9)","69588 (2.8)","44522 (2.7)","41832 (2.5)","27839 (3.5)","27756 (3.5)"
"35","","3","22674 (0.9)","21901 (0.9)","14113 (0.9)","13177 (0.8)","8561 (1.1)","8724 (1.1)"
"36","","4-9","31646 (1.3)","29921 (1.2)","17816 (1.1)","15329 (0.9)","13830 (1.7)","14592 (1.8)"
"37","","10+","28276 (1.2)","27729 (1.1)","6721 (0.4)","5234 (0.3)","21555 (2.7)","22495 (2.8)"
"38","EAVE_Smoke","Ex Smoker","410055 (16.7)","414862 (16.9)","280243 (17.0)","283673 (17.2)","129812 (16.2)","131189 (16.3)"
"39","","Non Smoker","953265 (38.8)","963793 (39.3)","634688 (38.4)","639650 (38.7)","318577 (39.6)","324143 (40.3)"
"40","","Smoker","598363 (24.4)","582402 (23.7)","408468 (24.7)","399329 (24.2)","189895 (23.6)","183073 (22.8)"
"41","","Unknown","493006 (20.1)","493632 (20.1)","327506 (19.8)","328253 (19.9)","165500 (20.6)","165379 (20.6)"
"42","bmi_cat","Underweight","22699 (0.9)","21527 (0.9)","16288 (1.0)","15464 (0.9)","6411 (0.8)","6063 (0.8)"
"43","","Normal weight","300343 (12.2)","301687 (12.3)","199186 (12.1)","202010 (12.2)","101157 (12.6)","99677 (12.4)"
"44","","Overweight","1573311 (64.1)","1575871 (64.2)","1058568 (64.1)","1057509 (64.1)","514743 (64.0)","518362 (64.5)"
"45","","Obese","558336 (22.7)","555604 (22.6)","376863 (22.8)","375922 (22.8)","181473 (22.6)","179682 (22.4)"
"46","ave_hh_age","Mean (SD)","53.9 (17.8)","53.9 (17.9)","54.9 (17.6)","54.9 (17.6)","51.9 (18.0)","51.8 (18.1)"
"47","n_hh_gp","1","850758 (34.7)","830242 (33.8)","592974 (35.9)","577322 (35.0)","257784 (32.1)","252920 (31.5)"
"48","","2","856210 (34.9)","864298 (35.2)","570167 (34.5)","574980 (34.8)","286043 (35.6)","289318 (36.0)"
"49","","3-5","701909 (28.6)","715784 (29.2)","457949 (27.7)","469834 (28.5)","243960 (30.4)","245950 (30.6)"
"50","","6-10","43754 (1.8)","42371 (1.7)","28565 (1.7)","27569 (1.7)","15189 (1.9)","14802 (1.8)"
"51","","11-30","1795 (0.1)","1788 (0.1)","1098 (0.1)","1099 (0.1)","697 (0.1)","689 (0.1)"
"52","","31-100","220 (0.0)","176 (0.0)","128 (0.0)","85 (0.0)","92 (0.0)","91 (0.0)"
"53","","101+","43 (0.0)","30 (0.0)","24 (0.0)","16 (0.0)","19 (0.0)","14 (0.0)"
"54","Q_DIAG_AF","0","2366019 (96.4)","2362914 (96.3)","1586547 (96.1)","1583047 (95.9)","779472 (97.0)","779867 (97.0)"
"55","","1","88670 (3.6)","91775 (3.7)","64358 (3.9)","67858 (4.1)","24312 (3.0)","23917 (3.0)"
"56","Q_DIAG_ASTHMA","0","2104946 (85.8)","2125374 (86.6)","1407567 (85.3)","1425921 (86.4)","697379 (86.8)","699453 (87.0)"
"57","","1","349743 (14.2)","329315 (13.4)","243338 (14.7)","224984 (13.6)","106405 (13.2)","104331 (13.0)"
"58","Q_DIAG_BLOOD_CANCER","0","2439986 (99.4)","2436058 (99.2)","1640805 (99.4)","1637106 (99.2)","799181 (99.4)","798952 (99.4)"
"59","","1","14703 (0.6)","18631 (0.8)","10100 (0.6)","13799 (0.8)","4603 (0.6)","4832 (0.6)"
"60","Q_DIAG_CCF","0","2415018 (98.4)","2414643 (98.4)","1621577 (98.2)","1620655 (98.2)","793441 (98.7)","793988 (98.8)"
"61","","1","39671 (1.6)","40046 (1.6)","29328 (1.8)","30250 (1.8)","10343 (1.3)","9796 (1.2)"
"62","Q_DIAG_CEREBRALPALSY","0","2451533 (99.9)","2449963 (99.8)","1648427 (99.8)","1647069 (99.8)","803106 (99.9)","802894 (99.9)"
"63","","1","3156 (0.1)","4726 (0.2)","2478 (0.2)","3836 (0.2)","678 (0.1)","890 (0.1)"
"64","Q_DIAG_CHD","0","2286840 (93.2)","2278397 (92.8)","1537040 (93.1)","1526500 (92.5)","749800 (93.3)","751897 (93.5)"
"65","","1","167849 (6.8)","176292 (7.2)","113865 (6.9)","124405 (7.5)","53984 (6.7)","51887 (6.5)"
"66","Q_DIAG_CIRRHOSIS","0","2435832 (99.2)","2435982 (99.2)","1638084 (99.2)","1637722 (99.2)","797748 (99.2)","798260 (99.3)"
"67","","1","18857 (0.8)","18707 (0.8)","12821 (0.8)","13183 (0.8)","6036 (0.8)","5524 (0.7)"
"68","Q_DIAG_CONGEN_HD","0","2428748 (98.9)","2423059 (98.7)","1633035 (98.9)","1628457 (98.6)","795713 (99.0)","794602 (98.9)"
"69","","1","25941 (1.1)","31630 (1.3)","17870 (1.1)","22448 (1.4)","8071 (1.0)","9182 (1.1)"
"70","Q_DIAG_COPD","0","2348097 (95.7)","2341029 (95.4)","1576703 (95.5)","1567198 (94.9)","771394 (96.0)","773831 (96.3)"
"71","","1","106592 (4.3)","113660 (4.6)","74202 (4.5)","83707 (5.1)","32390 (4.0)","29953 (3.7)"
"72","Q_DIAG_DEMENTIA","0","2431231 (99.0)","2434251 (99.2)","1632191 (98.9)","1635381 (99.1)","799040 (99.4)","798870 (99.4)"
"73","","1","23458 (1.0)","20438 (0.8)","18714 (1.1)","15524 (0.9)","4744 (0.6)","4914 (0.6)"
"74","Q_DIAG_DIABETES_1","0","2442574 (99.5)","2435934 (99.2)","1642663 (99.5)","1637167 (99.2)","799911 (99.5)","798767 (99.4)"
"75","","1","12115 (0.5)","18755 (0.8)","8242 (0.5)","13738 (0.8)","3873 (0.5)","5017 (0.6)"
"76","Q_DIAG_DIABETES_2","0","2245036 (91.5)","2228796 (90.8)","1514234 (91.7)","1494563 (90.5)","730802 (90.9)","734233 (91.3)"
"77","","1","209653 (8.5)","225893 (9.2)","136671 (8.3)","156342 (9.5)","72982 (9.1)","69551 (8.7)"
"78","Q_DIAG_EPILEPSY","0","2405500 (98.0)","2405807 (98.0)","1611913 (97.6)","1612854 (97.7)","793587 (98.7)","792953 (98.7)"
