"","label","levels","v1_az","v2_az"
"1","Sex","F","458900 (51.9)","454001 (51.3)"
"2","","M","425317 (48.1)","430216 (48.7)"
"3","ageYear","Mean (SD)","58.1 (15.2)","58.1 (15.2)"
"4","age_grp","18-64","618440 (69.9)","618440 (69.9)"
"5","","65-79","179942 (20.4)","179942 (20.4)"
"6","","80+","85835 (9.7)","85835 (9.7)"
"7","simd2020_sc_quintile","1 - High","161037 (18.2)","158871 (18.0)"
"8","","2","173474 (19.6)","171942 (19.4)"
"9","","3","183185 (20.7)","182638 (20.7)"
"10","","4","184080 (20.8)","183641 (20.8)"
"11","","5-Low","178116 (20.1)","182800 (20.7)"
"12","","Missing","4325 (0.5)","4325 (0.5)"
"13","ur6_2016_name","1 Large Urban Areas","269512 (30.5)","268748 (30.4)"
"14","","2 Other Urban Areas","330557 (37.4)","333002 (37.7)"
"15","","3 Accessible Small Towns","90698 (10.3)","89561 (10.1)"
"16","","4 Remote Small Towns","50309 (5.7)","48689 (5.5)"
"17","","5 Accessible Rural","89657 (10.1)","90206 (10.2)"
"18","","6 Remote Rural","49159 (5.6)","49686 (5.6)"
"19","","Unknown","4325 (0.5)","4325 (0.5)"
"20","n_risk_gps","0","425569 (48.1)","420241 (47.5)"
"21","","1","266255 (30.1)","266101 (30.1)"
"22","","2","115818 (13.1)","115803 (13.1)"
"23","","3","45497 (5.1)","48236 (5.5)"
"24","","4","19096 (2.2)","20748 (2.3)"
"25","","5+","11982 (1.4)","13088 (1.5)"
"26","n_tests_gp","0","736966 (83.3)","737830 (83.4)"
"27","","1","105019 (11.9)","104864 (11.9)"
"28","","2","23286 (2.6)","23168 (2.6)"
"29","","3","7146 (0.8)","7263 (0.8)"
"30","","4-9","8555 (1.0)","8230 (0.9)"
"31","","10+","3245 (0.4)","2862 (0.3)"
"32","test_before_dec8","0-6d","671 (0.1)","655 (0.1)"
"33","","1m+","7923 (0.9)","8248 (0.9)"
"34","","2w","714 (0.1)","711 (0.1)"
"35","","3w","806 (0.1)","837 (0.1)"
"36","","4w","940 (0.1)","914 (0.1)"
"37","","after-8dec","17921 (2.0)","15110 (1.7)"
"38","","no pos test","855242 (96.7)","857742 (97.0)"
"39","ave_hh_age","Mean (SD)","53.7 (17.9)","53.6 (17.9)"
"40","n_hh_gp","1","307220 (34.7)","303763 (34.4)"
"41","","2","299800 (33.9)","299040 (33.8)"
"42","","3-5","260189 (29.4)","264563 (29.9)"
"43","","6-10","16267 (1.8)","16140 (1.8)"
"44","","11-30","640 (0.1)","640 (0.1)"
"45","","31-100","82 (0.0)","60 (0.0)"
"46","","101+","19 (0.0)","11 (0.0)"
"47","care_home_elderly","0","884217 (100.0)","884217 (100.0)"
"48","bmi_cat","Underweight","8370 (0.9)","8516 (1.0)"
"49","","Normal weight","105674 (12.0)","108779 (12.3)"
"50","","Overweight","570805 (64.6)","567369 (64.2)"
"51","","Obese","199368 (22.5)","199553 (22.6)"
"52","EAVE_Smoke","Ex Smoker","147886 (16.7)","148518 (16.8)"
"53","","Non Smoker","342606 (38.7)","341281 (38.6)"
"54","","Smoker","216016 (24.4)","218006 (24.7)"
"55","","Unknown","177709 (20.1)","176412 (20.0)"
"56","Q_DIAG_AF","0","851497 (96.3)","849096 (96.0)"
"57","","1","32720 (3.7)","35121 (4.0)"
"58","Q_DIAG_ASTHMA","0","754446 (85.3)","762687 (86.3)"
"59","","1","129771 (14.7)","121530 (13.7)"
"60","Q_DIAG_BLOOD_CANCER","0","878887 (99.4)","876424 (99.1)"
"61","","1","5330 (0.6)","7793 (0.9)"
"62","Q_DIAG_CCF","0","869531 (98.3)","868301 (98.2)"
"63","","1","14686 (1.7)","15916 (1.8)"
"64","Q_DIAG_CEREBRALPALSY","0","882730 (99.8)","881829 (99.7)"
"65","","1","1487 (0.2)","2388 (0.3)"
"66","Q_DIAG_CHD","0","825745 (93.4)","819175 (92.6)"
"67","","1","58472 (6.6)","65042 (7.4)"
"68","Q_DIAG_CIRRHOSIS","0","877593 (99.3)","877143 (99.2)"
"69","","1","6624 (0.7)","7074 (0.8)"
"70","Q_DIAG_CONGEN_HD","0","874334 (98.9)","871522 (98.6)"
"71","","1","9883 (1.1)","12695 (1.4)"
"72","Q_DIAG_COPD","0","847269 (95.8)","838689 (94.9)"
"73","","1","36948 (4.2)","45528 (5.1)"
"74","Q_DIAG_DEMENTIA","0","875575 (99.0)","876547 (99.1)"
"75","","1","8642 (1.0)","7670 (0.9)"
"76","Q_DIAG_DIABETES_1","0","879218 (99.4)","875781 (99.0)"
"77","","1","4999 (0.6)","8436 (1.0)"
"78","Q_DIAG_DIABETES_2","0","812935 (91.9)","800246 (90.5)"
"79","","1","71282 (8.1)","83971 (9.5)"
"80","Q_DIAG_EPILEPSY","0","863140 (97.6)","863091 (97.6)"
"81","","1","21077 (2.4)","21126 (2.4)"
"82","Q_DIAG_FRACTURE","0","832217 (94.1)","838603 (94.8)"
"83","","1","52000 (5.9)","45614 (5.2)"
"84","Q_DIAG_NEURO","0","879931 (99.5)","877183 (99.2)"
"85","","1","4286 (0.5)","7034 (0.8)"
"86","Q_DIAG_PARKINSONS","0","881406 (99.7)","881295 (99.7)"
"87","","1","2811 (0.3)","2922 (0.3)"
"88","Q_DIAG_PULM_HYPER","0","881485 (99.7)","881051 (99.6)"
"89","","1","2732 (0.3)","3166 (0.4)"
"90","Q_DIAG_PULM_RARE","0","878070 (99.3)","875895 (99.1)"
"91","","1","6147 (0.7)","8322 (0.9)"
"92","Q_DIAG_PVD","0","870713 (98.5)","870709 (98.5)"
"93","","1","13504 (1.5)","13508 (1.5)"
"94","Q_DIAG_RA_SLE","0","871221 (98.5)","868095 (98.2)"
"95","","1","12996 (1.5)","16122 (1.8)"
"96","Q_DIAG_RESP_CANCER","0","881041 (99.6)","880806 (99.6)"
"97","","1","3176 (0.4)","3411 (0.4)"
"98","Q_DIAG_SEV_MENT_ILL","0","735434 (83.2)","757190 (85.6)"
"99","","1","148783 (16.8)","127027 (14.4)"
"100","Q_DIAG_SICKLE_CELL","0","883490 (99.9)","883212 (99.9)"
"101","","1","727 (0.1)","1005 (0.1)"
"102","Q_DIAG_STROKE","0","848417 (96.0)","845654 (95.6)"
"103","","1","35800 (4.0)","38563 (4.4)"
"104","Q_DIAG_VTE","0","860510 (97.3)","859611 (97.2)"
"105","","1","23707 (2.7)","24606 (2.8)"
"106","Q_HOME_CAT","0","882205 (99.8)","882455 (99.8)"
"107","","1","1129 (0.1)","1152 (0.1)"
"108","","2","883 (0.1)","610 (0.1)"
"109","Q_LEARN_CAT","0","867127 (98.1)","866919 (98.0)"
"110","","1","16905 (1.9)","16533 (1.9)"
"111","","2","185 (0.0)","765 (0.1)"
"112","Q_DIAG_CKD_LEVEL","0","834675 (94.4)","831252 (94.0)"
"113","","3","46849 (5.3)","49213 (5.6)"
"114","","4","1787 (0.2)","2053 (0.2)"
"115","","5","906 (0.1)","1699 (0.2)"
