"","label","levels","v1_pb","v2_pb"
"1","Total N (%)","","474069 (50.0)","474069 (50.0)"
"2","event","0","473973 (100.0)","474040 (100.0)"
"3","","1","96 (0.0)","29 (0.0)"
"4","Sex","F","289792 (61.1)","295024 (62.2)"
"5","","M","184277 (38.9)","179045 (37.8)"
"6","ageYear","Mean (SD)","52.3 (17.3)","52.3 (17.3)"
"7","age_grp","18-64","314465 (66.3)","314465 (66.3)"
"8","","65-79","150281 (31.7)","150281 (31.7)"
"9","","80+","9323 (2.0)","9323 (2.0)"
"10","simd2020_sc_quintile","1 - High","88528 (18.7)","86744 (18.3)"
"11","","2","91756 (19.4)","92890 (19.6)"
"12","","3","93676 (19.8)","93413 (19.7)"
"13","","4","101630 (21.4)","101633 (21.4)"
"14","","5-Low","96150 (20.3)","97060 (20.5)"
"15","","Missing","2329 (0.5)","2329 (0.5)"
"16","ur6_2016_name","1 Large Urban Areas","151292 (31.9)","152095 (32.1)"
"17","","2 Other Urban Areas","181893 (38.4)","184239 (38.9)"
"18","","3 Accessible Small Towns","47642 (10.0)","45001 (9.5)"
"19","","4 Remote Small Towns","22503 (4.7)","22996 (4.9)"
"20","","5 Accessible Rural","41851 (8.8)","40610 (8.6)"
"21","","6 Remote Rural","26559 (5.6)","26799 (5.7)"
"22","","Unknown","2329 (0.5)","2329 (0.5)"
"23","n_risk_gps","0","260776 (55.0)","262286 (55.3)"
"24","","1","135847 (28.7)","135330 (28.5)"
"25","","2","49476 (10.4)","49319 (10.4)"
"26","","3","17824 (3.8)","17305 (3.7)"
"27","","4","6563 (1.4)","6420 (1.4)"
"28","","5+","3583 (0.8)","3409 (0.7)"
"29","n_tests_gp","0","359510 (75.8)","353838 (74.6)"
"30","","1","69304 (14.6)","71077 (15.0)"
"31","","2","17308 (3.7)","18140 (3.8)"
"32","","3","5359 (1.1)","5842 (1.2)"
"33","","4-9","8668 (1.8)","9980 (2.1)"
"34","","10+","13920 (2.9)","15192 (3.2)"
"35","test_before_dec8","0-6d","673 (0.1)","665 (0.1)"
"36","","1m+","7499 (1.6)","8916 (1.9)"
"37","","2w","621 (0.1)","631 (0.1)"
"38","","3w","754 (0.2)","758 (0.2)"
"39","","4w","810 (0.2)","837 (0.2)"
"40","","after-8dec","11805 (2.5)","10315 (2.2)"
"41","","no pos test","451907 (95.3)","451947 (95.3)"
"42","ave_hh_age","Mean (SD)","48.8 (18.5)","48.6 (18.6)"
"43","n_hh_gp","1","143218 (30.2)","142702 (30.1)"
"44","","2","160810 (33.9)","160979 (34.0)"
"45","","3-5","159190 (33.6)","159661 (33.7)"
"46","","6-10","10308 (2.2)","10192 (2.1)"
"47","","11-30","456 (0.1)","458 (0.1)"
"48","","31-100","69 (0.0)","64 (0.0)"
"49","","101+","18 (0.0)","13 (0.0)"
"50","bmi_cat","Underweight","3909 (0.8)","3840 (0.8)"
"51","","Normal weight","61058 (12.9)","61057 (12.9)"
"52","","Overweight","308758 (65.1)","308999 (65.2)"
"53","","Obese","100344 (21.2)","100173 (21.1)"
"54","EAVE_Smoke","Ex Smoker","71427 (15.1)","71284 (15.0)"
"55","","Non Smoker","192693 (40.6)","195797 (41.3)"
"56","","Smoker","105652 (22.3)","103401 (21.8)"
"57","","Unknown","104297 (22.0)","103587 (21.9)"
"58","Q_DIAG_AF","0","461945 (97.4)","462066 (97.5)"
"59","","1","12124 (2.6)","12003 (2.5)"
"60","Q_DIAG_ASTHMA","0","409086 (86.3)","409901 (86.5)"
"61","","1","64983 (13.7)","64168 (13.5)"
"62","Q_DIAG_BLOOD_CANCER","0","471683 (99.5)","471522 (99.5)"
