"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"1","v1","-1+ thru  13","AZ","F",11052.9,35,3,NA
"2","v2","-1+ thru  13","AZ","F",10873.1,40,4,"1.16 (0.74, 1.83)"
"3","v1","13+ thru  20","AZ","F",3883.8,10,3,NA
"4","v2","13+ thru  20","AZ","F",3788.9,4,1,"0.41 (0.13, 1.31)"
"5","v1","20+ thru  27","AZ","F",3281.3,7,2,NA
"6","v2","20+ thru  27","AZ","F",3185.2,6,2,"0.88 (0.3, 2.63)"
"7","v1","27+ thru  34","AZ","F",2738.5,10,4,NA
"8","v2","27+ thru  34","AZ","F",2635.7,4,2,"0.42 (0.13, 1.32)"
"9","v1","34+ thru  41","AZ","F",2374.3,2,1,NA
"10","v2","34+ thru  41","AZ","F",2272.5,6,3,"3.13 (0.63, 15.53)"
"11","v1","41+ thru  48","AZ","F",2026.9,7,3,NA
"12","v2","41+ thru  48","AZ","F",1925.3,3,2,"0.45 (0.12, 1.75)"
"13","v1","48+ thru  55","AZ","F",1798.8,5,3,NA
"14","v2","48+ thru  55","AZ","F",1703.4,4,2,"0.84 (0.23, 3.15)"
"15","v1","55+ thru  62","AZ","F",1484.9,0,0,NA
"16","v2","55+ thru  62","AZ","F",1420.5,3,2,"15215296404.93 (0, Inf)"
"17","v1","62+ thru  69","AZ","F",1122.4,2,2,NA
"18","v2","62+ thru  69","AZ","F",1096.8,6,5,"3.07 (0.62, 15.21)"
"19","v1","69+ thru 182","AZ","F",2521.3,11,4,NA
"20","v2","69+ thru 182","AZ","F",2519.8,13,5,"1.18 (0.53, 2.64)"
"21","v1","-1+ thru  13","PB","F",7497.6,24,3,NA
"22","v2","-1+ thru  13","PB","F",7654.3,9,1,"0.37 (0.17, 0.79)"
"23","v1","13+ thru  20","PB","F",3093.9,4,1,NA
"24","v2","13+ thru  20","PB","F",3159.4,1,0,"0.24 (0.03, 2.19)"
"25","v1","20+ thru  27","PB","F",2959.4,5,2,NA
"26","v2","20+ thru  27","PB","F",3016.6,1,0,"0.2 (0.02, 1.68)"
"27","v1","27+ thru  34","PB","F",2916.2,4,1,NA
"28","v2","27+ thru  34","PB","F",2968.6,0,0,"0 (0, Inf)"
"29","v1","34+ thru  41","PB","F",2897.3,3,1,NA
"30","v2","34+ thru  41","PB","F",2947.4,0,0,"0 (0, Inf)"
"31","v1","41+ thru  48","PB","F",2859.6,1,0,NA
"32","v2","41+ thru  48","PB","F",2908.3,0,0,"0 (0, Inf)"
"33","v1","48+ thru  55","PB","F",2780.7,2,1,NA
"34","v2","48+ thru  55","PB","F",2828.9,0,0,"0 (0, Inf)"
"35","v1","55+ thru  62","PB","F",2626,2,1,NA
"36","v2","55+ thru  62","PB","F",2676.3,3,1,"1.47 (0.25, 8.81)"
"37","v1","62+ thru  69","PB","F",2508.5,4,2,NA
"38","v2","62+ thru  69","PB","F",2557.1,0,0,"0 (0, Inf)"
"39","v1","69+ thru 182","PB","F",12720.9,11,1,NA
"40","v2","69+ thru 182","PB","F",12882,4,0,"0.36 (0.11, 1.13)"
"41","v1","-1+ thru  13","AZ","M",10001,24,2,NA
"42","v2","-1+ thru  13","AZ","M",10193.1,20,2,"0.82 (0.45, 1.48)"
"43","v1","13+ thru  20","AZ","M",3409.6,5,1,NA
"44","v2","13+ thru  20","AZ","M",3518.6,7,2,"1.36 (0.43, 4.27)"
"45","v1","20+ thru  27","AZ","M",2780.6,13,5,NA
"46","v2","20+ thru  27","AZ","M",2893.1,7,2,"0.52 (0.21, 1.3)"
"47","v1","27+ thru  34","AZ","M",2205.2,5,2,NA
"48","v2","27+ thru  34","AZ","M",2326.2,4,2,"0.76 (0.2, 2.82)"
"49","v1","34+ thru  41","AZ","M",1839.7,5,3,NA
"50","v2","34+ thru  41","AZ","M",1960.3,3,2,"0.56 (0.14, 2.36)"
"51","v1","41+ thru  48","AZ","M",1516,2,1,NA
"52","v2","41+ thru  48","AZ","M",1636.3,3,2,"1.39 (0.23, 8.32)"
"53","v1","48+ thru  55","AZ","M",1306.5,3,2,NA
"54","v2","48+ thru  55","AZ","M",1420.1,4,3,"1.23 (0.28, 5.48)"
"55","v1","55+ thru  62","AZ","M",1067.7,9,8,NA
"56","v2","55+ thru  62","AZ","M",1149.9,1,1,"0.1 (0.01, 0.81)"
"57","v1","62+ thru  69","AZ","M",795.9,5,6,NA
"58","v2","62+ thru  69","AZ","M",837.4,4,5,"0.76 (0.2, 2.83)"
"59","v1","69+ thru 182","AZ","M",1718.4,5,3,NA
"60","v2","69+ thru 182","AZ","M",1752.3,9,5,"1.76 (0.59, 5.27)"
"61","v1","-1+ thru  13","PB","M",4184.5,14,3,NA
"62","v2","-1+ thru  13","PB","M",4031.3,3,1,"0.22 (0.06, 0.77)"
"63","v1","13+ thru  20","PB","M",1549.7,3,2,NA
"64","v2","13+ thru  20","PB","M",1487.9,0,0,"0 (0, Inf)"
"65","v1","20+ thru  27","PB","M",1460.6,1,1,NA
"66","v2","20+ thru  27","PB","M",1407.9,2,1,"2.08 (0.19, 22.88)"
"67","v1","27+ thru  34","PB","M",1429.6,2,1,NA
"68","v2","27+ thru  34","PB","M",1382.4,1,1,"0.52 (0.05, 5.7)"
"69","v1","34+ thru  41","PB","M",1413.2,2,1,NA
"70","v2","34+ thru  41","PB","M",1368.7,0,0,"0 (0, Inf)"
"71","v1","41+ thru  48","PB","M",1380.8,5,4,NA
"72","v2","41+ thru  48","PB","M",1338,0,0,"0 (0, Inf)"
"73","v1","48+ thru  55","PB","M",1311,4,3,NA
"74","v2","48+ thru  55","PB","M",1268.6,0,0,"0 (0, Inf)"
"75","v1","55+ thru  62","PB","M",1179.6,2,2,NA
"76","v2","55+ thru  62","PB","M",1134.4,0,0,"0 (0, Inf)"
"77","v1","62+ thru  69","PB","M",1085.1,2,2,NA
"78","v2","62+ thru  69","PB","M",1040.7,2,2,"1.04 (0.15, 7.4)"
"79","v1","69+ thru 182","PB","M",4960.4,1,0,NA
"80","v2","69+ thru 182","PB","M",4808.9,3,1,"3.09 (0.32, 29.75)"
"81","v1","-1+ thru  13","AZ","18-64",15509.8,32,2,NA
"82","v2","-1+ thru  13","AZ","18-64",15511.1,35,2,"1.09 (0.68, 1.77)"
"83","v1","13+ thru  20","AZ","18-64",5618.2,6,1,NA
"84","v2","13+ thru  20","AZ","18-64",5619.3,7,1,"1.17 (0.39, 3.47)"
"85","v1","20+ thru  27","AZ","18-64",4505.1,15,3,NA
"86","v2","20+ thru  27","AZ","18-64",4505.9,11,2,"0.73 (0.34, 1.6)"
"87","v1","27+ thru  34","AZ","18-64",3412.5,12,4,NA
"88","v2","27+ thru  34","AZ","18-64",3413.2,5,1,"0.42 (0.15, 1.18)"
"89","v1","34+ thru  41","AZ","18-64",2693.5,5,2,NA
"90","v2","34+ thru  41","AZ","18-64",2693.6,5,2,"1 (0.29, 3.45)"
"91","v1","41+ thru  48","AZ","18-64",2035.9,4,2,NA
"92","v2","41+ thru  48","AZ","18-64",2035.2,2,1,"0.5 (0.09, 2.73)"
"93","v1","48+ thru  55","AZ","18-64",1622.8,5,3,NA
"94","v2","48+ thru  55","AZ","18-64",1621.3,3,2,"0.6 (0.14, 2.51)"
"95","v1","55+ thru  62","AZ","18-64",1180.7,1,1,NA
"96","v2","55+ thru  62","AZ","18-64",1179.2,2,2,"2 (0.18, 22.09)"
"97","v1","62+ thru  69","AZ","18-64",700.2,2,3,NA
"98","v2","62+ thru  69","AZ","18-64",698.9,4,6,"2 (0.37, 10.94)"
"99","v1","69+ thru 182","AZ","18-64",911.5,3,3,NA
"100","v2","69+ thru 182","AZ","18-64",910.2,4,4,"1.34 (0.3, 5.96)"
"101","v1","-1+ thru  13","PB","18-64",8936.7,31,3,NA
"102","v2","-1+ thru  13","PB","18-64",8937.5,7,1,"0.23 (0.1, 0.51)"
"103","v1","13+ thru  20","PB","18-64",3954.9,4,1,NA
"104","v2","13+ thru  20","PB","18-64",3955.8,1,0,"0.25 (0.03, 2.24)"
"105","v1","20+ thru  27","PB","18-64",3779.8,5,1,NA
"106","v2","20+ thru  27","PB","18-64",3781,2,1,"0.4 (0.08, 2.06)"
"107","v1","27+ thru  34","PB","18-64",3716.6,5,1,NA
"108","v2","27+ thru  34","PB","18-64",3718,0,0,"0 (0, Inf)"
"109","v1","34+ thru  41","PB","18-64",3683.5,5,1,NA
"110","v2","34+ thru  41","PB","18-64",3685.1,0,0,"0 (0, Inf)"
"111","v1","41+ thru  48","PB","18-64",3616.8,3,1,NA
"112","v2","41+ thru  48","PB","18-64",3618.4,0,0,"0 (0, Inf)"
"113","v1","48+ thru  55","PB","18-64",3482.7,5,1,NA
"114","v2","48+ thru  55","PB","18-64",3484.4,0,0,"0 (0, Inf)"
"115","v1","55+ thru  62","PB","18-64",3289.1,3,1,NA
"116","v2","55+ thru  62","PB","18-64",3290.6,3,1,"1 (0.2, 4.95)"
"117","v1","62+ thru  69","PB","18-64",3148.7,6,2,NA
"118","v2","62+ thru  69","PB","18-64",3150.1,1,0,"0.17 (0.02, 1.38)"
"119","v1","69+ thru 182","PB","18-64",16120.8,11,1,NA
"120","v2","69+ thru 182","PB","18-64",16129.1,6,0,"0.55 (0.2, 1.47)"
"121","v1","-1+ thru  13","AZ","65+",5544.1,27,5,NA
"122","v2","-1+ thru  13","AZ","65+",5555.1,25,5,"0.92 (0.54, 1.59)"
"123","v1","13+ thru  20","AZ","65+",1675.2,9,5,NA
"124","v2","13+ thru  20","AZ","65+",1688.2,4,2,"0.44 (0.14, 1.43)"
"125","v1","20+ thru  27","AZ","65+",1556.8,5,3,NA
"126","v2","20+ thru  27","AZ","65+",1572.4,2,1,"0.4 (0.08, 2.04)"
"127","v1","27+ thru  34","AZ","65+",1531.3,3,2,NA
"128","v2","27+ thru  34","AZ","65+",1548.7,3,2,"0.99 (0.2, 4.9)"
"129","v1","34+ thru  41","AZ","65+",1520.5,2,1,NA
"130","v2","34+ thru  41","AZ","65+",1539.2,4,3,"1.98 (0.36, 10.79)"
"131","v1","41+ thru  48","AZ","65+",1507,5,3,NA
"132","v2","41+ thru  48","AZ","65+",1526.4,4,3,"0.79 (0.21, 2.94)"
"133","v1","48+ thru  55","AZ","65+",1482.5,3,2,NA
"134","v2","48+ thru  55","AZ","65+",1502.1,5,3,"1.64 (0.39, 6.88)"
"135","v1","55+ thru  62","AZ","65+",1371.9,8,6,NA
"136","v2","55+ thru  62","AZ","65+",1391.2,2,1,"0.25 (0.05, 1.16)"
"137","v1","62+ thru  69","AZ","65+",1218.1,5,4,NA
"138","v2","62+ thru  69","AZ","65+",1235.3,6,5,"1.18 (0.36, 3.88)"
"139","v1","69+ thru 182","AZ","65+",3328.3,13,4,NA
"140","v2","69+ thru 182","AZ","65+",3361.8,18,5,"1.37 (0.67, 2.8)"
"141","v1","-1+ thru  13","PB","65+",2745.4,7,3,NA
"142","v2","-1+ thru  13","PB","65+",2748.1,5,2,"0.71 (0.23, 2.25)"
"143","v1","13+ thru  20","PB","65+",688.7,3,4,NA
"144","v2","13+ thru  20","PB","65+",691.5,0,0,"0 (0, Inf)"
"145","v1","20+ thru  27","PB","65+",640.1,1,2,NA
"146","v2","20+ thru  27","PB","65+",643.5,1,2,"1 (0.06, 15.9)"
"147","v1","27+ thru  34","PB","65+",629.2,1,2,NA
"148","v2","27+ thru  34","PB","65+",633.1,1,2,"0.99 (0.06, 15.89)"
"149","v1","34+ thru  41","PB","65+",626.9,0,0,NA
"150","v2","34+ thru  41","PB","65+",631,0,0,"0.99 (0, Inf)"
"151","v1","41+ thru  48","PB","65+",623.6,3,5,NA
"152","v2","41+ thru  48","PB","65+",627.9,0,0,"0 (0, Inf)"
