"","label","vacc","weighted.mean","var","mean.diff","sd.pooled","smd","characteristic","levels","vacc_type","data"
"1","Urban/Rural index: 2 Other Urban Areas","uv",0.387218905131197,0.237280726201694,-0.00626942912990541,0.487819789764752,-0.0128519368452207,"Urban/Rural index","2 Other Urban Areas","PB","Matched"
"2","Urban/Rural index: 2 Other Urban Areas","vacc",0.393488334261102,0.23865556837056,-0.00626942912990541,0.487819789764752,-0.0128519368452207,"Urban/Rural index","2 Other Urban Areas","PB","Matched"
"3","Urban/Rural index: 5 Accessible Rural","uv",0.0897114257899379,0.081663389659346,0.00345307904843969,0.283267836320851,0.0121901557666733,"Urban/Rural index","5 Accessible Rural","PB","Matched"
"4","Urban/Rural index: 5 Accessible Rural","vacc",0.0862583467414982,0.0788179445284468,0.00345307904843969,0.283267836320851,0.0121901557666733,"Urban/Rural index","5 Accessible Rural","PB","Matched"
"5","Urban/Rural index: 3 Accessible Small Towns","uv",0.103052232109949,0.0924325870405015,0.00558440535106515,0.300333604802921,0.018594007669337,"Urban/Rural index","3 Accessible Small Towns","PB","Matched"
"6","Urban/Rural index: 3 Accessible Small Towns","vacc",0.0974678267588843,0.087967961307333,0.00558440535106515,0.300333604802921,0.018594007669337,"Urban/Rural index","3 Accessible Small Towns","PB","Matched"
"7","Urban/Rural index: 1 Large Urban Areas","uv",0.313374866871538,0.215171333147925,-5.59203084767868e-05,0.463876888550794,-0.00012054989126854,"Urban/Rural index","1 Large Urban Areas","PB","Matched"
"8","Urban/Rural index: 1 Large Urban Areas","vacc",0.313430787180015,0.215192202315206,-5.59203084767868e-05,0.463876888550794,-0.00012054989126854,"Urban/Rural index","1 Large Urban Areas","PB","Matched"
"9","Urban/Rural index: 4 Remote Small Towns","uv",0.0465447603941873,0.0443784020746062,-0.00202456935007892,0.212824823218799,-0.00951284403510358,"Urban/Rural index","4 Remote Small Towns","PB","Matched"
"10","Urban/Rural index: 4 Remote Small Towns","vacc",0.0485693297442663,0.0462104086816195,-0.00202456935007892,0.212824823218799,-0.00951284403510358,"Urban/Rural index","4 Remote Small Towns","PB","Matched"
"11","Urban/Rural index: 6 Remote Rural","uv",0.0559292048894684,0.0528011960365506,-0.000687565611043751,0.230448015522036,-0.00298360395721439,"Urban/Rural index","6 Remote Rural","PB","Matched"
"12","Urban/Rural index: 6 Remote Rural","vacc",0.0566167705005122,0.0534113796795389,-0.000687565611043751,0.230448015522036,-0.00298360395721439,"Urban/Rural index","6 Remote Rural","PB","Matched"
"13","Urban/Rural index: Unknown","uv",0.00416860481372183,0.00415123282353192,0,0.0644300614894315,0,"Urban/Rural index","Unknown","PB","Matched"
"14","Urban/Rural index: Unknown","vacc",0.00416860481372183,0.00415123282353192,0,0.0644300614894315,0,"Urban/Rural index","Unknown","PB","Matched"
"15","Smoker status: Unknown","uv",0.20665858364026,0.163951021815305,7.7525882206414e-05,0.404880571563069,0.000191478395486155,"Smoker status","Unknown","PB","Matched"
"16","Smoker status: Unknown","vacc",0.206581057758053,0.16390553264317,7.7525882206414e-05,0.404880571563069,0.000191478395486155,"Smoker status","Unknown","PB","Matched"
"17","Smoker status: Non Smoker","uv",0.397222285768027,0.239437045758989,-0.00659224181974849,0.489992707408801,-0.0134537549642521,"Smoker status","Non Smoker","PB","Matched"
"18","Smoker status: Non Smoker","vacc",0.403814527587776,0.240748660868624,-0.00659224181974849,0.489992707408801,-0.0134537549642521,"Smoker status","Non Smoker","PB","Matched"
"19","Smoker status: Smoker","uv",0.235388913036295,0.179981201395359,0.00792416189437672,0.421726192486631,0.01878982627959,"Smoker status","Smoker","PB","Matched"
