"","rr","rr_lwr","rr_upr","day","rr_ci","event_vacc","event_uv"
"1",1.45134737217534,1.03089493882909,2.04328211865389,1,"1.45 (1.03, 2.04)",24,9
"2",1.37578632380558,0.997701238805607,1.89714910150499,2,"1.38 (1, 1.9)",14,9
"3",1.30415918687576,0.964450586613865,1.76352340733596,3,"1.3 (0.96, 1.76)",8,10
"4",1.23626115137397,0.930996138183644,1.64161973580068,4,"1.24 (0.93, 1.64)",7,11
"5",1.17189807024844,0.89717958783926,1.53073599273424,5,"1.17 (0.9, 1.53)",13,12
"6",1.11088590426522,0.862840307349013,1.43023857576461,6,"1.11 (0.86, 1.43)",7,8
"7",1.0530501957679,0.827832308161536,1.33954027147057,7,"1.05 (0.83, 1.34)",6,7
"8",0.998225569834998,0.792050294538999,1.25806946243531,8,"1 (0.79, 1.26)",1,9
"9",0.946255261408296,0.755462487307361,1.18523293318545,9,"0.95 (0.76, 1.19)",10,6
"10",0.896990667040198,0.718141973389944,1.12038049100402,10,"0.9 (0.72, 1.12)",6,3
"11",0.850290919978353,0.680283288295749,1.06278466785343,11,"0.85 (0.68, 1.06)",4,6
"12",0.806022487372478,0.642192497156732,1.01164721329897,12,"0.81 (0.64, 1.01)",10,10
"13",0.764058788451671,0.604249691390388,0.966133438755981,13,"0.76 (0.6, 0.97)",4,3
"14",0.724279832580471,0.566856268963514,0.925422024249607,14,"0.72 (0.57, 0.93)",4,2
"15",0.686711273168165,0.530568687074652,0.888805510359663,15,"0.69 (0.53, 0.89)",4,6
"16",0.65188496590365,0.496553707909058,0.855806737524215,16,"0.65 (0.5, 0.86)",2,4
"17",0.620334251901069,0.465888984514679,0.825979142826319,17,"0.62 (0.47, 0.83)",4,4
"18",0.592471644030496,0.439343221854669,0.798971354328335,18,"0.59 (0.44, 0.8)",3,4
"19",0.568624271758689,0.417406606643597,0.774624927556976,19,"0.57 (0.42, 0.77)",1,4
"20",0.549070659942363,0.400338409952112,0.753059367062992,20,"0.55 (0.4, 0.75)",1,7
"21",0.534078511994404,0.388193514426558,0.734787796224559,21,"0.53 (0.39, 0.73)",2,7
"22",0.523753247456695,0.380577336991651,0.720792957325917,22,"0.52 (0.38, 0.72)",1,5
"23",0.517524309931763,0.376158565035894,0.712017314678959,23,"0.52 (0.38, 0.71)",6,6
"24",0.51475024054066,0.373735262697931,0.708971929017106,24,"0.51 (0.37, 0.71)",3,6
"25",0.514877025341082,0.372582951050305,0.711514980695635,25,"0.51 (0.37, 0.71)",1,2
